reference_set,band,instrument,holding,engine,requested,found,measured,accepted,quarantined,held,status,reason
si-agss21,VIS,kpno_solar_atlas,solar_kpno_molecfit_corrected,engineA_1dnlte,7,7,2,2,0,5,COMPLETED_PARTIAL,Canonical-wavelength reference synthesis: Engine-A correction served 2 of 7 profile-fit lines; 5 lack a registered Si Engine-A correction grid.
si-agss21,VIS,kpno_solar_atlas,solar_kpno_molecfit_corrected,engineB_synth,7,7,7,7,0,0,COMPLETED,"Canonical-wavelength TS-LTE synthesis completed on all 7 accounting-served reference lines; Engine-B A(Si I)=7.657, n=7."
si-agss21,VIS,kpno_solar_atlas,solar_kpno_molecfit_corrected,profilefit_EW,10,7,7,4,3,3,COMPLETED_PARTIAL,"Canonical-wavelength rerun: 7 reference lines served and fitted; 4 passed aggregate gates and 3 were quarantined. 3 lines are outside the VIS/Si I accounting pool (7034.901, 7226.208, 6371.371)."
si-agss21,VIS,harps,solar_harps_molecfit_corrected,profilefit_EW,10,7,7,4,3,3,COMPLETED_PARTIAL,"Canonical-wavelength rerun: 7 reference lines served and fitted; 4 passed aggregate gates and 3 were quarantined. 3 lines are outside the VIS/Si I accounting pool (7034.901, 7226.208, 6371.371)."
si-agss21,VIS,iag_fts_solar_atlas,solar_iag,profilefit_EW,10,7,7,4,3,3,COMPLETED_PARTIAL,"Canonical-wavelength rerun: 7 reference lines served and fitted; 4 passed aggregate gates and 3 were quarantined. 3 lines are outside the VIS/Si I accounting pool (7034.901, 7226.208, 6371.371)."
si-agss21,red-optical,kpno_solar_atlas,solar_kpno_molecfit_corrected,profilefit_EW,10,2,1,1,0,9,COMPLETED_PARTIAL,7034.901 measured; 7226.208 skipped by telluric correction refusal; eight other reference lines are outside the accounting pool.
si-agss21,red-optical,iag_fts_solar_atlas,solar_iag,profilefit_EW,10,2,2,2,0,8,COMPLETED_PARTIAL,Two red-optical reference lines measured and accepted; eight are outside the accounting pool.
si-bergemann-j,J,crires_plus,solar_crires_plus_j_rya1219,engineB_synth,4,4,4,0,4,0,COMPLETED_NO_ACCEPTED_LINES,All four J lines synthesized; three edge-pinned and one failed the non-minimum gate.
si-agss21,VIS-SiII,harps,solar_harps_molecfit_corrected,profilefit_EW,1,1,1,1,0,0,COMPLETED,Si II 6371.371 measured by profile fit after canonical-wavelength rerun.
si-agss21,VIS-SiII,kpno_solar_atlas,solar_kpno_molecfit_corrected,profilefit_EW,1,1,1,1,0,0,COMPLETED,Si II 6371.371 measured by profile fit after canonical-wavelength rerun.
si-agss21,VIS-SiII,iag_fts_solar_atlas,solar_iag,profilefit_EW,1,1,1,1,0,0,COMPLETED,Si II 6371.371 measured by profile fit after canonical-wavelength rerun.
