holding_id,system_id,instrument_id,manifest_path,evidence_state,source_issue_ids,notes,telluric_applied,normalization_state,reader,declared_min_A,declared_max_A,coverage_status,observed_conditioning
solar_harps,solar,harps,data/catalog/solar_reference_holdings_rya708.csv,verified,RYA-708;RYA-806;RYA-905,"Normalised HARPS solar spectrum; the source of every line in the committed EW pool. RYA-905: telluric_applied DETERMINED FROM FLUX and changed unknown -> not-applied. from_headers() cannot answer here (the committed product is a CSV with no FITS headers), so the RYA-805 depth instrument was used instead, same metric (pct_below_0.5): the O2 A-band core 6867-6884 A runs 22.06% of 1700 px below 0.5 with flux reaching 0.0060, while the clean control 6800-6860 A has 0.00% below 0.5 and never drops under 0.5666 -- a terrestrial absorber, not a solar one. For scale on the same metric: Kitt Peak (Kurucz 1984) 51.3%, IAG (Baker 2020) 0.1%, Elgueta Sun_Y_rv 0.10%. CONSEQUENCE: none for the HARPS band products. `harps` is registered telluric_required=no, so gate_holding() permits it and tellurics are handled by per-line clean-line selection over the enumerated bands (RYA-460/786) -- which is what quarantined the 5 O2 B-band lines in the RYA-897 run, each with its reason recorded in skipped.json. This records the state; it does not change the method. Evidence: data/audit/telluric_state/rya905_harps_telluric_state.json; reproduce with scripts/rya905_harps_telluric_state.py. RYA-1030 INTAKE (through the harness reader, 3 of 4 probe windows spoke): 4577 A -> normalised (P95=0.9282, slope=+0.0066); 5346 A -> normalised (P95=0.9714, slope=-0.0009); 6116 A -> normalised (P95=0.9922, slope=+0.0028); 6577 A -> unknown (P95=0.9782, slope=+0.1293)",not-applied,normalised,harps,3782.6,6910.0,PIXELS_NOT_TESTED,HOLD_exact_served_product_not_verified
solar_kpno,solar,kpno_solar_atlas,data/catalog/solar_reference_holdings_rya708.csv,verified,RYA-708;RYA-806,"251 lmNNNN files, NNNN = START WAVELENGTH IN NM; widest solar arm we hold RYA-806: RYA-783/786 MEASURED: the Kurucz 1984 Kitt Peak atlas RETAINS its tellurics - 51.3% of O2 A-band core points below 0.5 and flux driven to zero inside the bands. It runs anyway on telluric_basis=line_selection (per-line clean-line selection, RYA-460/786), which is a stated method, not uncorrected data sneaking through RYA-1030 INTAKE (through the harness reader, 4 of 4 probe windows spoke): 5482 A -> normalised (P95=0.9940, slope=-0.0019); 7980 A -> normalised (P95=0.9967, slope=-0.0002); 10478 A -> normalised (P95=0.9962, slope=+0.0020); 11976 A -> normalised (P95=0.9882, slope=-0.0309)",not-applied,normalised,kpno,,,PIXELS_NOT_TESTED,HOLD_exact_served_product_not_verified
solar_kpno_kurucz2005_corrected,solar,kpno_solar_atlas,data/audit/rya929_kurucz2005/intake_manifest.json,audited,RYA-929,"Kurucz R.L. 2005 high-resolution irradiance product; source header identifies the original irradiance2005/irradthu.dat distribution, revised 02jan2010, 300-1000 nm, W/m2/nm; exact bytes and SHA-256 are pinned in the intake manifest and the file is staged at /mnt/codex-data/spectra/KITTS/irradthu.dat.txt on Sirius. Registered as a provenance-distinct corrected reference; independent line/window comparison is still pending final wavelength-medium and continuum-method intake. Do not overwrite solar_kpno. RYA-1030 INTAKE (through the harness reader, 3 of 4 probe windows spoke): 4758 A -> normalised (P95=0.9888, slope=+0.0063); 6500 A -> normalised (P95=0.9958, slope=-0.0040); 8242 A -> unknown; 9288 A -> normalised (P95=0.9994, slope=+0.0107)",applied,normalised,kurucz2005,2990.0,10010.0,PIXELS_NOT_TESTED,HOLD_exact_served_product_not_verified
solar_iag,solar,iag_fts_solar_atlas,data/catalog/solar_reference_holdings_rya708.csv,verified,RYA-708;RYA-806,"Sirius only; second arm, corroborates Kitt Peak depths to 1-2% RYA-806: RYA-783/786 MEASURED: the IAG FTS atlas IS telluric-corrected - 0.1% below 0.5 in the O2 A-band core and 0.0% in H2O 9280-9600, while showing the SAME solar line depths as Kitt Peak in clean regions, so the correction removed tellurics without erasing solar structure. Matches telluric_basis=corrected RYA-1030 INTAKE (through the harness reader, 4 of 4 probe windows spoke): 5710 A -> normalised (P95=0.9901, slope=-0.0004); 7348 A -> normalised (P95=0.9999, slope=+0.0007); 8987 A -> normalised (P95=1.0000, slope=-0.0008); 9970 A -> normalised (P95=0.9923, slope=-0.0003)",applied,normalised,iag,5001.1,11083.46,PIXELS_NOT_TESTED,HOLD_exact_served_product_not_verified
elgueta2026_vizier,solar,crires_plus,data/reference/elgueta2026_vizier/MD5SUMS.txt,verified,RYA-789;RYA-806,"Elgueta+2026 CRIRES+ GBS line study (bibcode 2026A&A...710A.111E; VizieR DOI 10.26093/cds/vizier.bc-p6/lbbb; CC-BY-4.0). sp/ HOLDS THE SOLAR SPECTRUM: Sun_Y/J/H_rv.dat, and the ReadMe states it is 'a solar spectrum obtained from observations of Vesta' - so RYA-787 can take the reduced-spectrum route. 922 Fe I lines (Y 141 / J 104 / H 677) in atomicy/j/h.dat. Sirius-only authoritative copy at data/reference/elgueta2026_vizier/; the 33 MB sp/ spectra are gitignored and md5-pinned, the ReadMe + line lists + tables are committed. RYA-806: RYA-789/794: Elgueta+2026 published REDUCED spectra (sp/Sun_*_rv.dat, and the GBS star spectra); RYA-1191/1192 CORRECTED THE STATED EVIDENCE: this used to read 'telluric-corrected by their pipeline - 0.10% of window points below 0.5 in the O2 A-band vs 51.3% for Kitt Peak in the same window'. The O2 A-band is 7594-7685 A and the Elgueta Y arm starts at 9796.5 A, so that statistic cannot have come from these spectra - it is RYA-794's Y science-window number relabelled. VERIFIED INSTEAD, against raw: the CRIRES+ Vesta IDPs are the SAME OBSERVATIONS (Elgueta table1.dat 2022-11-22 00:23; IDPs 2022-11-21/22, prog 60.A-9051(A)), and against a RYA-963 molecfit MTRANS telluric transmission the raw frame stands at +14.1 sigma above its own displaced null while the product stands at -0.3 sigma and the raw/product ratio reproduces the transmission at +8.2 sigma (Y arm). The claim is true; it had never been established RYA-1030: no HoldingSpec -- `elgueta2026_vizier` is registered but the measurement harness has no reader for it, so there is nothing to scan. This is not 'un-normalised'; it is unmeasured, and the two must not collapse (RYA-833).",applied,unknown,,,,HOLD_no_band_harness_reader,HOLD_exact_served_product_not_verified
solar_crires_plus_y_rya794,solar,crires_plus,data/results/rya794/vesta_crires_plus_Y_10280_10680_normalized.csv,verified,RYA-794;RYA-805;RYA-806,"RYA-794 derived science-ready product from the RYA-789 holding: CRIRES+ Vesta solar Y band, 10280-10680 A, 13707 rows. Source A (sp/Sun_Y_rv.dat, md5 8428f7009e59c6073ba11242b83d48ff); source B (our own Vesta IDPs) DOES NOT EXIST on Sirius - zero Vesta FITS - so molecfit had nothing to run on and Step 1 is blocked, not skipped. UNIT TRAP: sp/ wavelength is labelled 0.1nm in the ReadMe but is NANOMETRES (x10); atomicy.dat with the same label IS Angstrom. Telluric state MEASURED not assumed: 0.10% of window points below 0.5 vs 51.3% for Kitt Peak in the O2 A-band. Fe I: Elgueta GDRob certifies ZERO lines for a G dwarf (42 robust lines exist, all other species; no Fe I line carries GDSat=Y); 5 candidates pass depth+purity+GoF, match VALD to +/-0.000 A and recover Elgueta depths to ~1%. NO ABUNDANCE QUOTED. RYA-805 SEQUENCE NOTE: the 'source B DOES NOT EXIST on Sirius' clause above was TRUE WHEN WRITTEN and is now superseded - it is not in conflict with the solar_vesta_crires_plus_idp row. Order of events: (1) no Vesta IDPs were on Sirius, so this Y product was built from Elgueta's reduced sp/Sun_Y_rv.dat; (2) the 18 IDPs were re-pulled from ESO afterwards (see solar_vesta_crires_plus_idp). Read the two rows as consecutive states. This row's product is UNAFFECTED by the RYA-805 telluric verdict: it derives from Elgueta's sp/, which IS telluric-corrected (RYA-794 measured 0.10% of window points below 0.5 vs 51.3% for Kitt Peak in the O2 A-band), NOT from the uncorrected IDPs. RYA-806: RYA-794/805: this is a DERIVED product built from Elgueta+2026 sp/Sun_Y_rv.dat, not from the raw IDPs. Elgueta's reduced spectra are telluric-corrected - measured at 0.10% of window points below 0.5 in the O2 A-band vs 51.3% for Kitt Peak. Inherits `applied` from its source, NOT from the crires_plus instrument axis RYA-1030 INTAKE (through the harness reader, 4 of 4 probe windows spoke): 10392 A -> normalised (P95=1.0063, slope=-0.0003); 10480 A -> normalised (P95=1.0063, slope=+0.0032); 10568 A -> normalised (P95=1.0068, slope=-0.0028); 10620 A -> normalised (P95=1.0061, slope=+0.0021)",applied,normalised,crires_y,10280.0,10680.0,PIXELS_NOT_TESTED,HOLD_exact_served_product_not_verified
solar_vesta_crires_plus_idp,solar,crires_plus,data/audit/vesta_crires_plus/vesta_crires_plus_idp_manifest.csv,verified,RYA-794;RYA-805;RYA-806,"18 CRIRES+ Vesta solar IDPs, re-pulled from the ESO archive to /mnt/codex-data/spectra/vesta/CRIRESPlus (37 MB, anonymous, public). RYA-794 recorded these as absent from Sirius and that was correct - they were lost from US, never from ESO. VINTAGE CONFIRMED FROM HEADERS, which RYA-794 could not do: INSTRUME=CRIRES with PRO REC1 PIPE ID=1.6.9 (cr2res is the CRIRES+ pipeline, so this is CRIRES+, not the 2012-13 CRIRES), OBJECT=Vesta, DATE-OBS 2022-11-21..25, 13 settings Y1028/Y1029 J1226/1228/1232 H1559/1567/1575/1582 K2148/2166/2192/2217, R~86000. NOTE: PROG ID is 60.A-9051(A), NOT the 1102.22KH/109.234G that RYA-377 states. SPECSYS=TOPOCENT so a barycentric correction is OWED. Coverage tested against real pixels (QUAL==0, finite non-zero flux), not WAVELMIN/MAX, per RYA-377 detector-gap warning: 807488 valid pixels over 9479-24855 A, and ALL 189 Elgueta-certified G-dwarf lines are reached with ZERO gaps - Fe I 74, Si I 42, C I 22, Mg I 12, Ni I 10, Ca I 8, Cr I 7, S I 5, Ti I 4, P I 2, Sr II/Zn I/K I 1 each. RYA-805 TELLURIC VERDICT = NOT-APPLIED (all 18, from headers). ESO PRO CATG=OBS_NODDING_EXTRACTC_IDP; the ESO PRO REC* chain is exactly ONE recipe, cr2res_obs_nodding, with no REC2 - it ends at extraction. Calibrations are CAL_DARK_BPM/CAL_DETLIN_COEFFS/CAL_FLAT_MASTER/CAL_FLAT_EXTRACT_1D/CAL_WAVE_TW/PHOTO_FLUX: detector, flat and wavelength only, no telluric standard and no atmospheric model. 2 HDUs (PRIMARY+SPECTRUM), no transmission/Recon HDU; 8 columns (WAVE FLUX ERR QUAL ORDER DETEC XPOS TRACE), no FLUX_TELL. FLUXCAL=UNCALIBRATED, CONTNORM=F. Zero genuine telluric keywords across every card of every HDU (a naive regex returns 162 and ALL are false positives: ESO DET BOARD*n* TRANS shift registers, the OBS AMBI TRANS sky-transparency CONSTRAINT, FITS boilerplate). POSITIVE CONTROL: our own corrected products (data/audit/crires_co_conditioned/) carry an mtrans column; these do not. CONFIRMED IN THE FLUX, not just the header: in the O2 1.27um band (purely terrestrial, no solar counterpart) the IDPs run 2.02-2.81% of pixels below 0.7 continuum vs 0.54% for the telluric-CORRECTED Elgueta Sun_J_rv - 4-5x excess; and H-band H2O depth tracks the header's own water vapour at Pearson r=+0.996 (IWV x airmass, n=7), which no photospheric line can do. NO CORRECTED VARIANT EXISTS TO RE-PULL: ESO ObsCore returns exactly these 18 for Vesta/CRIRES at any date, the entire CRIRESplus collection is 4131 files of a SINGLE dataproduct_type/obstech, and NO telluric standard star was observed on 2022-11-21..25 (flats/darks/wavelength lamps only) - so molecfit is the only route, not the preferred one. Evidence: data/audit/vesta_crires_plus/rya805_findings.md + rya805_telluric_status.csv; reproduce with scripts/rya805_telluric_audit.py. RYA-805 SEQUENCE NOTE: the solar_crires_plus_y_rya794 row says the Vesta IDPs do not exist on Sirius. That was true when written and is superseded by this row, not contradicted by it - that Y product was built from Elgueta's sp/ BEFORE these 18 were re-pulled. RYA-806: RYA-805 (headers, all 18): PRO CATG=OBS_NODDING_EXTRACTC_IDP, the PRO REC chain is exactly ONE recipe cr2res_obs_nodding with no REC2, no transmission HDU, no FLUX_TELL column, zero genuine telluric keywords. Confirmed in the flux: 2.02-2.81% of px below 0.7 continuum in the O2 1.27um band vs 0.54% for the telluric-CORRECTED Elgueta control, and H-band H2O depth tracks header IWV x airmass at Pearson r=+0.996 RYA-1030: no probe window could be READ, so the flux never spoke. 20388 A: RestFrameNotConditioned: CRIRES+ frames covering 20387.500 A are SPECSYS=['TOPOCENT'] and have not been rest-frame conditioned. Vesta is a moving reflector: the shift to remove is the two-leg Sun->Vesta->observer rate, which no BERV keyword carries (ESO TEL TARG RADVEL is 0.0 in every one of these files). Condition them with pipeline/reflected_solar_rv.py (write_set) and stage the output at /mnt/codex-data/spectra/vesta/CRIRESPlus_rest/vesta_crires, or pass allow_topocentric=True if you ARE the conditioning leg. Measuring a wavelength off an unconditioned frame is the RYA-643 defect.; 31250 A: LookupError: no CRIRES+ setting covers 31250.000 A (arm spans 9479.3-24855.0 A, with real inter-band gaps -- coverage is a comb of settings, not a span); 42112 A: LookupError: no CRIRES+ setting covers 42112.500 A (arm spans 9479.3-24855.0 A, with real inter-band gaps -- coverage is a comb of settings, not a span); 48630 A: LookupError: no CRIRES+ setting covers 48630.000 A (arm spans 9479.3-24855.0 A, with real inter-band gaps -- coverage is a comb of settings, not a span). Product not reachable from this machine, or the holding is gated -- either way `unknown` is the honest record, and a consumer refuses it rather than assuming (RYA-833).",not-applied,unknown,crires_idp,,,PIXELS_NOT_TESTED,HOLD_exact_served_product_not_verified
solar_harps_molecfit_corrected,solar,harps,data/audit/rya931_molecfit_runtime/intake_manifest.json,verified,RYA-927;RYA-931,"RYA-931 telluric-corrected sibling of solar_harps; solar_harps itself is UNMODIFIED. Built by correcting each of the ten Phase-3 direct-Sun exposures (1102.D-0954(A), 2023-08-02) with ESO Molecfit 4.4.4 against the observation-night La Silla NOAA GDAS column, then re-stacking and renormalising through pipeline.spectra_normalize -- the same functions that built solar_harps. LINEAGE IS PROVEN, NOT ASSUMED: re-running that path on the ten ORIGINALS reproduces the committed solar_normalized.csv byte for byte (sha256 6100681d530ffe59...), so the two holdings differ by the correction and nothing else. O2 B 6867-6884 A is the only registered telluric band inside HARPS range: min normalised flux 0.0060 -> 0.7725, pct_below_0.5 22.06 -> 0.00, and RMS against the independent Baker+2020 telluric-free IAG atlas 0.4021 -> 0.0351. The fit is refereed by physics, not by a target: O2 is well mixed, and all ten exposures return a fitted column of 1.0003-1.0018 x the reference with a mutually consistent LSF (6.7683 +/- 0.0059 px, R = 101710). 256 saturated-core pixels are QUARANTINED as NaN rather than divided, per the RYA-927 ratified policy; T_min is derived per exposure from the measured transmission accuracy. telluric_applied is DERIVED by pipeline.telluric_intake from the product's own non-unity MTRANS extension, not asserted here. CAVEAT: this is a product-level conditioning fact, NOT a line-level science verdict -- every candidate line in 6857-6911 A still needs a local telluric disposition. Evidence: data/audit/rya931_molecfit_runtime/; reproduce with scripts/rya931_correct_exposures.py then scripts/rya931_normalize_corrected.py. RYA-1030 INTAKE (through the harness reader, 3 of 4 probe windows spoke): 4577 A -> normalised (P95=0.9280, slope=+0.0065); 5346 A -> normalised (P95=0.9713, slope=-0.0009); 6116 A -> normalised (P95=0.9922, slope=+0.0028); 6577 A -> unknown (P95=0.9782, slope=+0.1294)",applied,normalised,harps_tellcorr,3782.6,6910.0,PIXELS_NOT_TESTED,HOLD_exact_served_product_not_verified
solar_kpno_molecfit_corrected,solar,kpno_solar_atlas,data/audit/rya940_kp1984_telluric/findings.md,audited,RYA-938;RYA-940,"RYA-940 telluric-corrected sibling of solar_kpno; the 1984 atlas itself is UNMODIFIED. Six registered telluric bands corrected per band with ESO molecfit 4.4.4 on Sirius. NO OBSERVATION METADATA EXISTS for this atlas -- no airmass, no date, no site -- so the RYA-380/927 observation-night-GDAS rule is unsatisfiable and the columns are fitted freely against the MIPAS std atmosphere. Ryan ratified that deviation on 2026-08-21. THE REFEREE THAT REPLACES 'O2 column must be 1.0': the airmass is unknown but must be the SAME unknown in every O2 band, and three O2 bands 1300 A apart agree at 1.303 / 1.306 / 1.352. External check against the telluric-free Kurucz 2005: O2 A RMS 0.5003 -> 0.0915 with median offset -0.2211 -> -0.0038; O2 B 0.3593 -> 0.1210; H2O 9280 0.4730 -> 0.0604. WARNING: for H2O the column is airmass x (PWV/reference PWV) and is NOT an airmass -- H2O returns 1.9-2.6 against O2's 1.30-1.35, which is water vapour, not a contradiction. 11120-11560 A is corrected but has NO EXTERNAL REFEREE (Kurucz 2005 and IAG both stop at 10000 A); it carries externally_validated=false and its only check is that its H2O column sits inside the family the other H2O bands return. H2O 7160-7340 A is NOT CORRECTED: all six starting points converged to an identical zero-width LSF, so the band cannot constrain the kernel; its fit rms (0.0209) was among the best, which is why fit quality is never the gate. Saturated cores are QUARANTINED as NaN on a per-band derived T_min, never divided. Products keep the atlas's own uneven sampling. CAVEAT: the atlas is a COMPOSITE of FTS scans, so the O2 agreement shows those segments shared conditions -- it is not proof one atmosphere describes all 251 segments. Evidence: data/audit/rya940_kp1984_telluric/; reproduce with scripts/rya940_kp1984_correct.py. RYA-1030 INTAKE (through the harness reader, 4 of 4 probe windows spoke): 5482 A -> normalised (P95=0.9940, slope=-0.0019); 7980 A -> normalised (P95=0.9967, slope=-0.0002); 10478 A -> normalised (P95=0.9962, slope=+0.0020); 11976 A -> normalised (P95=0.9882, slope=-0.0309)",applied,normalised,kpno_1984_composite,,,PIXELS_NOT_TESTED,HOLD_exact_served_product_not_verified
solar_delbouille_liege,solar,delbouille_liege_intensity,data/catalog/solar_reference_holdings_rya708.csv,verified,RYA-944,"Delbouille/Liege Jungfraujoch disk-center INTENSITY atlas (mu=1.0), BASS2000 visible arm, 3000.0000-10000.0000 A, 2380014 points, no gap above 0.004 A. SHA-256 72a1d97b4201872425b37d2f15982357a37fa52647ad83b469f2bb28748ef794 on /mnt/codex-data/solar_reference/delbouille_bass2000/delbouille_bass2000_visible.csv.gz. GEOMETRY IS THE POINT: this is disk-center intensity, NOT the disk-integrated flux of solar_kpno - a different geometry AND a different instrument, so the two are not interchangeable and a synthesis against this one must run at mu=1 in intensity mode. WAVELENGTH MEDIUM IS AIR AS DELIVERED: RYA-944 specified vacuum and prescribed a vac->air conversion; that is REFUTED - 9 line centroids sit +3 to +14 mA from AIR rest and 1.1-2.4 A from vacuum, so applying the conversion would shift the atlas by about -1.8 A. No conversion is applied and none must be added. The ticket smoke test could not have caught this: argmin over a 0.004 A grid returns the nearest GRID POINT, which is within 0.002 A of any value in any medium. telluric_applied DETERMINED FROM FLUX, not assumed: measured against Kitt Peak (retains) and IAG-Baker2020 (corrected) in the same windows with a clean-continuum control where all four agree to 0.2 pp - Delbouille runs 26.32 pct below 0.5 in the O2 A-band and 12.61 in the O2 B-band, reaching 0.000, so tellurics are PRESENT and saturated there; H2O is 7-8x cleaner than Kitt Peak, the high-altitude signature, NOT a correction. RYA-1030: no HoldingSpec -- `solar_delbouille_liege` is registered but the measurement harness has no reader for it, so there is nothing to scan. This is not 'un-normalised'; it is unmeasured, and the two must not collapse (RYA-833).",not-applied,unknown,,,,HOLD_no_band_harness_reader,HOLD_exact_served_product_not_verified
