model_id,model_name,stored_token,species,holding_id,band,grade_scope,status,executed,reason,abundance,sigma_total
1,1D-LTE,1D-LTE,Si I,solar_harps,near-UV,Reference;Codex;Deep;external_replication (all unresolved),HOLD,False,grade_and_line_identity_preflight_incomplete; per_line_model_applicability_not_validated,,
1,1D-LTE,1D-LTE,Si I,solar_harps,VIS,Reference;Codex;Deep;external_replication (all unresolved),HOLD,False,grade_and_line_identity_preflight_incomplete; per_line_model_applicability_not_validated,,
1,1D-LTE,1D-LTE,Si I,solar_harps,red-optical,Reference;Codex;Deep;external_replication (all unresolved),HOLD,False,grade_and_line_identity_preflight_incomplete; per_line_model_applicability_not_validated,,
1,1D-LTE,1D-LTE,Si I,solar_harps,NIR,Reference;Codex;Deep;external_replication (all unresolved),HOLD,False,grade_and_line_identity_preflight_incomplete; per_line_model_applicability_not_validated,,
1,1D-LTE,1D-LTE,Si I,solar_harps,H,Reference;Codex;Deep;external_replication (all unresolved),HOLD,False,grade_and_line_identity_preflight_incomplete; per_line_model_applicability_not_validated,,
1,1D-LTE,1D-LTE,Si I,solar_kpno,near-UV,Reference;Codex;Deep;external_replication (all unresolved),HOLD,False,grade_and_line_identity_preflight_incomplete; per_line_model_applicability_not_validated,,
1,1D-LTE,1D-LTE,Si I,solar_kpno,VIS,Reference;Codex;Deep;external_replication (all unresolved),HOLD,False,grade_and_line_identity_preflight_incomplete; per_line_model_applicability_not_validated,,
1,1D-LTE,1D-LTE,Si I,solar_kpno,red-optical,Reference;Codex;Deep;external_replication (all unresolved),HOLD,False,grade_and_line_identity_preflight_incomplete; per_line_model_applicability_not_validated,,
1,1D-LTE,1D-LTE,Si I,solar_kpno,NIR,Reference;Codex;Deep;external_replication (all unresolved),HOLD,False,grade_and_line_identity_preflight_incomplete; per_line_model_applicability_not_validated,,
1,1D-LTE,1D-LTE,Si I,solar_kpno,H,Reference;Codex;Deep;external_replication (all unresolved),HOLD,False,grade_and_line_identity_preflight_incomplete; per_line_model_applicability_not_validated,,
1,1D-LTE,1D-LTE,Si I,solar_kpno_kurucz2005_corrected,near-UV,Reference;Codex;Deep;external_replication (all unresolved),HOLD,False,grade_and_line_identity_preflight_incomplete; per_line_model_applicability_not_validated,,
