band,instrument,holding,line_count,route,status,detail
VIS,harps,solar_harps_molecfit_corrected,1,ENGINE-B+1D-LTE,COMPLETED,n=1 accepted; A(Si I)=7.925; Engine-A unavailable for Solar Si
VIS,harps,solar_harps_molecfit_corrected,1,profilefit-EW,BLOCKED_LINE_NOT_IN_ACCOUNTING,3853.664 A absent from the accounting table; synthesis linelist starts at 4200 A
red-optical,harps,solar_harps_molecfit_corrected,3,profilefit-EW,NO_ACCEPTED_LINES,3 requested and found but all skipped by the profilefit route; no abundance emitted
J,crires_plus,solar_crires_plus_j_rya1219,4,ENGINE-B+1D-LTE,COMPLETED_NO_ACCEPTED_LINES,all four synthesized; three edge-pinned and one non-minimum; n=0
red-optical,kpno_solar_atlas,solar_kpno_molecfit_corrected,3,profilefit-EW,MEASURED_WITH_GATES,3 measured; 7005.880 excluded aggregate by REW saturation ceiling (synthesis route); 7688.396 excluded aggregate as blend-dominated; 7760.628 accepted
red-optical,iag_fts_solar_atlas,solar_iag,3,profilefit-EW,MEASURED_WITH_GATES,3 measured; 7005.880 excluded aggregate by REW saturation ceiling (synthesis route); 7688.396 excluded aggregate as blend-dominated; 7760.628 accepted
VIS,kpno_solar_atlas,solar_kpno_molecfit_corrected,2,engineB_synth-DEEP_GRADE,ROUTED_TO_SYNTHESIS,"Den Hartog 2023 primary-lab gf and feature depths 0.980/0.919 place 3905.523 and 4102.936 in Deep Grade; profile-EW attempted both but over-physical-width quarantine, so synthesis is required"
red-optical,kpno_solar_atlas,solar_kpno_molecfit_corrected,3,engineB_synth,COMPLETED_ENGINE_B,3 profile-EW-served lines synthesized with GESv6/Turbospectrum ts-lte; A(Si I)=7.593 +/- 0.170 dex; Engine-A per-line grid unavailable for all 3.
red-optical,iag_fts_solar_atlas,solar_iag,3,engineB_synth,COMPLETED_ENGINE_B,3 profile-EW-served lines synthesized with GESv6/Turbospectrum ts-lte; A(Si I)=7.471 +/- 0.221 dex; Engine-A per-line grid unavailable for all 3.
red-optical,kpno_solar_atlas,solar_kpno_molecfit_corrected,3,engineB_synth-gerber-nlte,NOT_APPLICABLE_NO_VALIDATED_DECK,Engine-B TS-native Gerber NLTE was invoked and refused by the registered-deck gate: only Al and Fe decks are validated; Si requires RYA-710 staging plus RYA-534/785 validation. No substitution or silent LTE relabeling.
red-optical,iag_fts_solar_atlas,solar_iag,3,engineB_synth-gerber-nlte,NOT_APPLICABLE_NO_VALIDATED_DECK,Engine-B TS-native Gerber NLTE was checked for this corrected IAG holding and refused by the registered-deck gate: no validated Si deck. No substitution or silent LTE relabeling.
VIS,kpno_solar_atlas,solar_kpno_molecfit_corrected,10,Reference Grade profilefit-EW,COMPLETED_PARTIAL,"10 AGSS21-used reference lines requested; 4 found in accounting, 4 fitted, 2 aggregate accepted, 2 quarantined; 6 missing from accounting."
VIS,harps,solar_harps_molecfit_corrected,10,Reference Grade profilefit-EW,COMPLETED_PARTIAL,"10 AGSS21-used reference lines requested; 4 found in accounting, 4 fitted, 2 aggregate accepted, 2 quarantined; 6 missing from accounting."
VIS,iag_fts_solar_atlas,solar_iag,10,Reference Grade profilefit-EW,COMPLETED_PARTIAL,"10 AGSS21-used reference lines requested; 4 found in accounting, 4 fitted, 2 aggregate accepted, 2 quarantined; 6 missing from accounting."
red-optical,kpno_solar_atlas,solar_kpno_molecfit_corrected,10,Reference Grade profilefit-EW,COMPLETED_PARTIAL,"10 AGSS21-used reference lines requested; 2 found, 1 measured/accepted, 1 telluric-refused, 8 absent from accounting."
red-optical,iag_fts_solar_atlas,solar_iag,10,Reference Grade profilefit-EW,COMPLETED_PARTIAL,"10 AGSS21-used reference lines requested; 2 found and accepted, 8 absent from accounting."
VIS,kpno_solar_atlas,solar_kpno_molecfit_corrected,4,Reference Grade engineB_synth,COMPLETED,"Four accounting-served AGSS21 reference lines synthesized; Engine-B A(Si I)=7.608, n=4; Engine-A correction applied to n=1, three not served."
