element,species,set_use_status,line_A,line_label,n_components,band,half_width_A,half_width_basis,target_line_found,target_share_of_catalogued_depth,target_share_pct,n_catalogued_rows_in_window,n_blend_rows,dominant_species,dominant_share_pct,top4
C,C I,SOURCE_ANALYSIS_GRID_SET,5052.16,505.2nm,1,VIS,0.62,"config.synth_bands[band].half_width_A - the product's own fit width, not a width chosen here",True,0.1037,10.4,14,13,Fe I,62.1,Fe I 62%; Cr I 20%; C I 10%; C2 I 4%
C,C I,SOURCE_ANALYSIS_GRID_SET,5380.34,538.0nm,1,VIS,0.62,"config.synth_bands[band].half_width_A - the product's own fit width, not a width chosen here",True,0.7156,71.6,8,7,C I,71.6,C I 72%; Fe I 15%; Cr I 8%; C2 I 3%
C,C I,SOURCE_ANALYSIS_GRID_SET,6587.61,658.8nm,1,VIS,0.62,"config.synth_bands[band].half_width_A - the product's own fit width, not a width chosen here",True,0.3154,31.5,5,4,Si I,64.6,Si I 65%; C I 32%; Fe I 2%; Nd II 2%
C,C I,SOURCE_ANALYSIS_GRID_SET,7111.47,711.1nm,1,red-optical,1.1,"config.synth_bands[band].half_width_A - the product's own fit width, not a width chosen here",True,0.0389,3.9,16,15,Ni I,55.1,Ni I 55%; Fe I 37%; C I 4%; CN I 2%
C,C I,SOURCE_ANALYSIS_GRID_SET,7113.18,711.3nm,1,red-optical,1.1,"config.synth_bands[band].half_width_A - the product's own fit width, not a width chosen here",True,0.0372,3.7,38,37,Co I,71.3,Co I 71%; Fe I 20%; C I 4%; Si I 3%
C,C I,SOURCE_ANALYSIS_GRID_SET,8335.14,833.5nm,1,red-optical,1.1,"config.synth_bands[band].half_width_A - the product's own fit width, not a width chosen here",True,0.5506,55.1,10,9,C I,55.1,C I 55%; Fe I 24%; Ti I 10%; Ca I 8%
C,C I,SOURCE_ANALYSIS_GRID_SET,8727.12,872.7nm,1,red-optical,1.1,"config.synth_bands[band].half_width_A - the product's own fit width, not a width chosen here",True,0.0625,6.2,4,3,Si I,93.1,Si I 93%; C I 6%; CN I 0%; Fe I 0%
C,C I,SOURCE_ANALYSIS_GRID_SET,9061.43,906.1nm,1,red-optical,1.1,"config.synth_bands[band].half_width_A - the product's own fit width, not a width chosen here",True,0.3026,30.3,9,8,C I,58.3,C I 58%; Fe I 27%; Si I 13%; CN I 0%
C,C I,SOURCE_ANALYSIS_GRID_SET,9062.48,906.2nm,1,red-optical,1.1,"config.synth_bands[band].half_width_A - the product's own fit width, not a width chosen here",True,0.2826,28.3,7,6,C I,58.7,C I 59%; Fe I 28%; Si I 13%; CN I 0%
C,C I,SOURCE_ANALYSIS_GRID_SET,9078.28,907.8nm,1,red-optical,1.1,"config.synth_bands[band].half_width_A - the product's own fit width, not a width chosen here",True,0.7263,72.6,9,8,C I,72.6,C I 73%; Ni I 13%; Fe I 8%; Si I 6%
C,C I,SOURCE_ANALYSIS_GRID_SET,9088.5,908.9nm,1,red-optical,1.1,"config.synth_bands[band].half_width_A - the product's own fit width, not a width chosen here",True,0.1896,19.0,4,3,Fe I,80.4,Fe I 80%; C I 19%; Ti I 1%
C,C I,SOURCE_ANALYSIS_GRID_SET,9094.82,909.5nm,1,red-optical,1.1,"config.synth_bands[band].half_width_A - the product's own fit width, not a width chosen here",True,0.5211,52.1,31,30,C I,52.1,C I 52%; Co I 39%; Fe I 6%; Ni I 2%
C,C I,SOURCE_ANALYSIS_GRID_SET,9111.8,911.2nm,1,red-optical,1.1,"config.synth_bands[band].half_width_A - the product's own fit width, not a width chosen here",True,0.5789,57.9,10,9,C I,57.9,C I 58%; Fe I 40%; CN I 2%; Dy II 1%
C,C I,SOURCE_ANALYSIS_GRID_SET,9405.72,940.6nm,1,red-optical,1.1,"config.synth_bands[band].half_width_A - the product's own fit width, not a width chosen here",True,0.5662,56.6,14,13,C I,56.6,C I 57%; Mn II 30%; CN I 6%; Fe I 4%
C,C I,SOURCE_ANALYSIS_GRID_SET,9603.03,960.3nm,1,red-optical,1.1,"config.synth_bands[band].half_width_A - the product's own fit width, not a width chosen here",True,0.6757,67.6,7,6,C I,67.6,C I 68%; Fe I 28%; CN I 3%; Ti I 1%
C,C I,SOURCE_ANALYSIS_GRID_SET,9620.77,962.1nm,1,red-optical,1.1,"config.synth_bands[band].half_width_A - the product's own fit width, not a width chosen here",True,0.8898,89.0,5,4,C I,89.0,C I 89%; CN I 9%; Ce II 1%; Dy II 1%
C,C I,SOURCE_ANALYSIS_GRID_SET,9658.42,965.8nm,1,red-optical,1.1,"config.synth_bands[band].half_width_A - the product's own fit width, not a width chosen here",True,0.4939,49.4,5,4,C I,49.4,C I 49%; Fe I 32%; Ca I 16%; CN I 2%
N,N I,AGSS21_ADOPTED_FIVE_LINE_SET,7442.29,7442.29A,1,red-optical,1.1,"config.synth_bands[band].half_width_A - the product's own fit width, not a width chosen here",True,0.009,0.9,17,16,Fe I,87.4,Fe I 87%; S I 4%; CN I 4%; Y II 2%
N,N I,AGSS21_ADOPTED_FIVE_LINE_SET,8216.33,8216.33A,1,red-optical,1.1,"config.synth_bands[band].half_width_A - the product's own fit width, not a width chosen here",True,0.0545,5.5,9,8,Si I,64.8,Si I 65%; Fe I 17%; CN I 10%; N I 6%
N,N I,AGSS21_ADOPTED_FIVE_LINE_SET,8629.23,8629.23A,1,red-optical,1.1,"config.synth_bands[band].half_width_A - the product's own fit width, not a width chosen here",True,0.2857,28.6,4,3,CN I,57.1,CN I 57%; N I 29%; Si I 14%
N,N I,AGSS21_ADOPTED_FIVE_LINE_SET,8683.4,8683.40A,1,red-optical,1.1,"config.synth_bands[band].half_width_A - the product's own fit width, not a width chosen here",True,0.0593,5.9,6,5,Ti I,88.1,Ti I 88%; CN I 6%; N I 6%
N,N I,AGSS21_ADOPTED_FIVE_LINE_SET,10108.9,10108.90A,1,NIR,1.4,"config.synth_bands[band].half_width_A - the product's own fit width, not a width chosen here",True,0.0198,2.0,22,21,V II,94.1,V II 94%; Cr I 3%; N I 2%; CN I 1%
O,O I,SOURCE_ANALYSIS_GRID_SET,6155.973,615.6nm,3,VIS,0.62,"config.synth_bands[band].half_width_A - the product's own fit width, not a width chosen here",True,0.0178,1.8,5,3,Ca I,38.7,Ca I 39%; Fe I 36%; Si I 24%; O I 2%
O,O I,SOURCE_ANALYSIS_GRID_SET,6156.75,615.7nm,3,VIS,0.62,"config.synth_bands[band].half_width_A - the product's own fit width, not a width chosen here",True,0.0318,3.2,6,4,Fe I,92.3,Fe I 92%; Ti I 4%; O I 3%
O,O I,SOURCE_ANALYSIS_GRID_SET,6158.167,615.8nm,3,VIS,0.62,"config.synth_bands[band].half_width_A - the product's own fit width, not a width chosen here",True,0.0166,1.7,39,37,Fe I,76.2,Fe I 76%; Co I 17%; O I 2%; Nd II 1%
O,O I,SOURCE_ANALYSIS_GRID_SET,6300.3,630.0nm,1,VIS,0.62,"config.synth_bands[band].half_width_A - the product's own fit width, not a width chosen here",True,0.0257,2.6,18,17,Sc II,96.5,Sc II 96%; O I 3%; Ni I 0%; CN I 0%
O,O I,SOURCE_ANALYSIS_GRID_SET,6363.77,636.4nm,1,VIS,0.62,"config.synth_bands[band].half_width_A - the product's own fit width, not a width chosen here",True,0.0428,4.3,3,2,Fe I,94.7,Fe I 95%; O I 4%; CN I 1%
O,O I,SOURCE_ANALYSIS_GRID_SET,7771.94,777.2nm,1,red-optical,1.1,"config.synth_bands[band].half_width_A - the product's own fit width, not a width chosen here",True,0.9326,93.3,4,3,O I,93.3,O I 93%; Cr I 5%; CN I 2%
O,O I,SOURCE_ANALYSIS_GRID_SET,7774.16,777.4nm,1,red-optical,1.1,"config.synth_bands[band].half_width_A - the product's own fit width, not a width chosen here",True,0.9603,96.0,4,3,O I,96.0,O I 96%; Fe I 2%; Ti I 1%; CN I 1%
O,O I,SOURCE_ANALYSIS_GRID_SET,7775.38,777.5nm,1,red-optical,1.1,"config.synth_bands[band].half_width_A - the product's own fit width, not a width chosen here",True,0.9913,99.1,2,1,O I,99.1,O I 99%; CN I 1%
O,O I,SOURCE_ANALYSIS_GRID_SET,8446.295,844.6nm,2,red-optical,1.1,"config.synth_bands[band].half_width_A - the product's own fit width, not a width chosen here",True,0.2886,28.9,14,12,Fe I,51.9,Fe I 52%; O I 45%; CN I 3%
O,O I,SOURCE_ANALYSIS_GRID_SET,8446.75,844.7nm,1,red-optical,1.1,"config.synth_bands[band].half_width_A - the product's own fit width, not a width chosen here",True,0.155,15.5,15,14,Fe I,52.6,Fe I 53%; O I 44%; CN I 4%
O,O I,SOURCE_ANALYSIS_GRID_SET,9260.857,926.1nm,3,red-optical,1.1,"config.synth_bands[band].half_width_A - the product's own fit width, not a width chosen here",True,0.4267,42.7,8,5,O I,42.7,O I 43%; CN I 35%; Mg I 15%; Ca I 5%
O,O I,SOURCE_ANALYSIS_GRID_SET,9262.67,926.3nm,3,red-optical,1.1,"config.synth_bands[band].half_width_A - the product's own fit width, not a width chosen here",True,0.5287,52.9,7,4,O I,52.9,O I 53%; CN I 47%
O,O I,SOURCE_ANALYSIS_GRID_SET,9265.917,926.6nm,3,red-optical,1.1,"config.synth_bands[band].half_width_A - the product's own fit width, not a width chosen here",True,0.54,54.0,18,15,O I,54.0,O I 54%; V I 24%; CN I 17%; Fe I 5%
