element,ion,engine_a_wired,engine_a_reason,engine_b_wired,engine_b_reason,wiring_status,required_treatment,engine_a_nlte_grid,engine_b_atom_validated,engine_a_lines,engine_b_synthv2_lines,dedicated_harness_exists,dedicated_harness_wired,harness_ticket,synthesis_required,blocks_beta,notes
Fe,I,True,,True,,both,astrophysical_gf_differential,False,False,81,79,False,False,,False,False,A: 81 EW-pool line(s). B: Engine B via synth-v2 per-line
Fe,II,True,,True,,both,astrophysical_gf_differential,False,False,3,3,False,False,,False,False,A: 3 EW-pool line(s). B: Engine B via synth-v2 per-line
C,I,False,DELIBERATELY_SKIPPED,True,,B_only,exclude,False,False,1,1,True,True,RYA-237/491,True,False,A: raw-EW leg suppressed by RYA-520 (required_treatment=exclude) — Engine B is this species' only valid leg. B: Engine B via dedicated harness (synth-v2 also covers it)
O,I,False,DELIBERATELY_SKIPPED,True,,B_only,cited_substitution,False,True,0,0,True,True,RYA-237/491,True,False,A: raw-EW leg suppressed by RYA-520 (required_treatment=cited_substitution) — Engine B is this species' only valid leg. B: Engine B via dedicated harness
Mg,I,False,DELIBERATELY_SKIPPED,False,DELIBERATELY_SKIPPED,neither,synthesis,True,True,2,2,True,True,RYA-592,True,True,A: raw-EW leg suppressed by RYA-520 (required_treatment=synthesis) — Engine B is this species' only valid leg. B: harness IS wired (RYA-592) and is gated shut: it returns nothing until its reliability/concordance condition is met. Wiring is NOT the fix — the measurement is.
Si,I,True,,True,,both,astrophysical_gf_differential,True,True,15,15,False,False,,False,False,A: 15 EW-pool line(s). B: Engine B via synth-v2 per-line
Ca,I,True,,True,,both,none,True,True,4,4,False,False,,False,False,A: 4 EW-pool line(s). B: Engine B via synth-v2 per-line
Ti,I,True,,True,,both,astrophysical_gf_differential,True,False,6,6,False,False,,False,False,A: 6 EW-pool line(s). B: Engine B via synth-v2 per-line
Ni,I,True,,True,,both,astrophysical_gf_differential,False,True,3,3,False,False,,False,False,A: 3 EW-pool line(s). B: Engine B via synth-v2 per-line
Na,I,True,,True,,both,none,True,True,2,2,False,False,,False,False,A: 2 EW-pool line(s). B: Engine B via synth-v2 per-line
P,I,False,NO_EW_POOL,False,NO_MODEL_ATOM,neither,per_region_source,False,False,0,0,False,False,,False,False,A: no line survives the curated EW pool for this species. B: no validated Engine-B NLTE atom: no RYA-534 Engine-B grid provenance on record for P
S,I,True,,True,,both,none,True,False,1,1,True,False,RYA-492,False,False,A: 1 EW-pool line(s). B: Engine B via synth-v2 per-line; ⚠ the ratified RYA-492 harness result (data/results/solar_s_costasilva_rya492.json) is NOT referenced by the orchestrator
N,I,False,DELIBERATELY_SKIPPED,False,NO_MODEL_ATOM,neither,per_region_source,True,False,0,0,False,False,,True,True,A: raw-EW leg suppressed by RYA-520 (required_treatment=per_region_source) — Engine B is this species' only valid leg. B: no validated Engine-B NLTE atom: no RYA-534 Engine-B grid provenance on record for N
Co,I,False,DELIBERATELY_SKIPPED,False,NO_HARNESS_INVOCATION,neither,synthesis,False,True,0,0,True,False,RYA-564,True,True,A: raw-EW leg suppressed by RYA-520 (required_treatment=synthesis) — Engine B is this species' only valid leg. B: the RYA-564 synthesis result already exists at data/results/co_synthesis_rya564.json — the orchestrator never reads it
Cr,I,True,,True,,both,astrophysical_gf_differential,True,False,3,3,False,False,,False,False,A: 3 EW-pool line(s). B: Engine B via synth-v2 per-line
Al,I,False,NO_EW_POOL,False,NO_MODEL_ATOM,neither,none,True,False,0,0,False,False,,False,False,A: no line survives the curated EW pool for this species. B: no validated Engine-B NLTE atom: no RYA-534 Engine-B grid provenance on record for Al
K,I,False,NO_EW_POOL,False,NO_MODEL_ATOM,neither,NLTE_grid,True,False,0,0,False,False,,False,False,A: no line survives the curated EW pool for this species. B: no validated Engine-B NLTE atom: no RYA-534 Engine-B grid provenance on record for K
Ba,II,False,DELIBERATELY_SKIPPED,False,NO_HARNESS_INVOCATION,neither,synthesis,True,True,0,0,True,False,RYA-559,True,True,A: raw-EW leg suppressed by RYA-520 (required_treatment=synthesis) — Engine B is this species' only valid leg. B: the RYA-559 synthesis result already exists at data/results/solar_ba_synthesis_rya559.json — the orchestrator never reads it
Y,II,False,NO_EW_POOL,False,NO_MODEL_ATOM,neither,per_region_source,False,False,0,0,False,False,,False,False,A: no line survives the curated EW pool for this species. B: no validated Engine-B NLTE atom: no RYA-534 Engine-B grid provenance on record for Y
V,I,False,NO_EW_POOL,True,,B_only,none,False,False,0,0,True,True,RYA-466,False,False,A: no line survives the curated EW pool for this species. B: Engine B via dedicated harness
Cu,I,False,DELIBERATELY_SKIPPED,True,,B_only,synthesis,True,False,0,0,True,True,RYA-466,True,False,A: raw-EW leg suppressed by RYA-520 (required_treatment=synthesis) — Engine B is this species' only valid leg. B: Engine B via dedicated harness
Mn,I,False,DELIBERATELY_SKIPPED,True,,B_only,synthesis,True,True,0,0,True,True,RYA-473,True,False,A: raw-EW leg suppressed by RYA-520 (required_treatment=synthesis) — Engine B is this species' only valid leg. B: Engine B via dedicated harness
Sc,II,False,DELIBERATELY_SKIPPED,False,NO_MODEL_ATOM,neither,HFS_sum,False,False,0,0,False,False,,True,True,A: raw-EW leg suppressed by RYA-520 (required_treatment=HFS_sum) — Engine B is this species' only valid leg. B: no validated Engine-B NLTE atom: no RYA-534 Engine-B grid provenance on record for Sc
Li,I,True,,True,,both,upper_limit,False,False,1,1,False,False,,False,False,A: 1 EW-pool line(s). B: Engine B via synth-v2 per-line; ratified UPPER_LIMIT (RYA-563) — may never carry a point value
Eu,II,False,DELIBERATELY_SKIPPED,False,NO_MODEL_ATOM,neither,HFS_sum,False,False,0,0,False,False,,True,True,A: raw-EW leg suppressed by RYA-520 (required_treatment=HFS_sum) — Engine B is this species' only valid leg. B: no validated Engine-B NLTE atom: no RYA-534 Engine-B grid provenance on record for Eu
Zr,II,False,DELIBERATELY_SKIPPED,False,DELIBERATELY_SKIPPED,neither,synthesis,False,False,0,0,True,True,RYA-560,True,True,A: raw-EW leg suppressed by RYA-520 (required_treatment=synthesis) — Engine B is this species' only valid leg. B: harness IS wired (RYA-560) and is gated shut: it returns nothing until its reliability/concordance condition is met. Wiring is NOT the fix — the measurement is.
Sr,II,False,DELIBERATELY_SKIPPED,True,,B_only,synthesis,True,True,0,0,True,True,RYA-551/643,True,False,A: raw-EW leg suppressed by RYA-520 (required_treatment=synthesis) — Engine B is this species' only valid leg. B: Engine B via dedicated harness
