ion,source,year,wavelength_coverage,evidence_type,method,published_transition_count,uncertainty,hfs_isotope_support,machine_readable,doi,already_cited_in_ion_ticket,gap_class,already_represented_in_canonical_gf,uv_overlap_with_holdings,action
Sc II,Lawler et al.,2019.0,UV-visible,PRIMARY_LAB,BF+LIF,259.0,paper-reported,yes,yes,10.3847/1538-4365/ab08ef,RYA-1061,NEW_LAB_SOURCE,no,potential: STIS/COS or near-UV,Verify bibliography/table and route to RYA-1061/946 plus ion ticket.
Ti II,Wood et al.,2013.0,UV-visible,PRIMARY_LAB,BF+LIF,,paper-reported,no,yes,,none found,NEW_LAB_SOURCE,no,potential: STIS/COS or near-UV,Verify bibliography/table and route to RYA-1061/946 plus ion ticket.
V II,Wood et al.,2014.0,UV-visible,PRIMARY_LAB,BF+LIF,,paper-reported,yes,yes,,RYA-470 seed family,SOURCE_KNOWN_NOT_INGESTED,no,potential: STIS/COS or near-UV,Acquire table; reconcile physical transitions; propose separate ingest ticket.
V II,Kramida & Saloman,2017.0,UV-visible,EVALUATED,critical compilation,,accuracy codes,mixed/trace,yes,,RYA-1061,NEW_EVALUATED_SOURCE,no,potential: STIS/COS or near-UV,Trace every adopted value to underlying primary work and retain accuracy code.
Cr II,Lawler et al.,2017.0,UV-visible,PRIMARY_LAB,BF+LIF,183.0,paper-reported,no,verify,,none found,NEW_LAB_SOURCE,no,potential: STIS/COS or near-UV,Verify bibliography/table and route to RYA-1061/946 plus ion ticket.
Cr II,Ward et al.,2023.0,2080-4140,PRIMARY_LAB_MIXED_LIFETIME,BF + experimental/theory lifetimes,268.0,10-26%,no,yes,10.3847/1538-4357/acfafe,RYA-1061,SOURCE_KNOWN_NOT_INGESTED,no,potential: STIS/COS or near-UV,Acquire table; reconcile physical transitions; propose separate ingest ticket.
Mn II,Kling & Griesmann,2000.0,vacuum UV,PRIMARY_LAB,experimental f-values,,paper-reported,preserve separately,verify,,RYA-1061,SOURCE_KNOWN_NOT_INGESTED,no,potential: STIS/COS or near-UV,Acquire table; reconcile physical transitions; propose separate ingest ticket.
Mn II,Den Hartog et al.,2011.0,UV-visible,PRIMARY_LAB,BF+LIF,,paper-reported,yes,yes,,Mn I cited; ion coverage not reconciled,SOURCE_KNOWN_NOT_INGESTED,no,potential: STIS/COS or near-UV,Acquire table; reconcile physical transitions; propose separate ingest ticket.
Fe II,Lawler/Den Hartog source family,,UV-blue,UNRESOLVED_PRIMARY_FAMILY,BF+LIF candidates,,unknown,no,unknown,,RYA-715/909,SOURCE_KNOWN_NOT_INGESTED,partial,potential: STIS/COS or near-UV,Acquire table; reconcile physical transitions; propose separate ingest ticket.
Co II,"Mullman, Cooper & Lawler",1998.0,UV resonance,PRIMARY_LAB,LIF+UV BF,,paper-reported,no,verify,,none found,NEW_LAB_SOURCE,no,potential: STIS/COS or near-UV,Verify bibliography/table and route to RYA-1061/946 plus ion ticket.
