ion,verdict,basis,route_findings_to
Ba II,no current UV path,SOURCE_KNOWN_NOT_INGESTED,RYA-1061;RYA-946;ion-specific ticket
Ce II,material source gap,NEW_LAB_SOURCE,RYA-1061;RYA-946;ion-specific ticket
Co II,material source gap,NEW_LAB_SOURCE;SOURCE_KNOWN_NOT_INGESTED,RYA-1061;RYA-946;ion-specific ticket
Cr II,material source gap,NEW_LAB_SOURCE;SOURCE_KNOWN_NOT_INGESTED,RYA-1061;RYA-946;ion-specific ticket
Cu II,material source gap,ROADMAP_ION_MISSING,RYA-1061;RYA-946;ion-specific ticket
Eu II,material source gap,SOURCE_KNOWN_NOT_INGESTED,RYA-1061;RYA-946;ion-specific ticket
Fe II,material source gap,SOURCE_KNOWN_NOT_INGESTED,RYA-1061;RYA-946;ion-specific ticket
Mn II,material source gap,SOURCE_KNOWN_NOT_INGESTED,RYA-1061;RYA-946;ion-specific ticket
Nd II,material source gap,NEW_LAB_SOURCE,RYA-1061;RYA-946;ion-specific ticket
Ni II,no current UV path,NEW_LAB_SOURCE,RYA-1061;RYA-946;ion-specific ticket
P II,material source gap,ROADMAP_ION_MISSING,RYA-1061;RYA-946;ion-specific ticket
S II,material source gap,ROADMAP_ION_MISSING,RYA-1061;RYA-946;ion-specific ticket
Sc II,material source gap,NEW_LAB_SOURCE,RYA-1061;RYA-946;ion-specific ticket
Sr II,no current UV path,SOURCE_KNOWN_NOT_INGESTED,RYA-1061;RYA-946;ion-specific ticket
Ti II,material source gap,NEW_LAB_SOURCE,RYA-1061;RYA-946;ion-specific ticket
V II,material source gap,NEW_EVALUATED_SOURCE;SOURCE_KNOWN_NOT_INGESTED,RYA-1061;RYA-946;ion-specific ticket
Y II,material source gap,SOURCE_KNOWN_NOT_INGESTED,RYA-1061;RYA-946;ion-specific ticket
Zn II,material source gap,ROADMAP_ION_MISSING,RYA-1061;RYA-946;ion-specific ticket
Zr II,no current UV path,NEW_LAB_SOURCE,RYA-1061;RYA-946;ion-specific ticket
