band,ion,holding,instrument,engine,reference_pool,verdict,reason
near-UV,Fe I,solar_kpno_kurucz2005_corrected,kpno_solar_atlas,1D-LTE,59,GAP,
near-UV,Fe I,solar_kpno_kurucz2005_corrected,kpno_solar_atlas,ENGINE-A,59,GAP,
near-UV,Fe I,solar_kpno_kurucz2005_corrected,kpno_solar_atlas,ENGINE-B,59,GAP,
near-UV,Fe I,solar_kpno_kurucz2005_corrected,kpno_solar_atlas,ENGINE-B-NLTE,59,N/A,"zero NLTE level labels for Fe in this band's synthesis list (data/linelists/ispec_nearuv_3000_3780/atomic_lines.tsv: 5038 Fe lines, 0 labelled). Fe: 4364 lines in 3000.0-3780.0 A but NONE carry NLTE level labels. bsyn sets departure = 1 for an unidentified level and iSpec drops an unlabelled element into `nlte_ignored` — either way the synthesis runs in LTE WITHOUT RAISING (RYA-534 Co/Ni, RYA-764). Refusing: an LTE spectrum under an NLTE label is worse than no product. This is a LINE-LIST coverage gap, not a deck failure — the atom carries transitions for this ionisation stage, these lines have no level identification."
near-UV,Fe I,solar_kpno_kurucz2005_corrected,kpno_solar_atlas,synth-1D-LTE-gerber,59,GAP,
near-UV,Fe I,solar_kpno_kurucz2005_corrected,kpno_solar_atlas,synth-mean3D-LTE-gerber-stagger,59,N/A,"the <3D> STAGGERmean3D deck and its atmosphere are a VIS-band pair; no mean-3D product exists outside VIS in any grade, so a Reference cell here would be the first and is out of this ticket's scope (RYA-1040 owns the deck's reach)."
near-UV,Fe I,solar_kpno_kurucz2005_corrected,kpno_solar_atlas,synth-mean3D-NLTE-gerber-stagger,59,N/A,"the <3D> STAGGERmean3D deck and its atmosphere are a VIS-band pair; no mean-3D product exists outside VIS in any grade, so a Reference cell here would be the first and is out of this ticket's scope (RYA-1040 owns the deck's reach)."
near-UV,Fe I,solar_kpno_kurucz2005_corrected,kpno_solar_atlas,ENGINE-A-3DNLTE,59,N/A,"the Amarsi 2022 MLP is VIS-boxed: every non-VIS Fe I line fails `transition energy Eup-Elo outside training [1.8190, 2.5898] eV`, and dE IS the wavelength, so a redder line is below the box by construction. `amarsi3d.classify_line` refuses to extrapolate. MEASURED: rya1187_applicability_matrix/amarsi_domain_check.csv"
near-UV,Fe I,solar_kpno_molecfit_corrected,kpno_solar_atlas,1D-LTE,59,GAP,
near-UV,Fe I,solar_kpno_molecfit_corrected,kpno_solar_atlas,ENGINE-A,59,GAP,
near-UV,Fe I,solar_kpno_molecfit_corrected,kpno_solar_atlas,ENGINE-B,59,GAP,
near-UV,Fe I,solar_kpno_molecfit_corrected,kpno_solar_atlas,ENGINE-B-NLTE,59,N/A,"zero NLTE level labels for Fe in this band's synthesis list (data/linelists/ispec_nearuv_3000_3780/atomic_lines.tsv: 5038 Fe lines, 0 labelled). Fe: 4364 lines in 3000.0-3780.0 A but NONE carry NLTE level labels. bsyn sets departure = 1 for an unidentified level and iSpec drops an unlabelled element into `nlte_ignored` — either way the synthesis runs in LTE WITHOUT RAISING (RYA-534 Co/Ni, RYA-764). Refusing: an LTE spectrum under an NLTE label is worse than no product. This is a LINE-LIST coverage gap, not a deck failure — the atom carries transitions for this ionisation stage, these lines have no level identification."
near-UV,Fe I,solar_kpno_molecfit_corrected,kpno_solar_atlas,synth-1D-LTE-gerber,59,GAP,
near-UV,Fe I,solar_kpno_molecfit_corrected,kpno_solar_atlas,synth-mean3D-LTE-gerber-stagger,59,N/A,"the <3D> STAGGERmean3D deck and its atmosphere are a VIS-band pair; no mean-3D product exists outside VIS in any grade, so a Reference cell here would be the first and is out of this ticket's scope (RYA-1040 owns the deck's reach)."
near-UV,Fe I,solar_kpno_molecfit_corrected,kpno_solar_atlas,synth-mean3D-NLTE-gerber-stagger,59,N/A,"the <3D> STAGGERmean3D deck and its atmosphere are a VIS-band pair; no mean-3D product exists outside VIS in any grade, so a Reference cell here would be the first and is out of this ticket's scope (RYA-1040 owns the deck's reach)."
near-UV,Fe I,solar_kpno_molecfit_corrected,kpno_solar_atlas,ENGINE-A-3DNLTE,59,N/A,"the Amarsi 2022 MLP is VIS-boxed: every non-VIS Fe I line fails `transition energy Eup-Elo outside training [1.8190, 2.5898] eV`, and dE IS the wavelength, so a redder line is below the box by construction. `amarsi3d.classify_line` refuses to extrapolate. MEASURED: rya1187_applicability_matrix/amarsi_domain_check.csv"
near-UV,Fe II,solar_kpno_kurucz2005_corrected,kpno_solar_atlas,1D-LTE,12,GAP,
near-UV,Fe II,solar_kpno_kurucz2005_corrected,kpno_solar_atlas,ENGINE-A,12,GAP,
near-UV,Fe II,solar_kpno_kurucz2005_corrected,kpno_solar_atlas,ENGINE-B,12,GAP,
near-UV,Fe II,solar_kpno_kurucz2005_corrected,kpno_solar_atlas,ENGINE-B-NLTE,12,N/A,"Fe II NLTE is unavailable on the Gerber deck — MEASURED, data/results/rya1055/atom_ion_reach.json: Fe II NLTE unavailable on the Gerber deck: atom.fe607a carries 58 Fe II levels but ZERO Fe II bound-bound transitions (12,635 of 12,635 are Fe I -> Fe I), so bsyn applies departure = 1 to every Fe II line and no line list can enable it. Reported LTE. The effect is literature-negligible at solar -- Amarsi's grid gives -0.001 dex (vturb 0.75) and -0.0008 (1.50), and Lind et al. 2017 section 2.2.4 states 'For the Sun, NLTE effects on Fe II lines are insignificant' -- and our own MPIA/Bergemann Fe II deltas agree IN THE MEDIAN: +0.000 dex at the solar node, 146 of 160 grid entries inside +-0.005 -- though the tail is the three strong multiplet-42 lines 4923.932 / 4924.921 / 5169.033, all at +0.015 (max single grid entry +0.016), so 'negligible' is a median statement and not a bound (Fe I control at the same node: median +0.011, up to +0.040). A two-stage Fe atom is DEFERRED to the off-solar programme, where the Fe I/Fe II balance does the log g work (Ryan, 2026-09-03). Fe II <3D>-LTE IS available (model 5, the <3D>-mean atmosphere is ion-agnostic); model 5 == model 6 on Fe II by construction, which IS the phantom-departure check. This does NOT cover ENGINE-A: that leg reads the MPIA/Bergemann per-line grid, not this atom, and its Fe II corrections are real. RYA-1055."
near-UV,Fe II,solar_kpno_kurucz2005_corrected,kpno_solar_atlas,synth-1D-LTE-gerber,12,GAP,
near-UV,Fe II,solar_kpno_kurucz2005_corrected,kpno_solar_atlas,synth-mean3D-LTE-gerber-stagger,12,N/A,"the <3D> STAGGERmean3D deck and its atmosphere are a VIS-band pair; no mean-3D product exists outside VIS in any grade, so a Reference cell here would be the first and is out of this ticket's scope (RYA-1040 owns the deck's reach)."
near-UV,Fe II,solar_kpno_kurucz2005_corrected,kpno_solar_atlas,synth-mean3D-NLTE-gerber-stagger,12,N/A,"the <3D> STAGGERmean3D deck and its atmosphere are a VIS-band pair; no mean-3D product exists outside VIS in any grade, so a Reference cell here would be the first and is out of this ticket's scope (RYA-1040 owns the deck's reach)."
near-UV,Fe II,solar_kpno_kurucz2005_corrected,kpno_solar_atlas,ENGINE-A-3DNLTE,12,N/A,"the Amarsi 2022 MLP is VIS-boxed: every non-VIS Fe I line fails `transition energy Eup-Elo outside training [1.8190, 2.5898] eV`, and dE IS the wavelength, so a redder line is below the box by construction. `amarsi3d.classify_line` refuses to extrapolate. MEASURED: rya1187_applicability_matrix/amarsi_domain_check.csv"
near-UV,Fe II,solar_kpno_molecfit_corrected,kpno_solar_atlas,1D-LTE,12,GAP,
near-UV,Fe II,solar_kpno_molecfit_corrected,kpno_solar_atlas,ENGINE-A,12,GAP,
near-UV,Fe II,solar_kpno_molecfit_corrected,kpno_solar_atlas,ENGINE-B,12,GAP,
near-UV,Fe II,solar_kpno_molecfit_corrected,kpno_solar_atlas,ENGINE-B-NLTE,12,N/A,"Fe II NLTE is unavailable on the Gerber deck — MEASURED, data/results/rya1055/atom_ion_reach.json: Fe II NLTE unavailable on the Gerber deck: atom.fe607a carries 58 Fe II levels but ZERO Fe II bound-bound transitions (12,635 of 12,635 are Fe I -> Fe I), so bsyn applies departure = 1 to every Fe II line and no line list can enable it. Reported LTE. The effect is literature-negligible at solar -- Amarsi's grid gives -0.001 dex (vturb 0.75) and -0.0008 (1.50), and Lind et al. 2017 section 2.2.4 states 'For the Sun, NLTE effects on Fe II lines are insignificant' -- and our own MPIA/Bergemann Fe II deltas agree IN THE MEDIAN: +0.000 dex at the solar node, 146 of 160 grid entries inside +-0.005 -- though the tail is the three strong multiplet-42 lines 4923.932 / 4924.921 / 5169.033, all at +0.015 (max single grid entry +0.016), so 'negligible' is a median statement and not a bound (Fe I control at the same node: median +0.011, up to +0.040). A two-stage Fe atom is DEFERRED to the off-solar programme, where the Fe I/Fe II balance does the log g work (Ryan, 2026-09-03). Fe II <3D>-LTE IS available (model 5, the <3D>-mean atmosphere is ion-agnostic); model 5 == model 6 on Fe II by construction, which IS the phantom-departure check. This does NOT cover ENGINE-A: that leg reads the MPIA/Bergemann per-line grid, not this atom, and its Fe II corrections are real. RYA-1055."
near-UV,Fe II,solar_kpno_molecfit_corrected,kpno_solar_atlas,synth-1D-LTE-gerber,12,GAP,
near-UV,Fe II,solar_kpno_molecfit_corrected,kpno_solar_atlas,synth-mean3D-LTE-gerber-stagger,12,N/A,"the <3D> STAGGERmean3D deck and its atmosphere are a VIS-band pair; no mean-3D product exists outside VIS in any grade, so a Reference cell here would be the first and is out of this ticket's scope (RYA-1040 owns the deck's reach)."
near-UV,Fe II,solar_kpno_molecfit_corrected,kpno_solar_atlas,synth-mean3D-NLTE-gerber-stagger,12,N/A,"the <3D> STAGGERmean3D deck and its atmosphere are a VIS-band pair; no mean-3D product exists outside VIS in any grade, so a Reference cell here would be the first and is out of this ticket's scope (RYA-1040 owns the deck's reach)."
near-UV,Fe II,solar_kpno_molecfit_corrected,kpno_solar_atlas,ENGINE-A-3DNLTE,12,N/A,"the Amarsi 2022 MLP is VIS-boxed: every non-VIS Fe I line fails `transition energy Eup-Elo outside training [1.8190, 2.5898] eV`, and dE IS the wavelength, so a redder line is below the box by construction. `amarsi3d.classify_line` refuses to extrapolate. MEASURED: rya1187_applicability_matrix/amarsi_domain_check.csv"
VIS,Fe I,solar_kpno_kurucz2005_corrected,kpno_solar_atlas,1D-LTE,176,GAP,
VIS,Fe I,solar_kpno_kurucz2005_corrected,kpno_solar_atlas,ENGINE-A,176,GAP,
VIS,Fe I,solar_kpno_kurucz2005_corrected,kpno_solar_atlas,ENGINE-B,176,GAP,
VIS,Fe I,solar_kpno_kurucz2005_corrected,kpno_solar_atlas,ENGINE-B-NLTE,176,GAP,
VIS,Fe I,solar_kpno_kurucz2005_corrected,kpno_solar_atlas,synth-1D-LTE-gerber,176,GAP,
VIS,Fe I,solar_kpno_kurucz2005_corrected,kpno_solar_atlas,synth-mean3D-LTE-gerber-stagger,176,GAP,
VIS,Fe I,solar_kpno_kurucz2005_corrected,kpno_solar_atlas,synth-mean3D-NLTE-gerber-stagger,176,GAP,
VIS,Fe I,solar_kpno_kurucz2005_corrected,kpno_solar_atlas,ENGINE-A-3DNLTE,176,GAP,
VIS,Fe I,solar_kpno_molecfit_corrected,kpno_solar_atlas,1D-LTE,176,GAP,
VIS,Fe I,solar_kpno_molecfit_corrected,kpno_solar_atlas,ENGINE-A,176,GAP,
VIS,Fe I,solar_kpno_molecfit_corrected,kpno_solar_atlas,ENGINE-B,176,GAP,
VIS,Fe I,solar_kpno_molecfit_corrected,kpno_solar_atlas,ENGINE-B-NLTE,176,GAP,
VIS,Fe I,solar_kpno_molecfit_corrected,kpno_solar_atlas,synth-1D-LTE-gerber,176,GAP,
VIS,Fe I,solar_kpno_molecfit_corrected,kpno_solar_atlas,synth-mean3D-LTE-gerber-stagger,176,GAP,
VIS,Fe I,solar_kpno_molecfit_corrected,kpno_solar_atlas,synth-mean3D-NLTE-gerber-stagger,176,GAP,
VIS,Fe I,solar_kpno_molecfit_corrected,kpno_solar_atlas,ENGINE-A-3DNLTE,176,GAP,
VIS,Fe I,solar_harps_molecfit_corrected,harps,1D-LTE,176,GAP,
VIS,Fe I,solar_harps_molecfit_corrected,harps,ENGINE-A,176,GAP,
VIS,Fe I,solar_harps_molecfit_corrected,harps,ENGINE-B,176,GAP,
VIS,Fe I,solar_harps_molecfit_corrected,harps,ENGINE-B-NLTE,176,GAP,
VIS,Fe I,solar_harps_molecfit_corrected,harps,synth-1D-LTE-gerber,176,GAP,
VIS,Fe I,solar_harps_molecfit_corrected,harps,synth-mean3D-LTE-gerber-stagger,176,GAP,
VIS,Fe I,solar_harps_molecfit_corrected,harps,synth-mean3D-NLTE-gerber-stagger,176,GAP,
VIS,Fe I,solar_harps_molecfit_corrected,harps,ENGINE-A-3DNLTE,176,GAP,
VIS,Fe I,solar_iag,iag_fts_solar_atlas,1D-LTE,176,GAP,
VIS,Fe I,solar_iag,iag_fts_solar_atlas,ENGINE-A,176,GAP,
VIS,Fe I,solar_iag,iag_fts_solar_atlas,ENGINE-B,176,GAP,
VIS,Fe I,solar_iag,iag_fts_solar_atlas,ENGINE-B-NLTE,176,GAP,
VIS,Fe I,solar_iag,iag_fts_solar_atlas,synth-1D-LTE-gerber,176,GAP,
VIS,Fe I,solar_iag,iag_fts_solar_atlas,synth-mean3D-LTE-gerber-stagger,176,GAP,
VIS,Fe I,solar_iag,iag_fts_solar_atlas,synth-mean3D-NLTE-gerber-stagger,176,GAP,
VIS,Fe I,solar_iag,iag_fts_solar_atlas,ENGINE-A-3DNLTE,176,GAP,
VIS,Fe II,solar_kpno_kurucz2005_corrected,kpno_solar_atlas,1D-LTE,9,GAP,
VIS,Fe II,solar_kpno_kurucz2005_corrected,kpno_solar_atlas,ENGINE-A,9,GAP,
VIS,Fe II,solar_kpno_kurucz2005_corrected,kpno_solar_atlas,ENGINE-B,9,GAP,
VIS,Fe II,solar_kpno_kurucz2005_corrected,kpno_solar_atlas,ENGINE-B-NLTE,9,N/A,"Fe II NLTE is unavailable on the Gerber deck — MEASURED, data/results/rya1055/atom_ion_reach.json: Fe II NLTE unavailable on the Gerber deck: atom.fe607a carries 58 Fe II levels but ZERO Fe II bound-bound transitions (12,635 of 12,635 are Fe I -> Fe I), so bsyn applies departure = 1 to every Fe II line and no line list can enable it. Reported LTE. The effect is literature-negligible at solar -- Amarsi's grid gives -0.001 dex (vturb 0.75) and -0.0008 (1.50), and Lind et al. 2017 section 2.2.4 states 'For the Sun, NLTE effects on Fe II lines are insignificant' -- and our own MPIA/Bergemann Fe II deltas agree IN THE MEDIAN: +0.000 dex at the solar node, 146 of 160 grid entries inside +-0.005 -- though the tail is the three strong multiplet-42 lines 4923.932 / 4924.921 / 5169.033, all at +0.015 (max single grid entry +0.016), so 'negligible' is a median statement and not a bound (Fe I control at the same node: median +0.011, up to +0.040). A two-stage Fe atom is DEFERRED to the off-solar programme, where the Fe I/Fe II balance does the log g work (Ryan, 2026-09-03). Fe II <3D>-LTE IS available (model 5, the <3D>-mean atmosphere is ion-agnostic); model 5 == model 6 on Fe II by construction, which IS the phantom-departure check. This does NOT cover ENGINE-A: that leg reads the MPIA/Bergemann per-line grid, not this atom, and its Fe II corrections are real. RYA-1055."
VIS,Fe II,solar_kpno_kurucz2005_corrected,kpno_solar_atlas,synth-1D-LTE-gerber,9,GAP,
VIS,Fe II,solar_kpno_kurucz2005_corrected,kpno_solar_atlas,synth-mean3D-LTE-gerber-stagger,9,N/A,"mean-3D NLTE inherits the same Fe II deck limit as ENGINE-B-NLTE; the <3D>-LTE half is available but its NLTE partner is not, and RYA-1040 requires the two as a MANDATORY PAIR — an unpaired <3D>-LTE product would report the 1D->mean-3D ATMOSPHERE shift as non-LTE physics (RYA-542)."
VIS,Fe II,solar_kpno_kurucz2005_corrected,kpno_solar_atlas,synth-mean3D-NLTE-gerber-stagger,9,N/A,"mean-3D NLTE inherits the same Fe II deck limit as ENGINE-B-NLTE; the <3D>-LTE half is available but its NLTE partner is not, and RYA-1040 requires the two as a MANDATORY PAIR — an unpaired <3D>-LTE product would report the 1D->mean-3D ATMOSPHERE shift as non-LTE physics (RYA-542)."
VIS,Fe II,solar_kpno_kurucz2005_corrected,kpno_solar_atlas,ENGINE-A-3DNLTE,9,N/A,the reactivated Amarsi network we hold is the Fe I MLP; no Fe II 3D-NLTE leg has been run in any grade (RYA-817/1106 scope).
VIS,Fe II,solar_kpno_molecfit_corrected,kpno_solar_atlas,1D-LTE,9,GAP,
VIS,Fe II,solar_kpno_molecfit_corrected,kpno_solar_atlas,ENGINE-A,9,GAP,
VIS,Fe II,solar_kpno_molecfit_corrected,kpno_solar_atlas,ENGINE-B,9,GAP,
VIS,Fe II,solar_kpno_molecfit_corrected,kpno_solar_atlas,ENGINE-B-NLTE,9,N/A,"Fe II NLTE is unavailable on the Gerber deck — MEASURED, data/results/rya1055/atom_ion_reach.json: Fe II NLTE unavailable on the Gerber deck: atom.fe607a carries 58 Fe II levels but ZERO Fe II bound-bound transitions (12,635 of 12,635 are Fe I -> Fe I), so bsyn applies departure = 1 to every Fe II line and no line list can enable it. Reported LTE. The effect is literature-negligible at solar -- Amarsi's grid gives -0.001 dex (vturb 0.75) and -0.0008 (1.50), and Lind et al. 2017 section 2.2.4 states 'For the Sun, NLTE effects on Fe II lines are insignificant' -- and our own MPIA/Bergemann Fe II deltas agree IN THE MEDIAN: +0.000 dex at the solar node, 146 of 160 grid entries inside +-0.005 -- though the tail is the three strong multiplet-42 lines 4923.932 / 4924.921 / 5169.033, all at +0.015 (max single grid entry +0.016), so 'negligible' is a median statement and not a bound (Fe I control at the same node: median +0.011, up to +0.040). A two-stage Fe atom is DEFERRED to the off-solar programme, where the Fe I/Fe II balance does the log g work (Ryan, 2026-09-03). Fe II <3D>-LTE IS available (model 5, the <3D>-mean atmosphere is ion-agnostic); model 5 == model 6 on Fe II by construction, which IS the phantom-departure check. This does NOT cover ENGINE-A: that leg reads the MPIA/Bergemann per-line grid, not this atom, and its Fe II corrections are real. RYA-1055."
VIS,Fe II,solar_kpno_molecfit_corrected,kpno_solar_atlas,synth-1D-LTE-gerber,9,GAP,
VIS,Fe II,solar_kpno_molecfit_corrected,kpno_solar_atlas,synth-mean3D-LTE-gerber-stagger,9,N/A,"mean-3D NLTE inherits the same Fe II deck limit as ENGINE-B-NLTE; the <3D>-LTE half is available but its NLTE partner is not, and RYA-1040 requires the two as a MANDATORY PAIR — an unpaired <3D>-LTE product would report the 1D->mean-3D ATMOSPHERE shift as non-LTE physics (RYA-542)."
VIS,Fe II,solar_kpno_molecfit_corrected,kpno_solar_atlas,synth-mean3D-NLTE-gerber-stagger,9,N/A,"mean-3D NLTE inherits the same Fe II deck limit as ENGINE-B-NLTE; the <3D>-LTE half is available but its NLTE partner is not, and RYA-1040 requires the two as a MANDATORY PAIR — an unpaired <3D>-LTE product would report the 1D->mean-3D ATMOSPHERE shift as non-LTE physics (RYA-542)."
VIS,Fe II,solar_kpno_molecfit_corrected,kpno_solar_atlas,ENGINE-A-3DNLTE,9,N/A,the reactivated Amarsi network we hold is the Fe I MLP; no Fe II 3D-NLTE leg has been run in any grade (RYA-817/1106 scope).
VIS,Fe II,solar_harps_molecfit_corrected,harps,1D-LTE,9,GAP,
VIS,Fe II,solar_harps_molecfit_corrected,harps,ENGINE-A,9,GAP,
VIS,Fe II,solar_harps_molecfit_corrected,harps,ENGINE-B,9,GAP,
VIS,Fe II,solar_harps_molecfit_corrected,harps,ENGINE-B-NLTE,9,N/A,"Fe II NLTE is unavailable on the Gerber deck — MEASURED, data/results/rya1055/atom_ion_reach.json: Fe II NLTE unavailable on the Gerber deck: atom.fe607a carries 58 Fe II levels but ZERO Fe II bound-bound transitions (12,635 of 12,635 are Fe I -> Fe I), so bsyn applies departure = 1 to every Fe II line and no line list can enable it. Reported LTE. The effect is literature-negligible at solar -- Amarsi's grid gives -0.001 dex (vturb 0.75) and -0.0008 (1.50), and Lind et al. 2017 section 2.2.4 states 'For the Sun, NLTE effects on Fe II lines are insignificant' -- and our own MPIA/Bergemann Fe II deltas agree IN THE MEDIAN: +0.000 dex at the solar node, 146 of 160 grid entries inside +-0.005 -- though the tail is the three strong multiplet-42 lines 4923.932 / 4924.921 / 5169.033, all at +0.015 (max single grid entry +0.016), so 'negligible' is a median statement and not a bound (Fe I control at the same node: median +0.011, up to +0.040). A two-stage Fe atom is DEFERRED to the off-solar programme, where the Fe I/Fe II balance does the log g work (Ryan, 2026-09-03). Fe II <3D>-LTE IS available (model 5, the <3D>-mean atmosphere is ion-agnostic); model 5 == model 6 on Fe II by construction, which IS the phantom-departure check. This does NOT cover ENGINE-A: that leg reads the MPIA/Bergemann per-line grid, not this atom, and its Fe II corrections are real. RYA-1055."
VIS,Fe II,solar_harps_molecfit_corrected,harps,synth-1D-LTE-gerber,9,GAP,
VIS,Fe II,solar_harps_molecfit_corrected,harps,synth-mean3D-LTE-gerber-stagger,9,N/A,"mean-3D NLTE inherits the same Fe II deck limit as ENGINE-B-NLTE; the <3D>-LTE half is available but its NLTE partner is not, and RYA-1040 requires the two as a MANDATORY PAIR — an unpaired <3D>-LTE product would report the 1D->mean-3D ATMOSPHERE shift as non-LTE physics (RYA-542)."
VIS,Fe II,solar_harps_molecfit_corrected,harps,synth-mean3D-NLTE-gerber-stagger,9,N/A,"mean-3D NLTE inherits the same Fe II deck limit as ENGINE-B-NLTE; the <3D>-LTE half is available but its NLTE partner is not, and RYA-1040 requires the two as a MANDATORY PAIR — an unpaired <3D>-LTE product would report the 1D->mean-3D ATMOSPHERE shift as non-LTE physics (RYA-542)."
VIS,Fe II,solar_harps_molecfit_corrected,harps,ENGINE-A-3DNLTE,9,N/A,the reactivated Amarsi network we hold is the Fe I MLP; no Fe II 3D-NLTE leg has been run in any grade (RYA-817/1106 scope).
red-optical,Fe I,solar_kpno_kurucz2005_corrected,kpno_solar_atlas,1D-LTE,70,GAP,
red-optical,Fe I,solar_kpno_kurucz2005_corrected,kpno_solar_atlas,ENGINE-A,70,GAP,
red-optical,Fe I,solar_kpno_kurucz2005_corrected,kpno_solar_atlas,ENGINE-B,70,GAP,
red-optical,Fe I,solar_kpno_kurucz2005_corrected,kpno_solar_atlas,ENGINE-B-NLTE,70,GAP,
red-optical,Fe I,solar_kpno_kurucz2005_corrected,kpno_solar_atlas,synth-1D-LTE-gerber,70,GAP,
red-optical,Fe I,solar_kpno_kurucz2005_corrected,kpno_solar_atlas,synth-mean3D-LTE-gerber-stagger,70,N/A,"the <3D> STAGGERmean3D deck and its atmosphere are a VIS-band pair; no mean-3D product exists outside VIS in any grade, so a Reference cell here would be the first and is out of this ticket's scope (RYA-1040 owns the deck's reach)."
red-optical,Fe I,solar_kpno_kurucz2005_corrected,kpno_solar_atlas,synth-mean3D-NLTE-gerber-stagger,70,N/A,"the <3D> STAGGERmean3D deck and its atmosphere are a VIS-band pair; no mean-3D product exists outside VIS in any grade, so a Reference cell here would be the first and is out of this ticket's scope (RYA-1040 owns the deck's reach)."
red-optical,Fe I,solar_kpno_kurucz2005_corrected,kpno_solar_atlas,ENGINE-A-3DNLTE,70,N/A,"the Amarsi 2022 MLP is VIS-boxed: every non-VIS Fe I line fails `transition energy Eup-Elo outside training [1.8190, 2.5898] eV`, and dE IS the wavelength, so a redder line is below the box by construction. `amarsi3d.classify_line` refuses to extrapolate. MEASURED: rya1187_applicability_matrix/amarsi_domain_check.csv (12 line(s) out of domain in this band)"
red-optical,Fe I,solar_kpno_molecfit_corrected,kpno_solar_atlas,1D-LTE,70,GAP,
red-optical,Fe I,solar_kpno_molecfit_corrected,kpno_solar_atlas,ENGINE-A,70,GAP,
red-optical,Fe I,solar_kpno_molecfit_corrected,kpno_solar_atlas,ENGINE-B,70,GAP,
red-optical,Fe I,solar_kpno_molecfit_corrected,kpno_solar_atlas,ENGINE-B-NLTE,70,GAP,
red-optical,Fe I,solar_kpno_molecfit_corrected,kpno_solar_atlas,synth-1D-LTE-gerber,70,GAP,
red-optical,Fe I,solar_kpno_molecfit_corrected,kpno_solar_atlas,synth-mean3D-LTE-gerber-stagger,70,N/A,"the <3D> STAGGERmean3D deck and its atmosphere are a VIS-band pair; no mean-3D product exists outside VIS in any grade, so a Reference cell here would be the first and is out of this ticket's scope (RYA-1040 owns the deck's reach)."
