readme_section,species,reference_class,caveat_wavelength_A,caveat_wavelength_tol_A,n_paper_citations,n_catalog_citations,primary_source,caveats,references_raw
Atomic Species: Fe-group Elements,Fe I,PRIMARY_LAB,,,4,0,"Ruffoni et al. (2014, MNRAS, 441, 3127); Den Hartog (2014, ApJS, 215, 23); Belmonte et al. (2017, ApJ, 848, 126); O'Brian et al. (1991, JOSAB, 8, 1185)",,"Recent laboratory studies are by [Ruffoni et al. (2014, MNRAS, 441, 3127)](https://ui.adsabs.harvard.edu/abs/2014MNRAS.441.3127R), [Den Hartog (2014, ApJS, 215, 23)](https://ui.adsabs.harvard.edu/abs/2014ApJS..215...23D), and [Belmonte et al. (2017, ApJ, 848, 126)](https://ui.adsabs.harvard.edu/abs/2017ApJ...848..125B). The first two of these papers deal with lines arising (in absorption) from levels with E.P. > 2.3 eV.  One of the good things about the last paper is that it overlaps the older-but-still-mostly-reliable study of [O'Brian et al. (1991, JOSAB, 8, 1185)](https://www.osapublishing.org/josab/abstract.cfm?uri=josab-8-6-1185) for lower-excitation transitions. Here we have chosen to adopt the new lab values, and have added in the O'Brian values not included in the Belmonte paper *AND* with E.P < 2.2 eV. We consider this list to be as close to an ""internally consistent single source"" as we are likely to get for a while."
Atomic Species: Fe-group Elements,Fe II,PRIMARY_LAB,,,2,0,"Den Hartog et al. (2019, ApJS, 243, 33); Meléndez & Barbuy (2009, A&A, 497, 611)",,"[Den Hartog et al. (2019, ApJS, 243, 33)](https://ui.adsabs.harvard.edu/abs/2019ApJS..243...33D); most of the new laboratory data are for UV lines, but enough blue lines (10 of them) are included that it is clear that the [Meléndez & Barbuy (2009, A&A, 497, 611)](https://ui.adsabs.harvard.edu/abs/2009A%26A...497..611M) empirical values were more reliable than those at the NIST website.  Our choice here is to use the Den Hartog values when available, otherwise to use the Meléndez & Barbuy values"
Atomic Species: Fe-group Elements,Co I,PRIMARY_LAB,,,1,0,"Lawler et al. (2015, ApJS, 220, 13)",,"[Lawler et al. (2015, ApJS, 220, 13)](https://ui.adsabs.harvard.edu/abs/2015ApJS..220...13L); `Co I` with and without HFS are in different files here"
Atomic Species: Fe-group Elements,Co II,PRIMARY_LAB,,,4,0,"Lawler et al. (2018, ApJS, 238, 7); Ding & Pickering (2020, ApJS, 251, 24); Roederer et al. 2022, ApJS, 260, 27",,"[Lawler et al. (2018, ApJS, 238, 7)](https://ui.adsabs.harvard.edu/abs/2018ApJS..238....7L); there are 12 lines in this paper  with good laboratory HFS patterns. To these we have added another 4 lines with new *gf* values but approximate HFS patters from the `Co I` paper; these appear with the notations `LAW???` in a linelist generated by `linemake`. Added Co II HFS for 9 UV lines, computed using HFS A constants from [Lawler et al. (2018, ApJS, 238, 7)](https://ui.adsabs.harvard.edu/abs/2018ApJS..238....7L) and [Ding & Pickering (2020, ApJS, 251, 24)](https://ui.adsabs.harvard.edu/abs/2020ApJS..251...24D/abstract).  Most levels appeared in both references, and the ""A"" values were averaged together.  In a few cases, only the Ding & Pickering reference had an ""A"" value, which was then used without change.  Three of these lines overlapped with the Co II lines already present in `linemake`, and the new lines supersede the old ones, although the changes are negligible and limited to the wavelengths of components.  (Reference: [Roederer et al. 2022, ApJS, 260, 27](https://ui.adsabs.harvard.edu/abs/2022ApJS..260...27R))"
Atomic Species: Fe-group Elements,Ni I,PRIMARY_LAB,,,1,0,"Wood et al. (2014, ApJS, 211, 20)",,"[Wood et al. (2014, ApJS, 211, 20)](https://ui.adsabs.harvard.edu/abs/2014ApJS..211...20W); there is isotopic information in the file `niI.moogiso`, but this is not part of the automated `linemake` procedure; one can manually substitute in the relevant structures into a line list"
Atomic Species: Fe-group Elements,Ni II,CATALOG,,,0,1,(catalogue only),,"Discussed in the `Ni I` paper, but awaits a fresh study; not included here; this will be the subject of a future Wisconsin laboratory effort; note that `Ni II` lines in the [Kurucz](http://kurucz.harvard.edu/atoms.html) database have no HFS information."
Atomic Species: Fe-group Elements,Cu I,CATALOG,,,0,1,(catalogue only),non-primary: README flags the source as to-be-treated-with-caution,"Not done recently, so [Kurucz](http://kurucz.harvard.edu/atoms.html) log(*gf*) and HFS information should be treated with caution. We have assembled these data in `cuI.kurhfs` for convenience, and that is what the user will get in `linemake`"
Atomic Species: Fe-group Elements,Cu II,MIXED,,,1,1,"Roederer & Lawler (2012, ApJ, 750, 76)",,"[Roederer & Lawler (2012, ApJ, 750, 76)](https://ui.adsabs.harvard.edu/abs/2012ApJ...750...76R) for UV lines, and [NIST](https://www.nist.gov/pml/atomic-spectra-database) for optical lines"
Atomic Species: Fe-group Elements,Zn I,PRIMARY_LAB,,,1,0,"Roederer & Lawler (2012, ApJ, 750, 76)",,"[Roederer & Lawler (2012, ApJ, 750, 76)](https://ui.adsabs.harvard.edu/abs/2012ApJ...750...76R)"
Atomic Species: Fe-group Elements,Zn II,PRIMARY_LAB,,,1,0,"Bergeson & Lawler (1993, ApJ, 408, 382)",,"[Bergeson & Lawler (1993, ApJ, 408, 382)](https://ui.adsabs.harvard.edu/abs/1993ApJ...408..382B)"
Atomic Species: Neutron-Capture Elements,Ga II,PRIMARY_LAB,,,2,0,"Karlsson et al. (2000, J Phys B, 33, 2929); Roederer et al. 2022, ApJS, 260, 27",,"Added HFS for 2090 Å line using HFS+IS directly from [Karlsson et al. (2000, J Phys B, 33, 2929)](https://ui.adsabs.harvard.edu/abs/2000JPhB...33.2929K/abstract). (Reference: [Roederer et al. 2022, ApJS, 260, 27](https://ui.adsabs.harvard.edu/abs/2022ApJS..260...27R))"
Atomic Species: Neutron-Capture Elements,Ge I,PRIMARY_LAB,,,2,0,"Li et al. (1999, PRA, 60, 198); Biémont et al (1999, MNRAS, 303, 721)",,"[Li et al. (1999, PRA, 60, 198)](https://journals.aps.org/pra/abstract/10.1103/PhysRevA.60.198). These nearly exactly match the ones from [Biémont et al (1999, MNRAS, 303, 721)](https://ui.adsabs.harvard.edu/abs/1999MNRAS.303..721B), and Biémont is an author on both papers"
Atomic Species: Neutron-Capture Elements,As I,PRIMARY_LAB,,,2,0,"Roederer & Lawler (2012, ApJ, 750, 76); Roederer et al. (2022, ApJS, 260, 27)",,"[Roederer & Lawler (2012, ApJ, 750, 76)](https://ui.adsabs.harvard.edu/abs/2012ApJ...750...76R); [Roederer et al. (2022, ApJS, 260, 27)](https://ui.adsabs.harvard.edu/abs/2022ApJS..260...27R) with HFS"
Atomic Species: Neutron-Capture Elements,Se I,PRIMARY_LAB,,,1,0,"Roederer & Lawler (2012, ApJ, 750, 76)",,"[Roederer & Lawler (2012, ApJ, 750, 76)](https://ui.adsabs.harvard.edu/abs/2012ApJ...750...76R)"
Atomic Species: Neutron-Capture Elements,Rb I,CATALOG,,,0,1,(catalogue only),,[NIST](https://www.nist.gov/pml/atomic-spectra-database)
Atomic Species: Neutron-Capture Elements,Sr I,CATALOG,,,0,1,(catalogue only),,[NIST](https://www.nist.gov/pml/atomic-spectra-database)
Atomic Species: Neutron-Capture Elements,Sr II,CATALOG,,,0,1,(catalogue only),,[NIST](https://www.nist.gov/pml/atomic-spectra-database)
Atomic Species: Neutron-Capture Elements,Y II,PRIMARY_LAB,,,2,0,"Hannaford et al. (1982, ApJ, 261, 736); Biémont et al. (2011, MNRAS, 414, 3350)",,"[Hannaford et al. (1982, ApJ, 261, 736)](https://ui.adsabs.harvard.edu/abs/1982ApJ...261..736H) and [Biémont et al. (2011, MNRAS, 414, 3350)](https://ui.adsabs.harvard.edu/abs/2011MNRAS.414.3350B)"
Atomic Species: Neutron-Capture Elements,Zr II,PRIMARY_LAB,,,2,0,"Ljung et al. (2006, A&A, 456, 1181); Malcheva et al. (2006, MNRAS, 367, 754)",,"[Ljung et al. (2006, A&A, 456, 1181)](https://ui.adsabs.harvard.edu/abs/2006A%26A...456.1181L); [Malcheva et al. (2006, MNRAS, 367, 754)](https://ui.adsabs.harvard.edu/abs/2006MNRAS.367..754M) for some lines"
Atomic Species: Neutron-Capture Elements,Nb II,PRIMARY_LAB,,,1,0,"Nilsson et al. (2010, A&A, 511, A16)",,"[Nilsson et al. (2010, A&A, 511, A16)](https://ui.adsabs.harvard.edu/abs/2010A%26A...511A..16N); including HFS"
Atomic Species: Neutron-Capture Elements,Ru II,PRIMARY_LAB,,,1,0,"Johansson et al. 1994, ApJ, 421, 809)",,"[Johansson et al. 1994, ApJ, 421, 809)](https://ui.adsabs.harvard.edu/abs/1994ApJ...421..809J) for UV lines"
Atomic Species: Neutron-Capture Elements,Ag I,PRIMARY_LAB,,,1,0,"Hansen et al. (2012, A&A, 545, 31)",,"[Hansen et al. (2012, A&A, 545, 31)](https://ui.adsabs.harvard.edu/abs/2012A%26A...545A..31H)"
Atomic Species: Neutron-Capture Elements,Cd I,PRIMARY_LAB,,,1,0,"Morton (2000, ApJS, 130, 403)",,"[Morton (2000, ApJS, 130, 403)](https://ui.adsabs.harvard.edu/abs/2000ApJS..130..403M)"
Atomic Species: Neutron-Capture Elements,Cd II,PRIMARY_LAB,,,1,0,"Roederer & Lawler (2012, ApJ, 750, 76)",,"[Roederer & Lawler (2012, ApJ, 750, 76)](https://ui.adsabs.harvard.edu/abs/2012ApJ...750...76R)"
Atomic Species: Neutron-Capture Elements,In II,PRIMARY_LAB,,,4,0,"Roederer et al. 2022, ApJS, 260, 27; Curtis et al. (2000, PRA, 62, 052513); Larkin & Hannaford (1993, Z. Phys. D., 27, 313); Wang et al. (2007, Euro. Phys. J. D, 44, 307)",,"In Added new HFS+ISO for 1 UV line ([Roederer et al. 2022, ApJS, 260, 27](https://ui.adsabs.harvard.edu/abs/2022ApJS..260...27R)).  The log(*gf*) value is from [Curtis et al. (2000, PRA, 62, 052513)](https://journals.aps.org/pra/abstract/10.1103/PhysRevA.62.052513).  The HFS is from new calculations based on [Larkin & Hannaford (1993, Z. Phys. D., 27, 313)](https://ui.adsabs.harvard.edu/abs/1993ZPhyD..27..313L).  The ISO is from [Wang et al. (2007, Euro. Phys. J. D, 44, 307)](https://link.springer.com/article/10.1140/epjd/e2007-00171-0)"
Atomic Species: Neutron-Capture Elements,Sn II,PRIMARY_LAB,,,1,0,"Oliver & Hibbert (2010, J Phys B, 43, 074013)",,"Added 2151 Å line with log(*gf*) value from [Oliver & Hibbert (2010, J Phys B, 43, 074013)](https://ui.adsabs.harvard.edu/abs/2010JPhB...43g4013O/abstract)"
Atomic Species: Neutron-Capture Elements,Sb I,PRIMARY_LAB,,,1,0,"Roederer et al. (2022, ApJS, 260, 27)",,"[Roederer et al. (2022, ApJS, 260, 27)](https://ui.adsabs.harvard.edu/abs/2022ApJS..260...27R) for two UV lines"
Atomic Species: Neutron-Capture Elements,Te I,PRIMARY_LAB,,,3,0,"Roederer et al. (2012, ApJL, 747, L8); Ubelis & Berzinsh (1991, PhyS, 43, 162); Morton (2000, ApJS, 130, 403)",,"[Roederer et al. (2012, ApJL, 747, L8)](https://ui.adsabs.harvard.edu/abs/2012ApJ...747L...8R). Added line at 2002 Å using the transition probability from [Ubelis & Berzinsh (1991, PhyS, 43, 162)](https://ui.adsabs.harvard.edu/abs/1991PhyS...43..162U/abstract), with uncertainty 0.17 dex.  Also added line at 2259 Å using the transition probability recommended by [Morton (2000, ApJS, 130, 403)](https://ui.adsabs.harvard.edu/abs/2000ApJS..130..403M/abstract)"
Atomic Species: Neutron-Capture Elements,La II,PRIMARY_LAB,,,1,0,"Lawler et al. (2001, ApJ, 556, 452)",,"[Lawler et al. (2001, ApJ, 556, 452)](https://ui.adsabs.harvard.edu/abs/2001ApJ...556..452L). One line from Shah et al. (2023, submitted)"
Atomic Species: Neutron-Capture Elements,Ce II,PRIMARY_LAB,,,1,0,"Lawler et al. (2009, ApJS, 182, 51)",,"[Lawler et al. (2009, ApJS, 182, 51)](https://ui.adsabs.harvard.edu/abs/2009ApJS..182...51L)"
Atomic Species: Neutron-Capture Elements,Pr II,PRIMARY_LAB,,,4,0,"Sneden et al. (2009, ApJS, 182, 80); Ivarsson et al. (2001, Phys. Scr., 64, 455); Li et al. (2007, Phys. Scr., 76, 577); Biemont et al. (2003, Eur. Phys. J. D, 27, 33)",,"[Sneden et al. (2009, ApJS, 182, 80)](https://ui.adsabs.harvard.edu/abs/2009ApJS..182...80S), which includes log(gf) values from [Ivarsson et al. (2001, Phys. Scr., 64, 455)](https://ui.adsabs.harvard.edu/abs/2001PhyS...64..455I/abstract) and [Li et al. (2007, Phys. Scr., 76, 577)](https://ui.adsabs.harvard.edu/abs/2007PhyS...76..577L/abstract).  One additional line (at 4018 Å) with no HFS is included from [Biemont et al. (2003, Eur. Phys. J. D, 27, 33)](https://ui.adsabs.harvard.edu/abs/2003EPJD...27...33B/abstract) despite its potentially large uncertainty (> 0.2 dex?) because it helps fit the absorption around the `Th II` line at 4019Å (thanks to Shivani Shah for pointing this out)."
Atomic Species: Neutron-Capture Elements,Nd II,PRIMARY_LAB,4314.5,0.005,2,0,"Den Hartog et al. (2003, ApJS, 148, 543); Roederer et al. (2008, ApJ, 675, 723)",non-primary: solar-derived (astrophysical) log gf; scoped to 4314.50 A only,"[Den Hartog et al. (2003, ApJS, 148, 543)](https://ui.adsabs.harvard.edu/abs/2003ApJS..148..543D) and [Roederer et al. (2008, ApJ, 675, 723)](https://ui.adsabs.harvard.edu/abs/2008ApJ...675..723R) for ISO & HFS. Note that the 4314.50Å line has a solar-derived log(*gf*)"
Atomic Species: Neutron-Capture Elements,Sm II,PRIMARY_LAB,,,2,0,"Lawler et al. (2006, ApJS, 162, 227); Roederer & Lawler (2012, ApJ, 750, 76)",,"[Lawler et al. (2006, ApJS, 162, 227)](https://ui.adsabs.harvard.edu/abs/2006ApJS..162..227L) and [Roederer & Lawler (2012, ApJ, 750, 76)](https://ui.adsabs.harvard.edu/abs/2012ApJ...750...76R)"
Atomic Species: Neutron-Capture Elements,Eu II,PRIMARY_LAB,,,1,0,"Lawler et al. (2001, ApJ, 563, 1075)",,"[Lawler et al. (2001, ApJ, 563, 1075)](https://ui.adsabs.harvard.edu/abs/2001ApJ...563.1075L)"
Atomic Species: Neutron-Capture Elements,Gd II,PRIMARY_LAB,,,1,0,"Den Hartog et al. (2006, ApJS, 167, 292)",,"[Den Hartog et al. (2006, ApJS, 167, 292)](https://ui.adsabs.harvard.edu/abs/2006ApJS..167..292D), with additional lines from Voith et al. (2025, ApJS, submitted), prioritizing the latter study for lines in common (see discussion in Voith et al.)."
Atomic Species: Neutron-Capture Elements,Tb II,PRIMARY_LAB,,,1,0,"Lawler et al. (2001, ApJS, 137, 341)",,"[Lawler et al. (2001, ApJS, 137, 341)](https://ui.adsabs.harvard.edu/abs/2001ApJS..137..341L)"
Atomic Species: Neutron-Capture Elements,Dy II,PRIMARY_LAB,,,1,0,"Sneden et al. (2009, ApJS, 182, 80)",,"[Sneden et al. (2009, ApJS, 182, 80)](https://ui.adsabs.harvard.edu/abs/2009ApJS..182...80S)"
Atomic Species: Neutron-Capture Elements,Ho II,PRIMARY_LAB,,,1,0,"Lawler et al. (2004, ApJ, 604, 850)",,"[Lawler et al. (2004, ApJ, 604, 850)](https://ui.adsabs.harvard.edu/abs/2004ApJ...604..850L)"
Atomic Species: Neutron-Capture Elements,Er II,PRIMARY_LAB,,,1,0,"Lawler et al. (2008, ApJS, 178, 71)",,"[Lawler et al. (2008, ApJS, 178, 71)](https://ui.adsabs.harvard.edu/abs/2008ApJS..178...71L)"
Atomic Species: Neutron-Capture Elements,Tm II,PRIMARY_LAB,,,4,0,"Sneden et al. (2009, ApJS, 182, 80); Wickliffe & Lawler (1997, JOSA B, 14, 737); Den Hartog et al. (2024, ApJS, 274, 9); Kebapci et al. (2024, ApJ, 970, 23)",,"[Sneden et al. (2009, ApJS, 182, 80)](https://ui.adsabs.harvard.edu/abs/2009ApJS..182...80S), which is based on [Wickliffe & Lawler (1997, JOSA B, 14, 737)](https://ui.adsabs.harvard.edu/abs/1997JOSAB..14..737W/abstract), with additional lines from [Den Hartog et al. (2024, ApJS, 274, 9)](https://ui.adsabs.harvard.edu/abs/2024ApJS..274....9D/abstract).  Betsy Den Hartog also computed CLCPs for a few `Tm II` lines based on HFS A values published by [Kebapci et al. (2024, ApJ, 970, 23)](https://ui.adsabs.harvard.edu/abs/2024ApJ...970...23K/abstract).  IUR checked the HFS pattern for the `Tm II` line at 2624Å using its CLCP, and any change in the abundance pattern is at the < 0.01 dex level.  On this basis, we have not included the `Tm II` CLCPs in `linemake`."
Atomic Species: Neutron-Capture Elements,Yb II,MIXED,,,2,1,"Sneden et al. (2009, ApJS, 182, 80); Kedzierski et al. (2010, Spectrochimica Acta B, 65, 248)",,"[Sneden et al. (2009, ApJS, 182, 80)](https://ui.adsabs.harvard.edu/abs/2009ApJS..182...80S); [DREAM database](https://hosting.umons.ac.be/html/agif/databases/dream.html) (2016A); [Kedzierski et al. (2010, Spectrochimica Acta B, 65, 248)](https://www.sciencedirect.com/science/article/abs/pii/S0584854710000522)"
Atomic Species: Neutron-Capture Elements,Lu II,PRIMARY_LAB,,,7,0,"Sneden et al. (2009, ApJS, 182, 80); Roederer et al. (2010, ApJL, 714, L123); Roederer et al. (2012, ApJS, 203, 27); Den Hartog et al. (2020, ApJS, 248, 10); Quinet et al. (1999, MNRAS, 307, 934)",,"Several HFS sources put together by Ian:  [Sneden et al. (2009, ApJS, 182, 80)](https://ui.adsabs.harvard.edu/abs/2009ApJS..182...80S); [Roederer et al. (2010, ApJL, 714, L123)](https://ui.adsabs.harvard.edu/abs/2010ApJ...714L.123R); [Roederer et al. (2012, ApJS, 203, 27)](https://ui.adsabs.harvard.edu/abs/2012ApJS..203...27R); [Den Hartog et al. (2020, ApJS, 248, 10)](https://ui.adsabs.harvard.edu/abs/2020ApJS..248...10D). Likewise for *gf* values there are values from [Sneden et al. (2009, ApJS, 182, 80)](https://ui.adsabs.harvard.edu/abs/2009ApJS..182...80S); [Roederer et al. (2010, ApJL, 714, L123)](https://ui.adsabs.harvard.edu/abs/2010ApJ...714L.123R); [Quinet et al. (1999, MNRAS, 307, 934)](https://ui.adsabs.harvard.edu/abs/1999MNRAS.307..934Q)"
Atomic Species: Neutron-Capture Elements,Ta II,MIXED,,,2,1,"Quinet et al. (2009, A&A, 493, 711); Morton (2000, ApJS, 130, 403)",,"*gf* values computed by Ian from data in [Quinet et al. (2009, A&A, 493, 711)](https://ui.adsabs.harvard.edu/abs/2009A%26A...493..711Q), with wavelengths adopted from [Kurucz](http://kurucz.harvard.edu/atoms.html). These were supplemented by some values from [Morton (2000, ApJS, 130, 403)](https://ui.adsabs.harvard.edu/abs/2000ApJS..130..403M)"
Atomic Species: Neutron-Capture Elements,W II,PRIMARY_LAB,,,1,0,"Roederer et al. (2022, ApJS, 260, 27)",,"[Roederer et al. (2022, ApJS, 260, 27)](https://ui.adsabs.harvard.edu/abs/2022ApJS..260...27R) for UV lines"
Atomic Species: Neutron-Capture Elements,Re II,PRIMARY_LAB,,,1,0,"Roederer et al. (2022, ApJS, 260, 27)",,"[Roederer et al. (2022, ApJS, 260, 27)](https://ui.adsabs.harvard.edu/abs/2022ApJS..260...27R) for UV lines"
Atomic Species: Neutron-Capture Elements,Os I,PRIMARY_LAB,,,1,0,"Quinet et al. (2006, A&A, 448, 1207)",,"[Quinet et al. (2006, A&A, 448, 1207)](https://ui.adsabs.harvard.edu/abs/2006A%26A...448.1207Q) for *gf* values"
Atomic Species: Neutron-Capture Elements,Os II,PRIMARY_LAB,,,1,0,"Quinet et al. (2006, A&A, 448, 1207)",,"[Quinet et al. (2006, A&A, 448, 1207)](https://ui.adsabs.harvard.edu/abs/2006A%26A...448.1207Q) for *gf* values"
Atomic Species: Neutron-Capture Elements,Ir I,PRIMARY_LAB,,,3,0,"Xu et al. (2007, JQSRT, 104, 52); Roederer et al. 2022, ApJS, 260, 27; Cowan et al. (2005, ApJ, 627, 238)",,"Added HFS/IS for the line at 2924 Å, using the transition probability from [Xu et al. (2007, JQSRT, 104, 52)](https://www.sciencedirect.com/science/article/abs/pii/S0022407306002172?via%3Dihub) - (Reference: [Roederer et al. 2022, ApJS, 260, 27](https://ui.adsabs.harvard.edu/abs/2022ApJS..260...27R)); including HFS/IS from [Cowan et al. (2005, ApJ, 627, 238)](https://ui.adsabs.harvard.edu/abs/2005ApJ...627..238C)"
Atomic Species: Neutron-Capture Elements,Ir II,MIXED,,,2,1,"Ivarsson et al. (2004, A&A, 425, 353); Xu et al. (2007, JQSRT, 104, 52)",,"[Ivarsson et al. (2004, A&A, 425, 353)](https://ui.adsabs.harvard.edu/abs/2004A%26A...425..353I), supplemented with a few lines from [Xu et al. (2007, JQSRT, 104, 52)](https://www.sciencedirect.com/science/article/abs/pii/S0022407306002172?via%3Dihub) - values taken via [NIST](https://www.nist.gov/pml/atomic-spectra-database)"
Atomic Species: Neutron-Capture Elements,Pt I,PRIMARY_LAB,,,1,0,"Den Hartog et al. (2005, ApJ, 619, 639)",,"[Den Hartog et al. (2005, ApJ, 619, 639)](https://ui.adsabs.harvard.edu/abs/2005ApJ...619..639D); HFS and isotopic substructure included for many lines"
Atomic Species: Neutron-Capture Elements,Pt II,PRIMARY_LAB,,,1,0,"Quinet et al. (2008, PRA, 77, 022501)",,"[Quinet et al. (2008, PRA, 77, 022501)](https://portal.research.lu.se/portal/en/publications/laserinducedfluorescence-lifetime-measurements-and-relativistic-hartreefock-oscillator-strength-calculations-in-singly-ionized-platinum(76f6fe83-0510-4a79-ba1c-10a6b7a72672).html) for selected strong UV lines"
Atomic Species: Neutron-Capture Elements,Au I,MIXED,,,1,1,"Fivet et al. (2006, J. Phys. B: At. Mol. Opt. Phys., 39, 3587)",,"[Fivet et al. (2006, J. Phys. B: At. Mol. Opt. Phys., 39, 3587)](https://iopscience.iop.org/article/10.1088/0953-4075/39/17/015) and [NIST](https://www.nist.gov/pml/atomic-spectra-database) for strong UV lines"
Atomic Species: Neutron-Capture Elements,Pb I,PRIMARY_LAB,,,1,0,"Roederer & Lawler (2012, ApJ, 750, 76)",,"[Roederer & Lawler (2012, ApJ, 750, 76)](https://ui.adsabs.harvard.edu/abs/2012ApJ...750...76R)"
Atomic Species: Neutron-Capture Elements,Pb II,PRIMARY_LAB,,,1,0,"Roederer et al. (2020, ApJL, 902, L24)",,"[Roederer et al. (2020, ApJL, 902, L24)](https://ui.adsabs.harvard.edu/abs/2020ApJ...902L..24R) for one UV line"
Atomic Species: Neutron-Capture Elements,Th II,PRIMARY_LAB,,,1,0,"Nilsson et al. (2002, A&A, 382, 368)",,"[Nilsson et al. (2002, A&A, 382, 368)](https://ui.adsabs.harvard.edu/abs/2002A%26A...382..368N)"
Atomic Species: Neutron-Capture Elements,U II,PRIMARY_LAB,,,1,0,"Nilsson et al. (2002, A&A, 381, 1090)",,"[Nilsson et al. (2002, A&A, 381, 1090)](https://ui.adsabs.harvard.edu/abs/2002A%26A...381.1090N)"
Atomic Species: Other Elements,Li I,CATALOG,,,0,2,(catalogue only),,"Resonance line. Nothing special needs to be done here to get the full isotopic and hyperfine substructure. The total *gf* from [Kurucz](http://kurucz.harvard.edu/atoms.html), has been adopted; it is close to that recommended by [NIST](https://www.nist.gov/pml/atomic-spectra-database)"
Atomic Species: Other Elements,O I,PRIMARY_LAB,,,1,0,"Magg et al. (2022, A&A, 661, 140)",,"A mix of NIST/B+ values and measurements by [Magg et al. (2022, A&A, 661, 140)](https://ui.adsabs.harvard.edu/abs/2022A%26A...661A.140M/)"
Atomic Species: Other Elements,Mg I,PRIMARY_LAB,,,1,0,"Pehlivan Rhodin et al. (2017, A&A, 598, A102)",,"A mix of NIST values and theoretical and experimental results from [Pehlivan Rhodin et al. (2017, A&A, 598, A102)](https://ui.adsabs.harvard.edu/abs/2017A%26A...598A.102P/)"
