species,wavelength_air_A,elo_eV,log_gf_adopted,gf_adopted_source,gf_adopted_reference_code,gf_adopted_basis,gf_adopted_ticket,gf_adopted_decision
Fe I,5461.55,4.4500,-1.800,"Heiter et al. 2021, A&A 645, A106 -- the published version of the GES line list Jofre+2014 used as GES-v3 ('Heiter et al., in prep')",MRW,reference code MRW reproduces Jofre+2014's PUBLISHED gf exactly on 57/57 held-out lines (max deviation 0.0 dex),RYA-1110 (decision) / RYA-1111 (validation),"Ryan, 2026-08-30, on RYA-1111's options report: adopt the 12 whose reference code reproduces Jofre's published gf EXACTLY on at least 5 held-out lines; leave the 1 THIN and 8 RISKY refused."
Fe I,5587.57,4.1400,-1.750,"Heiter et al. 2021, A&A 645, A106 -- the published version of the GES line list Jofre+2014 used as GES-v3 ('Heiter et al., in prep')",MRW,reference code MRW reproduces Jofre+2014's PUBLISHED gf exactly on 57/57 held-out lines (max deviation 0.0 dex),RYA-1110 (decision) / RYA-1111 (validation),"Ryan, 2026-08-30, on RYA-1111's options report: adopt the 12 whose reference code reproduces Jofre's published gf EXACTLY on at least 5 held-out lines; leave the 1 THIN and 8 RISKY refused."
Fe I,5624.02,4.3900,-1.380,"Heiter et al. 2021, A&A 645, A106 -- the published version of the GES line list Jofre+2014 used as GES-v3 ('Heiter et al., in prep')",MRW,reference code MRW reproduces Jofre+2014's PUBLISHED gf exactly on 57/57 held-out lines (max deviation 0.0 dex),RYA-1110 (decision) / RYA-1111 (validation),"Ryan, 2026-08-30, on RYA-1111's options report: adopt the 12 whose reference code reproduces Jofre's published gf EXACTLY on at least 5 held-out lines; leave the 1 THIN and 8 RISKY refused."
Fe I,5635.82,4.2600,-1.790,"Heiter et al. 2021, A&A 645, A106 -- the published version of the GES line list Jofre+2014 used as GES-v3 ('Heiter et al., in prep')",MRW,reference code MRW reproduces Jofre+2014's PUBLISHED gf exactly on 57/57 held-out lines (max deviation 0.0 dex),RYA-1110 (decision) / RYA-1111 (validation),"Ryan, 2026-08-30, on RYA-1111's options report: adopt the 12 whose reference code reproduces Jofre's published gf EXACTLY on at least 5 held-out lines; leave the 1 THIN and 8 RISKY refused."
Fe I,6330.85,4.7300,-1.640,"Heiter et al. 2021, A&A 645, A106 -- the published version of the GES line list Jofre+2014 used as GES-v3 ('Heiter et al., in prep')",MRW,reference code MRW reproduces Jofre+2014's PUBLISHED gf exactly on 57/57 held-out lines (max deviation 0.0 dex),RYA-1110 (decision) / RYA-1111 (validation),"Ryan, 2026-08-30, on RYA-1111's options report: adopt the 12 whose reference code reproduces Jofre's published gf EXACTLY on at least 5 held-out lines; leave the 1 THIN and 8 RISKY refused."
Fe I,6338.88,4.8000,-0.960,"Heiter et al. 2021, A&A 645, A106 -- the published version of the GES line list Jofre+2014 used as GES-v3 ('Heiter et al., in prep')",MRW,reference code MRW reproduces Jofre+2014's PUBLISHED gf exactly on 57/57 held-out lines (max deviation 0.0 dex),RYA-1110 (decision) / RYA-1111 (validation),"Ryan, 2026-08-30, on RYA-1111's options report: adopt the 12 whose reference code reproduces Jofre's published gf EXACTLY on at least 5 held-out lines; leave the 1 THIN and 8 RISKY refused."
Fe I,6364.36,4.8000,-1.330,"Heiter et al. 2021, A&A 645, A106 -- the published version of the GES line list Jofre+2014 used as GES-v3 ('Heiter et al., in prep')",MRW,reference code MRW reproduces Jofre+2014's PUBLISHED gf exactly on 57/57 held-out lines (max deviation 0.0 dex),RYA-1110 (decision) / RYA-1111 (validation),"Ryan, 2026-08-30, on RYA-1111's options report: adopt the 12 whose reference code reproduces Jofre's published gf EXACTLY on at least 5 held-out lines; leave the 1 THIN and 8 RISKY refused."
Fe I,6569.21,4.7300,-0.380,"Heiter et al. 2021, A&A 645, A106 -- the published version of the GES line list Jofre+2014 used as GES-v3 ('Heiter et al., in prep')",MRW,reference code MRW reproduces Jofre+2014's PUBLISHED gf exactly on 57/57 held-out lines (max deviation 0.0 dex),RYA-1110 (decision) / RYA-1111 (validation),"Ryan, 2026-08-30, on RYA-1111's options report: adopt the 12 whose reference code reproduces Jofre's published gf EXACTLY on at least 5 held-out lines; leave the 1 THIN and 8 RISKY refused."
Fe I,6786.86,4.1900,-1.970,"Heiter et al. 2021, A&A 645, A106 -- the published version of the GES line list Jofre+2014 used as GES-v3 ('Heiter et al., in prep')",MRW,reference code MRW reproduces Jofre+2014's PUBLISHED gf exactly on 57/57 held-out lines (max deviation 0.0 dex),RYA-1110 (decision) / RYA-1111 (validation),"Ryan, 2026-08-30, on RYA-1111's options report: adopt the 12 whose reference code reproduces Jofre's published gf EXACTLY on at least 5 held-out lines; leave the 1 THIN and 8 RISKY refused."
Fe I,6806.84,2.7300,-2.130,"Heiter et al. 2021, A&A 645, A106 -- the published version of the GES line list Jofre+2014 used as GES-v3 ('Heiter et al., in prep')",MRW,reference code MRW reproduces Jofre+2014's PUBLISHED gf exactly on 57/57 held-out lines (max deviation 0.0 dex),RYA-1110 (decision) / RYA-1111 (validation),"Ryan, 2026-08-30, on RYA-1111's options report: adopt the 12 whose reference code reproduces Jofre's published gf EXACTLY on at least 5 held-out lines; leave the 1 THIN and 8 RISKY refused."
Fe I,6820.37,4.6400,-1.220,"Heiter et al. 2021, A&A 645, A106 -- the published version of the GES line list Jofre+2014 used as GES-v3 ('Heiter et al., in prep')",MRW,reference code MRW reproduces Jofre+2014's PUBLISHED gf exactly on 57/57 held-out lines (max deviation 0.0 dex),RYA-1110 (decision) / RYA-1111 (validation),"Ryan, 2026-08-30, on RYA-1111's options report: adopt the 12 whose reference code reproduces Jofre's published gf EXACTLY on at least 5 held-out lines; leave the 1 THIN and 8 RISKY refused."
Fe II,6149.26,3.8900,-2.841,"Heiter et al. 2021, A&A 645, A106 -- the published version of the GES line list Jofre+2014 used as GES-v3 ('Heiter et al., in prep')",RU,reference code RU reproduces Jofre+2014's PUBLISHED gf exactly on 5/5 held-out lines (max deviation 0.0 dex),RYA-1110 (decision) / RYA-1111 (validation),"Ryan, 2026-08-30, on RYA-1111's options report: adopt the 12 whose reference code reproduces Jofre's published gf EXACTLY on at least 5 held-out lines; leave the 1 THIN and 8 RISKY refused."
