element,model_atom,upstream_available,staged_on_sirius,rya534_prov_committed,status,rya534_gate,staging_unblocks_element,blocker_if_not
Al,atom.al_qmh,True,False,False,upstream-only-NOT-staged,,NO,"Engine A has 2 solar EW lines (6631.218, 6696.185) and the RYA-398 graded-gf firewall culls BOTH: gf source Kurucz-1975, grade LOW, GF_UNVERIFIED, low_gf_frac 1.0 -> N_clean 0 (data/curation/nonfe_pools/Al_cull_graded_rya398.csv + curation_diagnostics_graded_rya398.csv). synth-v2 fits the same curated pool, so it has no Al line either. Staging the Gerber Al atom gives a departure correction with nothing to correct. REAL BLOCKER: a graded (NIST/laboratory) gf for Al I 6631/6696 — RYA-161/162 differential survey."
Ba,atom.ba111,True,True,True,staged-and-ratified,median delta -0.018 (EW 199 mA) (anchor -0.05 (Korotin+2015; Ba II resonance moderate negative)),,
Ca,atom.ca105b,True,True,True,staged-and-ratified,"per-line delta -0.009 / -0.010; median -0.009 (EW 228/275 mA, strong lines) (anchor +0.02 (our Ca_Mashonkina2017 solar +0.017; same MAFAGS-OS lineage as Gerber atom.ca105b))",,
Co,atom.co247qm,True,True,True,staged-and-ratified,"per-line +0.098/+0.100; median +0.099 (EW 0.7/1.1 mA — WEAK lines, weak-line regime) (anchor +0.10 (Bergemann+2010; Co large+))",,
Cr,atom.cr374,True,False,False,upstream-only-NOT-staged,,unknown,
Eu,atom.eu662qmkhfs,True,False,False,upstream-only-NOT-staged,,unknown,
Fe,atom.fe607a,True,True,True,staged-and-ratified,"per-line +0.0500 / +0.0636 / +0.0524 / +0.0747 / +0.0686 / +0.0501 / +0.0579 (n=7 used); median +0.0579, mean +0.0596, sd 0.0097. Fe I 5607.664 EXCLUDED by the SYN_EW_MIN=5 mA guard (synthetic EW 0.95 mA). Including it the median is +0.0589, so the exclusion is not what decides the verdict. Reproduced bit-for-bit across two runs. (anchor +0.06 -- Gerber, Bergemann et al. 2023, A&A 669 A43, THE DECK'S OWN PAPER. Table 3 gives the solar [Fe/H] as -0.04 (1D LTE) -> +0.02 (1D NLTE); Table 4 states the correction as +0.06 dex; Sect. 5.1 reports 'an average difference of about +0.05 dex between the [Fe/H] determined using 1D NLTE and 1D LTE' across their sample.)",,"RYA-785: the deck is staged AND RATIFIED -- it reproduces Gerber+2023 A&A 669 A43 Table 4 solar +0.06 to 0.0021 dex on 8 isolated lines -- but NOTHING CAN REACH IT. _fit_synth_flux, the function SynthesisHandler is a thin adapter over, has no NLTE parameter; and iSpec input/dep-grid/ is EMPTY while our deck is TS-native, so the only consumer today is the ts_gerber_gate direct interpol_modeles_nlte + bsyn path. derive_band_products --engine-b-deck gerber-nlte therefore still REFUSES. Ratification clears the physics, not the plumbing -- RYA-798."
H,atom.h20,True,True,False,staged-NOT-ratified,,,
Mg,atom.mg86d,True,True,True,staged-and-ratified,median delta -0.023 (EW_NLTE 129 mA) (anchor -0.02 (our Mg_Amarsi2020_PySME solar -0.022; Mg NLTE ~0 in FGK)),,
Mn,atom.mn281kbc,True,True,True,staged-and-ratified,per-line delta +0.043 / +0.043; median +0.043 (anchor +0.10 (Bergemann&Gehren 2008 / our Mn_Bergemann_MPIA +0.107; Gerber atom.mn281kbc = Bergemann 2019 lineage)),,
Na,atom.na_qmh,True,True,True,staged-and-ratified,per-line delta -0.0647 / -0.0718; median -0.0682 (anchor -0.107 (INSPECT/Amarsi)),,
Ni,atom.ni538qm,True,True,True,staged-and-ratified,per-line +0.020/+0.016; median +0.018 (EW 75/93 mA) (anchor +0.02 (Bergemann+2021; Ni small+)),,
O,atom.o41f,True,True,True,staged-and-ratified,"per-line delta -0.125 / -0.105 / -0.095; median -0.105 (anchor -0.134 (our banked Amarsi-2019 nlte_cno 1D-NLTE leg, table6, solar; the 3D leg is -0.169))",,
Si,atom.si340,True,True,True,staged-and-ratified,median delta -0.034 (EW 53 mA) (anchor -0.01 (our Si_Amarsi2020_PySME -0.013)),,
Sr,atom.sr191,True,True,True,staged-and-ratified,"median delta -0.013 (EW_NLTE 303 mA, strong resonance line) (anchor -0.01 (our Sr_Bergemann2012_INSPECT near-LTE at solar ~-0.005))",,
Ti,atom.ti503b,True,True,True,staged-and-ratified,"per-line +0.266/+0.207/+0.221; median +0.221 (EW 8.6/9.7/18.6 mA — well-measured, consistent) (anchor +0.107 (our banked Ti_Bergemann2011_MPIA solar median; range +0.10..+0.13))",,
Y,atom.y423qm_pf,True,False,False,upstream-only-NOT-staged,,NO,"Y II is the reported ion and has NO measurement at all. The solar EW pool carries 3 rows labelled Y **I** (4348.786, 6191.718 at 189.94 mA, 6435.004) — Y I is essentially absent from the solar photosphere, so these are misidentifications, and 6191.7 at 190 mA is a known blend. Y was never curated (no Y_cull_*.csv exists in data/curation/nonfe_pools/). REAL BLOCKER: a Y II arm + ion-label correction (RYA-458; the ion-label defect is the RYA-683 class, same shape as the gold-v1 Sr I row RYA-663 found)."
