element,ion,wavelength_air_A,instrument,ew_mA,ew_method,abundance,rew,treatment,in_aggregate,excluded_reason,problem_class,problem_status,problem_tickets,problem_action,ep_eV,continuum_level,continuum_method,continuum_ref,nlte_delta_dex,nlte_source,ew_inversion,profile_sigma_A,profile_sigma_floor_A,profile_gamma_A,sigma_A,frac_rise_weaker,edge_distance_dex,red_chi2,observed_depth,implied_width_A,observed_conditioning
Fe,I,4372.9817,kpno_solar_atlas,266.41906162313364,"PROFILE-FIT (voigt); gap 0.128 A; model integrated; chi2_red=0.03223; sigma_fit=0.0037 A (init 0.0251, floor 0.0037); ew_err=118.23 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno_molecfit_corrected · lm0436[uncorrected: no telluric band registered]",,-4.215212365615433,,False,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.588 A from the catalogued position (depth 0.685 vs 0.357 at the line) — the EW is an upper bound on a blend, not this line",,,,,3.0173,1.0,"pre-normalised: solar_kpno_molecfit_corrected ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.003714068761094613,0.0037140687610942662,0.39999999999768515,,,,0.032225584032788746,0.51412,0.48682019420553846,
Fe,I,4554.451,kpno_solar_atlas,43.346815951995076,"PROFILE-FIT (gaussian); gap 0.369 A; model integrated; chi2_red=0.1163; sigma_fit=0.0484 A (init 0.0261, floor 0.0039); ew_err=24.83 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno_molecfit_corrected · lm0452[uncorrected: no telluric band registered]",,-5.021478832183426,,False,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.417 A from the catalogued position (depth 0.922 vs 0.367 at the line) — the EW is an upper bound on a blend, not this line",,,,,2.8654,1.0,"pre-normalised: solar_kpno_molecfit_corrected ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.04838737137122574,0.003868194596614603,,,,,0.11634962564401967,0.39164,0.10397715968296624,
Fe,I,4565.6614,kpno_solar_atlas,240.42115406620613,"PROFILE-FIT (voigt); gap 0.052 A; model integrated; chi2_red=0.0044; sigma_fit=0.1621 A (init 0.0262, floor 0.0039); ew_err=54.90 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno_molecfit_corrected · lm0456[uncorrected: no telluric band registered]",,-4.278531022550563,,False,"OVER-PHYSICAL-WIDTH: the fitted voigt profile has Gaussian sigma 0.1621 A, against the 0.0666 A that instrumental + thermal + microturbulent + macroturbulent + rotational broadening together permit at this wavelength (instrumental sigma 0.0039 A; vmac and vsini are counted as Gaussian sigmas, which overstates both, so this is a ceiling and not an expectation). No Doppler mechanism can make a line this wide, so the integrated EW is absorption from something else, not this line's EW.",,,,,3.241,1.0,"pre-normalised: solar_kpno_molecfit_corrected ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.16205569586800564,0.003877715833906625,0.01974022126953946,,,,0.004400164945404942,0.65686,0.3438489095359534,
Fe,I,4574.2153,kpno_solar_atlas,57.009614597487904,"PROFILE-FIT (voigt); gap 0.892 A; model integrated; chi2_red=0.02336; sigma_fit=0.0039 A (init 0.0262, floor 0.0039); ew_err=13.86 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno_molecfit_corrected · lm0456[uncorrected: no telluric band registered]",,-4.9043684971537855,,False,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.510 A from the catalogued position (depth 0.637 vs 0.449 at the line) — the EW is an upper bound on a blend, not this line",,,,,3.2112,1.0,"pre-normalised: solar_kpno_molecfit_corrected ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.0038849808480823263,0.003884980847793037,0.04065620447926626,,,,0.023359850888720435,0.45333999999999997,0.11813860942599366,
Fe,I,4611.1837,kpno_solar_atlas,190.66757142865154,"PROFILE-FIT (voigt); gap 0.646 A; model integrated; chi2_red=0.00187; sigma_fit=0.0206 A (init 0.0264, floor 0.0039); ew_err=7.96 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno_molecfit_corrected · lm0460[uncorrected: no telluric band registered]",,-4.383535589049338,,False,REW -4.384 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditioned here. Measured and reported; excluded from the aggregate only.,,,,,2.8512,1.0,"pre-normalised: solar_kpno_molecfit_corrected ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.020640631428216035,0.003916378916435225,0.08650043911331706,,,,0.0018701850700676456,0.78347,0.2286242286739809,
Fe,I,4726.1367,kpno_solar_atlas,37.90010081055076,"PROFILE-FIT (voigt); gap 0.474 A; model integrated; chi2_red=0.0008259; sigma_fit=0.0040 A (init 0.0271, floor 0.0040); ew_err=13.10 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno_molecfit_corrected · lm0472[uncorrected: no telluric band registered]",,-5.095865913973584,,True,,,,,,2.998,1.0,"pre-normalised: solar_kpno_molecfit_corrected ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.004014011007210743,0.004014011007210742,0.07378547264520459,,,,0.0008258911276197909,0.22028999999999999,0.16162679907352245,
Fe,I,4741.0693,kpno_solar_atlas,175.29174773284873,"PROFILE-FIT (voigt); gap 0.055 A; model integrated; chi2_red=0.02937; sigma_fit=0.4000 A (init 0.0272, floor 0.0040); ew_err=145.75 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno_molecfit_corrected · lm0472[uncorrected: no telluric band registered]",,-4.432114832277414,,False,"OVER-PHYSICAL-WIDTH: the fitted voigt profile has Gaussian sigma 0.4000 A, PINNED at the optimiser's upper bound 0.4000 A, against the 0.0691 A that instrumental + thermal + microturbulent + macroturbulent + rotational broadening together permit at this wavelength (instrumental sigma 0.0040 A; vmac and vsini are counted as Gaussian sigmas, which overstates both, so this is a ceiling and not an expectation). No Doppler mechanism can make a line this wide, so the integrated EW is absorption from something else, not this line's EW.",,,,,3.332,1.0,"pre-normalised: solar_kpno_molecfit_corrected ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.39999999696700794,0.004026693590168251,0.3999999999936087,,,,0.029374655508344158,0.10172999999999999,1.6187516216322935,
Fe,I,4787.8264,kpno_solar_atlas,53.373410681502655,"PROFILE-FIT (voigt); gap 0.086 A; model integrated; chi2_red=0.0001463; sigma_fit=0.0150 A (init 0.0275, floor 0.0041); ew_err=17.61 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno_molecfit_corrected · lm0476[uncorrected: no telluric band registered]",,-4.952813439010544,,True,,,,,,2.998,1.0,"pre-normalised: solar_kpno_molecfit_corrected ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.014984163517522,0.004066405415275902,0.035378115556004376,,,,0.00014633492270477147,0.43144000000000005,0.11621771668262044,
Fe,I,4807.708,kpno_solar_atlas,74.5377623604325,"PROFILE-FIT (voigt); gap 0.103 A; model integrated; chi2_red=0.006646; sigma_fit=0.0041 A (init 0.0276, floor 0.0041); ew_err=15.50 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno_molecfit_corrected · lm0480[uncorrected: no telluric band registered]",,-4.809561731571831,,False,REW -4.810 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditioned here. Measured and reported; excluded from the aggregate only.,,,,,3.3683,1.0,"pre-normalised: solar_kpno_molecfit_corrected ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.004083293125455758,0.004083291291903415,0.04844239058096432,,,,0.006645839493357867,0.5176000000000001,0.13528507077327281,
Fe,I,4860.9775,kpno_solar_atlas,711.9405794157599,"PROFILE-FIT (voigt); gap 0.219 A; model integrated; chi2_red=0.003175; sigma_fit=0.2460 A (init 0.0279, floor 0.0041); ew_err=143.45 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno_molecfit_corrected · lm0484[uncorrected: no telluric band registered]",,-3.834279863163296,,False,"OVER-PHYSICAL-WIDTH: the fitted voigt profile has Gaussian sigma 0.2460 A, against the 0.0709 A that instrumental + thermal + microturbulent + macroturbulent + rotational broadening together permit at this wavelength (instrumental sigma 0.0041 A; vmac and vsini are counted as Gaussian sigmas, which overstates both, so this is a ceiling and not an expectation). No Doppler mechanism can make a line this wide, so the integrated EW is absorption from something else, not this line's EW.",,,,,3.3965,1.0,"pre-normalised: solar_kpno_molecfit_corrected ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.24598536497956844,0.004128534240409033,0.39999999999999414,,,,0.0031746040117597287,0.8530800000000001,0.784010316174561,
