wave,symptom,fault_domain,mechanism,discriminator,fix
3924.4921,REW -3.918 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditio,METHOD,EW->abundance inversion runs on the flat part of the curve of growth,REW above -4.9; the line itself is real and well measured,"measure by synthesis, which uses the profile shape rather than inverting EW"
3925.5323,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.417 A from the catalogued p,ATOMIC-DATA,a real solar line missing from our list dominates the window,the dominant feature at 3925.949 (depth 0.884) has NO catalogue entry within 0.05 A — absence of a neighbour in our list is not absence in the spectrum,extend the IR line list from a graded source before measuring this region
3926.4666,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.517 A from the catalogued p,ATOMIC-DATA,a real solar line missing from our list dominates the window,the dominant feature at 3925.949 (depth 0.884) has NO catalogue entry within 0.05 A — absence of a neighbour in our list is not absence in the spectrum,extend the IR line list from a graded source before measuring this region
3927.4458,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.484 A from the catalogued p,METHOD,integration window wide enough to swallow a KNOWN neighbour,the dominant feature at 3927.930 IS in our catalogue (1 entry/entries within 0.05 A),"narrow the window, or measure by profile fitting/synthesis which models the neighbour instead of integrating over it"
3927.614,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.316 A from the catalogued p,METHOD,integration window wide enough to swallow a KNOWN neighbour,the dominant feature at 3927.930 IS in our catalogue (1 entry/entries within 0.05 A),"narrow the window, or measure by profile fitting/synthesis which models the neighbour instead of integrating over it"
3927.7546,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.175 A from the catalogued p,METHOD,integration window wide enough to swallow a KNOWN neighbour,the dominant feature at 3927.930 IS in our catalogue (1 entry/entries within 0.05 A),"narrow the window, or measure by profile fitting/synthesis which models the neighbour instead of integrating over it"
3928.0106,REW -3.661 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditio,METHOD,EW->abundance inversion runs on the flat part of the curve of growth,REW above -4.9; the line itself is real and well measured,"measure by synthesis, which uses the profile shape rather than inverting EW"
3928.1889,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.259 A from the catalogued p,METHOD,integration window wide enough to swallow a KNOWN neighbour,the dominant feature at 3927.930 IS in our catalogue (1 entry/entries within 0.05 A),"narrow the window, or measure by profile fitting/synthesis which models the neighbour instead of integrating over it"
3930.0041,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.300 A from the catalogued p,ATOMIC-DATA,a real solar line missing from our list dominates the window,the dominant feature at 3930.304 (depth 0.952) has NO catalogue entry within 0.05 A — absence of a neighbour in our list is not absence in the spectrum,extend the IR line list from a graded source before measuring this region
3931.4548,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.562 A from the catalogued p,ATOMIC-DATA,a real solar line missing from our list dominates the window,the dominant feature at 3932.017 (depth 0.865) has NO catalogue entry within 0.05 A — absence of a neighbour in our list is not absence in the spectrum,extend the IR line list from a graded source before measuring this region
