wave,symptom,fault_domain,mechanism,discriminator,fix
3044.6687,FEATURE-VERIFICATION: GF-GHOST-ABSENT: no absorption at the catalogued position (depth 0.0,ATOMIC-DATA,"log gf far too strong, or the transition is assigned to the wrong species",nothing within 0.6 A has a depth resembling the predicted 0.143; observed at the position is 0.166,"re-adjudicate log gf against a NIST-graded source; if it survives, the species assignment is suspect"
3068.4459,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.265 A from the catalogued p,ATOMIC-DATA,a real solar line missing from our list dominates the window,the dominant feature at 3068.181 (depth 0.953) has NO catalogue entry within 0.05 A — absence of a neighbour in our list is not absence in the spectrum,extend the IR line list from a graded source before measuring this region
3078.5033,FEATURE-VERIFICATION: GF-GHOST: observed depth 0.751 vs predicted 0.084 (x8.9) at the corr,ATOMIC-DATA,"log gf too weak, or an uncatalogued blend adds depth at this position","0.772 observed vs 0.084 predicted — the line is present and correctly placed, so this is not a positional error. Deeper than predicted has TWO explanations and this test does not separate them; a synthesis fit would","re-adjudicate log gf against NIST; if it holds, look for an uncatalogued blend by fitting the profile"
3114.8171,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.507 A from the catalogued p,ATOMIC-DATA,a real solar line missing from our list dominates the window,the dominant feature at 3114.310 (depth 0.870) has NO catalogue entry within 0.05 A — absence of a neighbour in our list is not absence in the spectrum,extend the IR line list from a graded source before measuring this region
3123.5488,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.407 A from the catalogued p,ATOMIC-DATA,a real solar line missing from our list dominates the window,the dominant feature at 3123.956 (depth 0.844) has NO catalogue entry within 0.05 A — absence of a neighbour in our list is not absence in the spectrum,extend the IR line list from a graded source before measuring this region
3148.3084,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.267 A from the catalogued p,ATOMIC-DATA,a real solar line missing from our list dominates the window,the dominant feature at 3148.042 (depth 0.944) has NO catalogue entry within 0.05 A — absence of a neighbour in our list is not absence in the spectrum,extend the IR line list from a graded source before measuring this region
3171.252,REW -3.955 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditio,METHOD,EW->abundance inversion runs on the flat part of the curve of growth,REW above -4.9; the line itself is real and well measured,"measure by synthesis, which uses the profile shape rather than inverting EW"
3185.6467,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.322 A from the catalogued p,ATOMIC-DATA,a real solar line missing from our list dominates the window,the dominant feature at 3185.324 (depth 0.891) has NO catalogue entry within 0.05 A — absence of a neighbour in our list is not absence in the spectrum,extend the IR line list from a graded source before measuring this region
3233.6966,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.276 A from the catalogued p,ATOMIC-DATA,a real solar line missing from our list dominates the window,the dominant feature at 3233.973 (depth 0.945) has NO catalogue entry within 0.05 A — absence of a neighbour in our list is not absence in the spectrum,extend the IR line list from a graded source before measuring this region
3246.6577,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.310 A from the catalogued p,METHOD,integration window wide enough to swallow a KNOWN neighbour,the dominant feature at 3246.968 IS in our catalogue (2 entry/entries within 0.05 A),"narrow the window, or measure by profile fitting/synthesis which models the neighbour instead of integrating over it"
