element,ion,wavelength_air_A,instrument,ew_mA,ew_method,abundance,rew,treatment,in_aggregate,excluded_reason
Fe,I,3924.4921,kpno_solar_atlas,123.67297850001515,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0392; half-width 0.120 A from line separation | CONCERN: side-band 95th pct is 0.6763, below 0.97 — the local pseudo-continuum is itself absorbed. The atlas continuum is used, but this window sits in crowded spectrum and the EW may include unresolved neighbours.",,-4.501508638863554,,False,REW -4.502 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditioned here. Measured and reported; excluded from the aggregate only.
Fe,I,3925.5323,kpno_solar_atlas,133.2427285001228,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0392; half-width 0.120 A from line separation | CONCERN: side-band 95th pct is 0.6032, below 0.97 — the local pseudo-continuum is itself absorbed. The atlas continuum is used, but this window sits in crowded spectrum and the EW may include unresolved neighbours.",,-4.4692550377172955,,False,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.118 A from the catalogued position (depth 0.783 vs 0.325 at the line) — the EW is an upper bound on a blend, not this line"
Fe,I,3926.4666,kpno_solar_atlas,123.38578649991474,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0392; half-width 0.120 A from line separation | CONCERN: side-band 95th pct is 0.5680, below 0.97 — the local pseudo-continuum is itself absorbed. The atlas continuum is used, but this window sits in crowded spectrum and the EW may include unresolved neighbours.",,-4.502736773768233,,False,REW -4.503 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditioned here. Measured and reported; excluded from the aggregate only.
Fe,I,3927.4458,kpno_solar_atlas,135.72110299991093,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0392; half-width 0.120 A from line separation | CONCERN: side-band 95th pct is 0.4935, below 0.97 — the local pseudo-continuum is itself absorbed. The atlas continuum is used, but this window sits in crowded spectrum and the EW may include unresolved neighbours.",,-4.461462819870418,,False,REW -4.461 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditioned here. Measured and reported; excluded from the aggregate only.
Fe,I,3927.614,kpno_solar_atlas,142.82362049977843,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0392; half-width 0.120 A from line separation | CONCERN: side-band 95th pct is 0.4372, below 0.97 — the local pseudo-continuum is itself absorbed. The atlas continuum is used, but this window sits in crowded spectrum and the EW may include unresolved neighbours.",,-4.439328761400088,,False,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.118 A from the catalogued position (depth 0.326 vs 0.209 at the line) — the EW is an upper bound on a blend, not this line"
Fe,I,3927.7546,kpno_solar_atlas,165.09433299984866,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0392; half-width 0.120 A from line separation | CONCERN: side-band 95th pct is 0.4306, below 0.97 — the local pseudo-continuum is itself absorbed. The atlas continuum is used, but this window sits in crowded spectrum and the EW may include unresolved neighbours.",,-4.376412179918882,,False,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.116 A from the catalogued position (depth 0.678 vs 0.293 at the line) — the EW is an upper bound on a blend, not this line"
Fe,I,3928.0106,kpno_solar_atlas,204.2341065000738,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0392; half-width 0.120 A from line separation | CONCERN: side-band 95th pct is 0.2725, below 0.97 — the local pseudo-continuum is itself absorbed. The atlas continuum is used, but this window sits in crowded spectrum and the EW may include unresolved neighbours.",,-4.284044381370177,,False,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.081 A from the catalogued position (depth 0.872 vs 0.482 at the line) — the EW is an upper bound on a blend, not this line"
Fe,I,3928.1889,kpno_solar_atlas,182.14312249962282,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0392; half-width 0.120 A from line separation | CONCERN: side-band 95th pct is 0.3761, below 0.97 — the local pseudo-continuum is itself absorbed. The atlas continuum is used, but this window sits in crowded spectrum and the EW may include unresolved neighbours.",,-4.333779586646755,,False,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.098 A from the catalogued position (depth 0.689 vs 0.410 at the line) — the EW is an upper bound on a blend, not this line"
Fe,I,3930.0041,kpno_solar_atlas,176.18273150009938,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0392; half-width 0.120 A from line separation | CONCERN: side-band 95th pct is 0.2986, below 0.97 — the local pseudo-continuum is itself absorbed. The atlas continuum is used, but this window sits in crowded spectrum and the EW may include unresolved neighbours.",,-4.348429664543039,,False,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.119 A from the catalogued position (depth 0.448 vs 0.108 at the line) — the EW is an upper bound on a blend, not this line"
Fe,I,3931.4548,kpno_solar_atlas,185.67513950010073,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0392; half-width 0.120 A from line separation | CONCERN: side-band 95th pct is 0.2226, below 0.97 — the local pseudo-continuum is itself absorbed. The atlas continuum is used, but this window sits in crowded spectrum and the EW may include unresolved neighbours.",,-4.325799528061496,,False,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.116 A from the catalogued position (depth 0.087 vs 0.057 at the line) — the EW is an upper bound on a blend, not this line"
