element,ion,wavelength_air_A,instrument,ew_mA,ew_method,abundance,rew,treatment,in_aggregate,excluded_reason
Fe,I,3000.2615,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.017 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,I,3000.3721,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.111 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,I,3000.882,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.168 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,I,3001.0501,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.168 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,I,3002.0284,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.106 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,I,3003.2915,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.160 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,I,3003.8662,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.126 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,I,3004.4851,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.019 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,I,3004.6859,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.040 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,I,3004.8658,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.039 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,I,3005.014,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.148 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,I,3005.5724,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.015 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,I,3006.463,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.033 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,I,3007.7508,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.091 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,I,3007.8414,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.091 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,I,3008.7669,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.058 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,I,3009.1486,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.018 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,I,3011.8852,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.118 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,I,3012.5868,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.034 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,I,3013.2646,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.058 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,I,3013.8964,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.097 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,I,3014.2437,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.106 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,I,3014.8899,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.103 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,I,3014.9931,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.103 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,I,3015.4392,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.061 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,I,3015.5006,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.061 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,I,3016.1189,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.082 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
