wave,symptom,fault_domain,mechanism,discriminator,fix
6911.5113,FIT-PINNED: fitted sigma 0.0059 A sits on the instrumental floor 0.0059 A. No observed fea,UNKNOWN,,,
6930.6312,FIT-PINNED: fitted sigma 0.0059 A sits on the instrumental floor 0.0059 A. No observed fea,UNKNOWN,,,
6932.1772,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.423 A from the catalogued p,ATOMIC-DATA,a real solar line missing from our list dominates the window,the dominant feature at 6931.754 (depth 0.104) has NO catalogue entry within 0.05 A — absence of a neighbour in our list is not absence in the spectrum,extend the IR line list from a graded source before measuring this region
6933.0194,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.585 A from the catalogued p,METHOD,integration window wide enough to swallow a KNOWN neighbour,the dominant feature at 6933.605 IS in our catalogue (1 entry/entries within 0.05 A),"narrow the window, or measure by profile fitting/synthesis which models the neighbour instead of integrating over it"
6933.6344,FIT-PINNED: fitted sigma 0.0059 A sits on the instrumental floor 0.0059 A. No observed fea,UNKNOWN,,,
6936.48,FIT-PINNED: fitted sigma 0.0059 A sits on the instrumental floor 0.0059 A. No observed fea,UNKNOWN,,,
6942.8181,FEATURE-VERIFICATION: GF-GHOST-ABSENT: no absorption at the catalogued position (depth 0.0,ATOMIC-DATA,"log gf far too strong, or the transition is assigned to the wrong species",nothing within 0.6 A has a depth resembling the predicted 0.064; observed at the position is 0.016,"re-adjudicate log gf against a NIST-graded source; if it survives, the species assignment is suspect"
6945.2037,REW -4.894 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditio,METHOD,EW->abundance inversion runs on the flat part of the curve of growth,REW above -4.9; the line itself is real and well measured,"measure by synthesis, which uses the profile shape rather than inverting EW"
6947.4876,FIT-PINNED: fitted sigma 0.0059 A sits on the instrumental floor 0.0059 A. No observed fea,UNKNOWN,,,
6949.3808,FIT-PINNED: fitted sigma 0.0059 A sits on the instrumental floor 0.0059 A. No observed fea,UNKNOWN,,,
6951.6162,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.369 A from the catalogued p,METHOD,integration window wide enough to swallow a KNOWN neighbour,the dominant feature at 6951.248 IS in our catalogue (1 entry/entries within 0.05 A),"narrow the window, or measure by profile fitting/synthesis which models the neighbour instead of integrating over it"
6953.0057,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.567 A from the catalogued p,ATOMIC-DATA,a real solar line missing from our list dominates the window,the dominant feature at 6953.573 (depth 0.237) has NO catalogue entry within 0.05 A — absence of a neighbour in our list is not absence in the spectrum,extend the IR line list from a graded source before measuring this region
6960.3217,FIT-PINNED: fitted sigma 0.0059 A sits on the instrumental floor 0.0059 A. No observed fea,UNKNOWN,,,
6963.0158,FIT-PINNED: fitted sigma 0.0059 A sits on the instrumental floor 0.0059 A. No observed fea,UNKNOWN,,,
6970.4728,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.404 A from the catalogued p,ATOMIC-DATA,a real solar line missing from our list dominates the window,the dominant feature at 6970.877 (depth 0.131) has NO catalogue entry within 0.05 A — absence of a neighbour in our list is not absence in the spectrum,extend the IR line list from a graded source before measuring this region
6971.9317,FIT-PINNED: fitted sigma 0.0059 A sits on the instrumental floor 0.0059 A. No observed fea,UNKNOWN,,,
6976.2651,FIT-PINNED: fitted sigma 0.0059 A sits on the instrumental floor 0.0059 A. No observed fea,UNKNOWN,,,
6976.9219,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.552 A from the catalogued p,METHOD,integration window wide enough to swallow a KNOWN neighbour,the dominant feature at 6977.474 IS in our catalogue (1 entry/entries within 0.05 A),"narrow the window, or measure by profile fitting/synthesis which models the neighbour instead of integrating over it"
6978.8501,FIT-PINNED: fitted sigma 0.0059 A sits on the instrumental floor 0.0059 A. No observed fea,UNKNOWN,,,
6981.6184,FIT-PINNED: fitted sigma 0.0059 A sits on the instrumental floor 0.0059 A. No observed fea,UNKNOWN,,,
6986.5165,FIT-PINNED: fitted sigma 0.0059 A sits on the instrumental floor 0.0059 A. No observed fea,UNKNOWN,,,
6988.5233,FIT-PINNED: fitted sigma 0.0059 A sits on the instrumental floor 0.0059 A. No observed fea,UNKNOWN,,,
6994.9852,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.373 A from the catalogued p,ATOMIC-DATA,a real solar line missing from our list dominates the window,the dominant feature at 6994.612 (depth 0.077) has NO catalogue entry within 0.05 A — absence of a neighbour in our list is not absence in the spectrum,extend the IR line list from a graded source before measuring this region
6997.1401,FEATURE-VERIFICATION: GF-GHOST-ABSENT: no absorption at the catalogued position (depth 0.0,ATOMIC-DATA,"log gf far too strong, or the transition is assigned to the wrong species",nothing within 0.6 A has a depth resembling the predicted 0.221; observed at the position is 0.021,"re-adjudicate log gf against a NIST-graded source; if it survives, the species assignment is suspect"
7005.5804,FIT-PINNED: fitted sigma 0.0059 A sits on the instrumental floor 0.0059 A. No observed fea,UNKNOWN,,,
7007.9651,FIT-PINNED: fitted sigma 0.0060 A sits on the instrumental floor 0.0060 A. No observed fea,UNKNOWN,,,
7010.3456,FIT-PINNED: fitted sigma 0.0060 A sits on the instrumental floor 0.0060 A. No observed fea,UNKNOWN,,,
7010.728,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.598 A from the catalogued p,METHOD,integration window wide enough to swallow a KNOWN neighbour,the dominant feature at 7011.326 IS in our catalogue (1 entry/entries within 0.05 A),"narrow the window, or measure by profile fitting/synthesis which models the neighbour instead of integrating over it"
7011.3431,FIT-PINNED: fitted sigma 0.0060 A sits on the instrumental floor 0.0060 A. No observed fea,UNKNOWN,,,
7014.9863,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.305 A from the catalogued p,ATOMIC-DATA,a real solar line missing from our list dominates the window,the dominant feature at 7015.292 (depth 0.112) has NO catalogue entry within 0.05 A — absence of a neighbour in our list is not absence in the spectrum,extend the IR line list from a graded source before measuring this region
7016.0551,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.380 A from the catalogued p,ATOMIC-DATA,a real solar line missing from our list dominates the window,the dominant feature at 7016.435 (depth 0.604) has NO catalogue entry within 0.05 A — absence of a neighbour in our list is not absence in the spectrum,extend the IR line list from a graded source before measuring this region
7016.3803,FIT-PINNED: fitted sigma 0.0060 A sits on the instrumental floor 0.0060 A. No observed fea,UNKNOWN,,,
7016.7179,FIT-PINNED: fitted sigma 0.0060 A sits on the instrumental floor 0.0060 A. No observed fea,UNKNOWN,,,
7022.39,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.568 A from the catalogued p,METHOD,integration window wide enough to swallow a KNOWN neighbour,the dominant feature at 7022.958 IS in our catalogue (1 entry/entries within 0.05 A),"narrow the window, or measure by profile fitting/synthesis which models the neighbour instead of integrating over it"
7022.9519,FIT-PINNED: fitted sigma 0.0060 A sits on the instrumental floor 0.0060 A. No observed fea,UNKNOWN,,,
7023.5069,FIT-PINNED: fitted sigma 0.0060 A sits on the instrumental floor 0.0060 A. No observed fea,UNKNOWN,,,
7024.0499,FIT-PINNED: fitted sigma 0.0060 A sits on the instrumental floor 0.0060 A. No observed fea,UNKNOWN,,,
7024.6406,FIT-PINNED: fitted sigma 0.0060 A sits on the instrumental floor 0.0060 A. No observed fea,UNKNOWN,,,
7027.5925,FIT-PINNED: fitted sigma 0.0060 A sits on the instrumental floor 0.0060 A. No observed fea,UNKNOWN,,,
7028.5723,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.401 A from the catalogued p,METHOD,integration window wide enough to swallow a KNOWN neighbour,the dominant feature at 7028.973 IS in our catalogue (1 entry/entries within 0.05 A),"narrow the window, or measure by profile fitting/synthesis which models the neighbour instead of integrating over it"
7029.1307,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.158 A from the catalogued p,METHOD,integration window wide enough to swallow a KNOWN neighbour,the dominant feature at 7028.973 IS in our catalogue (1 entry/entries within 0.05 A),"narrow the window, or measure by profile fitting/synthesis which models the neighbour instead of integrating over it"
7030.8649,FIT-PINNED: fitted sigma 0.0060 A sits on the instrumental floor 0.0060 A. No observed fea,UNKNOWN,,,
7038.7689,FIT-PINNED: fitted sigma 0.0060 A sits on the instrumental floor 0.0060 A. No observed fea,UNKNOWN,,,
7044.6351,FIT-PINNED: fitted sigma 0.0060 A sits on the instrumental floor 0.0060 A. No observed fea,UNKNOWN,,,
7068.4119,FIT-PINNED: fitted sigma 0.0060 A sits on the instrumental floor 0.0060 A. No observed fea,UNKNOWN,,,
7068.5991,FIT-PINNED: fitted sigma 0.0060 A sits on the instrumental floor 0.0060 A. No observed fea,UNKNOWN,,,
7072.8046,FIT-PINNED: fitted sigma 0.0060 A sits on the instrumental floor 0.0060 A. No observed fea,UNKNOWN,,,
7082.1484,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.355 A from the catalogued p,ATOMIC-DATA,a real solar line missing from our list dominates the window,the dominant feature at 7082.503 (depth 0.027) has NO catalogue entry within 0.05 A — absence of a neighbour in our list is not absence in the spectrum,extend the IR line list from a graded source before measuring this region
7083.3943,FIT-PINNED: fitted sigma 0.0060 A sits on the instrumental floor 0.0060 A. No observed fea,UNKNOWN,,,
7092.8343,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.241 A from the catalogued p,METHOD,integration window wide enough to swallow a KNOWN neighbour,the dominant feature at 7093.076 IS in our catalogue (1 entry/entries within 0.05 A),"narrow the window, or measure by profile fitting/synthesis which models the neighbour instead of integrating over it"
7093.0804,FIT-PINNED: fitted sigma 0.0060 A sits on the instrumental floor 0.0060 A. No observed fea,UNKNOWN,,,
7100.193,FIT-PINNED: fitted sigma 0.0060 A sits on the instrumental floor 0.0060 A. No observed fea,UNKNOWN,,,
7114.5483,FIT-PINNED: fitted sigma 0.0060 A sits on the instrumental floor 0.0060 A. No observed fea,UNKNOWN,,,
7118.0958,FIT-PINNED: fitted sigma 0.0060 A sits on the instrumental floor 0.0060 A. No observed fea,UNKNOWN,,,
7127.567,FIT-PINNED: fitted sigma 0.0061 A sits on the instrumental floor 0.0061 A. No observed fea,UNKNOWN,,,
7129.3405,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.264 A from the catalogued p,ATOMIC-DATA,a real solar line missing from our list dominates the window,the dominant feature at 7129.077 (depth 0.056) has NO catalogue entry within 0.05 A — absence of a neighbour in our list is not absence in the spectrum,extend the IR line list from a graded source before measuring this region
7130.9205,REW -4.816 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditio,METHOD,EW->abundance inversion runs on the flat part of the curve of growth,REW above -4.9; the line itself is real and well measured,"measure by synthesis, which uses the profile shape rather than inverting EW"
7131.3595,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.427 A from the catalogued p,METHOD,integration window wide enough to swallow a KNOWN neighbour,the dominant feature at 7130.932 IS in our catalogue (1 entry/entries within 0.05 A),"narrow the window, or measure by profile fitting/synthesis which models the neighbour instead of integrating over it"
7148.7246,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.568 A from the catalogued p,METHOD,integration window wide enough to swallow a KNOWN neighbour,the dominant feature at 7148.156 IS in our catalogue (1 entry/entries within 0.05 A),"narrow the window, or measure by profile fitting/synthesis which models the neighbour instead of integrating over it"
7151.4692,FIT-PINNED: fitted sigma 0.0061 A sits on the instrumental floor 0.0061 A. No observed fea,UNKNOWN,,,
7155.6298,FIT-PINNED: fitted sigma 0.0061 A sits on the instrumental floor 0.0061 A. No observed fea,UNKNOWN,,,
7158.4765,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.291 A from the catalogued p,ATOMIC-DATA,a real solar line missing from our list dominates the window,the dominant feature at 7158.767 (depth 0.155) has NO catalogue entry within 0.05 A — absence of a neighbour in our list is not absence in the spectrum,extend the IR line list from a graded source before measuring this region
7162.3435,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.299 A from the catalogued p,ATOMIC-DATA,a real solar line missing from our list dominates the window,the dominant feature at 7162.044 (depth 0.138) has NO catalogue entry within 0.05 A — absence of a neighbour in our list is not absence in the spectrum,extend the IR line list from a graded source before measuring this region
7164.4469,FIT-PINNED: fitted sigma 0.0061 A sits on the instrumental floor 0.0061 A. No observed fea,UNKNOWN,,,
7175.9206,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.224 A from the catalogued p,ATOMIC-DATA,a real solar line missing from our list dominates the window,the dominant feature at 7176.145 (depth 0.423) has NO catalogue entry within 0.05 A — absence of a neighbour in our list is not absence in the spectrum,extend the IR line list from a graded source before measuring this region
7176.8741,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.487 A from the catalogued p,ATOMIC-DATA,a real solar line missing from our list dominates the window,the dominant feature at 7177.361 (depth 0.868) has NO catalogue entry within 0.05 A — absence of a neighbour in our list is not absence in the spectrum,extend the IR line list from a graded source before measuring this region
7179.9941,FIT-PINNED: fitted sigma 0.0061 A sits on the instrumental floor 0.0061 A. No observed fea,UNKNOWN,,,
7181.2072,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.319 A from the catalogued p,ATOMIC-DATA,a real solar line missing from our list dominates the window,the dominant feature at 7181.526 (depth 0.936) has NO catalogue entry within 0.05 A — absence of a neighbour in our list is not absence in the spectrum,extend the IR line list from a graded source before measuring this region
7181.8087,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.283 A from the catalogued p,ATOMIC-DATA,a real solar line missing from our list dominates the window,the dominant feature at 7181.526 (depth 0.936) has NO catalogue entry within 0.05 A — absence of a neighbour in our list is not absence in the spectrum,extend the IR line list from a graded source before measuring this region
7181.9134,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.387 A from the catalogued p,ATOMIC-DATA,a real solar line missing from our list dominates the window,the dominant feature at 7181.526 (depth 0.936) has NO catalogue entry within 0.05 A — absence of a neighbour in our list is not absence in the spectrum,extend the IR line list from a graded source before measuring this region
7187.3163,FIT-PINNED: fitted sigma 0.0061 A sits on the instrumental floor 0.0061 A. No observed fea,UNKNOWN,,,
7189.1445,FIT-PINNED: fitted sigma 0.0061 A sits on the instrumental floor 0.0061 A. No observed fea,UNKNOWN,,,
7191.6335,FIT-PINNED: fitted sigma 0.0061 A sits on the instrumental floor 0.0061 A. No observed fea,UNKNOWN,,,
7192.4216,FIT-PINNED: fitted sigma 0.0061 A sits on the instrumental floor 0.0061 A. No observed fea,UNKNOWN,,,
7194.901,FIT-PINNED: fitted sigma 0.0061 A sits on the instrumental floor 0.0061 A. No observed fea,UNKNOWN,,,
7195.5302,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.494 A from the catalogued p,ATOMIC-DATA,a real solar line missing from our list dominates the window,the dominant feature at 7195.036 (depth 0.587) has NO catalogue entry within 0.05 A — absence of a neighbour in our list is not absence in the spectrum,extend the IR line list from a graded source before measuring this region
7197.1397,REW -4.668 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditio,METHOD,EW->abundance inversion runs on the flat part of the curve of growth,REW above -4.9; the line itself is real and well measured,"measure by synthesis, which uses the profile shape rather than inverting EW"
7199.7883,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.582 A from the catalogued p,ATOMIC-DATA,a real solar line missing from our list dominates the window,the dominant feature at 7200.370 (depth 0.501) has NO catalogue entry within 0.05 A — absence of a neighbour in our list is not absence in the spectrum,extend the IR line list from a graded source before measuring this region
7207.1115,FIT-PINNED: fitted sigma 0.0061 A sits on the instrumental floor 0.0061 A. No observed fea,UNKNOWN,,,
7207.3864,FIT-PINNED: fitted sigma 0.0061 A sits on the instrumental floor 0.0061 A. No observed fea,UNKNOWN,,,
7209.1545,FEATURE-VERIFICATION: GF-GHOST-ABSENT: no absorption at the catalogued position (depth 0.0,ATOMIC-DATA,"log gf far too strong, or the transition is assigned to the wrong species",nothing within 0.6 A has a depth resembling the predicted 0.057; observed at the position is 0.021,"re-adjudicate log gf against a NIST-graded source; if it survives, the species assignment is suspect"
7212.4353,FIT-PINNED: fitted sigma 0.0061 A sits on the instrumental floor 0.0061 A. No observed fea,UNKNOWN,,,
7222.8564,FIT-PINNED: fitted sigma 0.0061 A sits on the instrumental floor 0.0061 A. No observed fea,UNKNOWN,,,
7223.6572,REW -4.664 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditio,METHOD,EW->abundance inversion runs on the flat part of the curve of growth,REW above -4.9; the line itself is real and well measured,"measure by synthesis, which uses the profile shape rather than inverting EW"
7225.999,FIT-PINNED: fitted sigma 0.0061 A sits on the instrumental floor 0.0061 A. No observed fea,UNKNOWN,,,
7228.6955,FIT-PINNED: fitted sigma 0.0061 A sits on the instrumental floor 0.0061 A. No observed fea,UNKNOWN,,,
7239.885,REW -4.789 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditio,METHOD,EW->abundance inversion runs on the flat part of the curve of growth,REW above -4.9; the line itself is real and well measured,"measure by synthesis, which uses the profile shape rather than inverting EW"
7244.8392,FIT-PINNED: fitted sigma 0.0062 A sits on the instrumental floor 0.0062 A. No observed fea,UNKNOWN,,,
7252.6353,FIT-PINNED: fitted sigma 0.0062 A sits on the instrumental floor 0.0062 A. No observed fea,UNKNOWN,,,
7256.1338,FIT-PINNED: fitted sigma 0.0062 A sits on the instrumental floor 0.0062 A. No observed fea,UNKNOWN,,,
7258.8813,FIT-PINNED: fitted sigma 0.0062 A sits on the instrumental floor 0.0062 A. No observed fea,UNKNOWN,,,
7260.9892,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.530 A from the catalogued p,METHOD,integration window wide enough to swallow a KNOWN neighbour,the dominant feature at 7261.519 IS in our catalogue (1 entry/entries within 0.05 A),"narrow the window, or measure by profile fitting/synthesis which models the neighbour instead of integrating over it"
7261.2861,FIT-PINNED: fitted sigma 0.0062 A sits on the instrumental floor 0.0062 A. No observed fea,UNKNOWN,,,
7261.5181,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.508 A from the catalogued p,ATOMIC-DATA,a real solar line missing from our list dominates the window,the dominant feature at 7262.026 (depth 0.451) has NO catalogue entry within 0.05 A — absence of a neighbour in our list is not absence in the spectrum,extend the IR line list from a graded source before measuring this region
7265.8928,FIT-PINNED: fitted sigma 0.0062 A sits on the instrumental floor 0.0062 A. No observed fea,UNKNOWN,,,
7268.5648,FIT-PINNED: fitted sigma 0.0062 A sits on the instrumental floor 0.0062 A. No observed fea,UNKNOWN,,,
7278.4914,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.429 A from the catalogued p,ATOMIC-DATA,a real solar line missing from our list dominates the window,the dominant feature at 7278.063 (depth 0.443) has NO catalogue entry within 0.05 A — absence of a neighbour in our list is not absence in the spectrum,extend the IR line list from a graded source before measuring this region
7282.3581,FIT-PINNED: fitted sigma 0.0062 A sits on the instrumental floor 0.0062 A. No observed fea,UNKNOWN,,,
7284.8341,FIT-PINNED: fitted sigma 0.0062 A sits on the instrumental floor 0.0062 A. No observed fea,UNKNOWN,,,
7285.2753,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.435 A from the catalogued p,METHOD,integration window wide enough to swallow a KNOWN neighbour,the dominant feature at 7284.840 IS in our catalogue (1 entry/entries within 0.05 A),"narrow the window, or measure by profile fitting/synthesis which models the neighbour instead of integrating over it"
7288.7357,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.452 A from the catalogued p,METHOD,integration window wide enough to swallow a KNOWN neighbour,the dominant feature at 7289.188 IS in our catalogue (1 entry/entries within 0.05 A),"narrow the window, or measure by profile fitting/synthesis which models the neighbour instead of integrating over it"
7292.8293,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.220 A from the catalogued p,METHOD,integration window wide enough to swallow a KNOWN neighbour,the dominant feature at 7293.049 IS in our catalogue (1 entry/entries within 0.05 A),"narrow the window, or measure by profile fitting/synthesis which models the neighbour instead of integrating over it"
7293.0427,REW -4.556 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditio,METHOD,EW->abundance inversion runs on the flat part of the curve of growth,REW above -4.9; the line itself is real and well measured,"measure by synthesis, which uses the profile shape rather than inverting EW"
7295.0122,FIT-PINNED: fitted sigma 0.0062 A sits on the instrumental floor 0.0062 A. No observed fea,UNKNOWN,,,
7296.5765,FEATURE-VERIFICATION: GF-GHOST-ABSENT: no absorption at the catalogued position (depth 0.0,ATOMIC-DATA,wavelength error in our line list,"a feature of depth 0.160 (predicted 0.114) sits at 7296.248, -0.329 A away — the line is REAL, our position is wrong",re-source this line's wavelength from a graded reference (NIST)
7296.7859,FEATURE-VERIFICATION: GF-GHOST-ABSENT: no absorption at the catalogued position (depth 0.0,ATOMIC-DATA,wavelength error in our line list,"a feature of depth 0.160 (predicted 0.178) sits at 7296.248, -0.538 A away — the line is REAL, our position is wrong",re-source this line's wavelength from a graded reference (NIST)
7300.5292,FIT-PINNED: fitted sigma 0.0062 A sits on the instrumental floor 0.0062 A. No observed fea,UNKNOWN,,,
7311.0742,FIT-PINNED: fitted sigma 0.0062 A sits on the instrumental floor 0.0062 A. No observed fea,UNKNOWN,,,
7311.2415,FIT-PINNED: fitted sigma 0.0062 A sits on the instrumental floor 0.0062 A. No observed fea,UNKNOWN,,,
7317.4198,FIT-PINNED: fitted sigma 0.0062 A sits on the instrumental floor 0.0062 A. No observed fea,UNKNOWN,,,
7333.5591,FIT-PINNED: fitted sigma 0.0062 A sits on the instrumental floor 0.0062 A. No observed fea,UNKNOWN,,,
7351.1111,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.408 A from the catalogued p,METHOD,integration window wide enough to swallow a KNOWN neighbour,the dominant feature at 7351.519 IS in our catalogue (1 entry/entries within 0.05 A),"narrow the window, or measure by profile fitting/synthesis which models the neighbour instead of integrating over it"
7351.5117,FIT-PINNED: fitted sigma 0.0062 A sits on the instrumental floor 0.0062 A. No observed fea,UNKNOWN,,,
7353.5103,FIT-PINNED: fitted sigma 0.0062 A sits on the instrumental floor 0.0062 A. No observed fea,UNKNOWN,,,
