element,ion,wavelength_air_A,instrument,ew_mA,rew,log_gf,ep_eV,predicted_depth,ew_method,panel,excluded_reason,fault_domain,mechanism,discriminator,fix
Fe,I,6932.1772,kpno_solar_atlas,21.077228499944564,-5.517056151825411,-2.692,4.1426,0.053,"integrated over +/-0.421 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0692; half-width 0.421 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_1.png,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.414 A from the catalogued position (depth 0.096 vs 0.047 at the line) — the EW is an upper bound on a blend, not this line",,,,
Fe,I,6942.8181,kpno_solar_atlas,22.79900000007529,-5.483619988424352,-2.594,4.1426,0.064,"integrated over +/-0.450 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0692; half-width 0.450 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_1.png,"FEATURE-VERIFICATION: GF-GHOST-ABSENT: no absorption at the catalogued position (depth 0.011, predicted 0.064) — the line is absent from the spectrum or misplaced in the list",,,,
Fe,I,6945.2037,kpno_solar_atlas,89.60722049992626,-4.889341981661322,-2.482,2.4242,0.532,"integrated over +/-0.450 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0692; half-width 0.450 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_1.png,REW -4.889 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditioned here. Measured and reported; excluded from the aggregate only.,,,,
Fe,I,6947.4876,kpno_solar_atlas,97.28934049993632,-4.853762520884419,-1.611,4.5844,0.174,"integrated over +/-0.450 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0692; half-width 0.450 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_1.png,REW -4.854 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditioned here. Measured and reported; excluded from the aggregate only.,,,,
Fe,I,6949.3808,kpno_solar_atlas,45.09715250011542,-5.187796989282414,-2.149,4.5844,0.065,"integrated over +/-0.450 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0692; half-width 0.450 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_1.png,"FEATURE-VERIFICATION: GF-GHOST-ABSENT: no absorption at the catalogued position (depth 0.018, predicted 0.065) — the line is absent from the spectrum or misplaced in the list",,,,
Fe,I,6963.0158,kpno_solar_atlas,8.38692500000874,-5.919194621287232,-1.341,4.1864,0.368,"integrated over +/-0.450 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0696; half-width 0.450 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_1.png,"FEATURE-VERIFICATION: GF-GHOST-ABSENT: no absorption at the catalogued position (depth 0.010, predicted 0.368) — the line is absent from the spectrum or misplaced in the list",,,,
Fe,I,6970.4728,kpno_solar_atlas,24.03796650003366,-5.462364511250149,-3.152,3.0173,0.186,"integrated over +/-0.450 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0696; half-width 0.450 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_1.png,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.404 A from the catalogued position (depth 0.130 vs 0.064 at the line) — the EW is an upper bound on a blend, not this line",,,,
Fe,I,6981.6184,kpno_solar_atlas,28.725029499996367,-5.385695624168062,-2.099,4.5931,0.071,"integrated over +/-0.358 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0696; half-width 0.358 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_1.png,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.173 A from the catalogued position (depth 0.143 vs 0.054 at the line) — the EW is an upper bound on a blend, not this line",,,,
Fe,I,6988.5233,kpno_solar_atlas,59.22545600004195,-5.071877004249055,-3.66,2.4041,0.223,"integrated over +/-0.450 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0696; half-width 0.450 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_1.png,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.444 A from the catalogued position (depth 0.440 vs 0.268 at the line) — the EW is an upper bound on a blend, not this line",,,,
Fe,I,6994.9852,kpno_solar_atlas,19.906332000007907,-5.545795556942699,-0.702,5.0638,0.291,"integrated over +/-0.450 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0696; half-width 0.450 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_1.png,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.373 A from the catalogued position (depth 0.075 vs 0.044 at the line) — the EW is an upper bound on a blend, not this line",,,,
Fe,I,6997.1401,kpno_solar_atlas,9.86678700000531,-5.850744816706472,-0.924,4.9556,0.221,"integrated over +/-0.450 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0696; half-width 0.450 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_1.png,"FEATURE-VERIFICATION: GF-GHOST-ABSENT: no absorption at the catalogued position (depth 0.018, predicted 0.221) — the line is absent from the spectrum or misplaced in the list",,,,
Fe,I,7010.728,kpno_solar_atlas,9.985234999975786,-5.846404827481671,-1.225,5.0995,0.138,"integrated over +/-0.191 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0700; half-width 0.191 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_1.png,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.188 A from the catalogued position (depth 0.046 vs 0.029 at the line) — the EW is an upper bound on a blend, not this line",,,,
Fe,I,7014.9863,kpno_solar_atlas,28.203368999998457,-5.395725837654242,-4.25,2.4534,0.07,"integrated over +/-0.450 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0700; half-width 0.450 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_2.png,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.305 A from the catalogued position (depth 0.106 vs 0.082 at the line) — the EW is an upper bound on a blend, not this line",,,,
Fe,I,7016.3803,kpno_solar_atlas,91.82803700009995,-4.883137819970111,-1.26,4.1544,0.393,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0700; half-width 0.120 A from line separation | CONCERN: side-band 95th pct is 0.9367, below 0.97 — the local pseudo-continuum is itself absorbed. The atlas continuum is used, but this window sits in crowded spectrum and the EW may include unresolved neighbours.",FeI_6910_9199_kpno_solar_atlas_appendix_2.png,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.055 A from the catalogued position (depth 0.575 vs 0.462 at the line) — the EW is an upper bound on a blend, not this line",,,,
