element,ion,wavelength_air_A,instrument,ew_mA,ew_method,abundance,rew,treatment,in_aggregate,excluded_reason
Fe,I,6911.5113,kpno_solar_atlas,21.959504856352396,"PROFILE-FIT (voigt), model integrated; chi2_red=0.0002318; sigma_fit=0.0059 A (init 0.0396, floor 0.0059); ew_err=1.49 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0688",,-5.497950479006244,,False,"FIT-PINNED: fitted sigma 0.0059 A sits on the instrumental floor 0.0059 A. No observed feature can be narrower than the instrument profile, so the optimiser hit a bound rather than a minimum and the integrated EW is not trustworthy."
Fe,I,6916.6795,kpno_solar_atlas,73.41843468431539,"PROFILE-FIT (voigt), model integrated; chi2_red=0.0001598; sigma_fit=0.0246 A (init 0.0397, floor 0.0059); ew_err=2.03 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0688",,-4.974092531223791,,True,
Fe,I,6930.6312,kpno_solar_atlas,21.70653015597185,"PROFILE-FIT (voigt), model integrated; chi2_red=6.552e-05; sigma_fit=0.0059 A (init 0.0397, floor 0.0059); ew_err=17.68 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0692",,-5.5041823834039585,,False,"FIT-PINNED: fitted sigma 0.0059 A sits on the instrumental floor 0.0059 A. No observed feature can be narrower than the instrument profile, so the optimiser hit a bound rather than a minimum and the integrated EW is not trustworthy."
Fe,I,6932.1772,kpno_solar_atlas,28.647612693125236,"PROFILE-FIT (voigt), model integrated; chi2_red=0.0003179; sigma_fit=0.2818 A (init 0.0397, floor 0.0059); ew_err=24.83 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0692",,-5.383781219083381,,False,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.423 A from the catalogued position (depth 0.098 vs 0.047 at the line) — the EW is an upper bound on a blend, not this line"
Fe,I,6933.0194,kpno_solar_atlas,54.258031506804876,"PROFILE-FIT (voigt), model integrated; chi2_red=0.003834; sigma_fit=0.4000 A (init 0.0398, floor 0.0059); ew_err=75.35 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0692",,-5.106458382031823,,False,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.585 A from the catalogued position (depth 0.324 vs 0.108 at the line) — the EW is an upper bound on a blend, not this line"
Fe,I,6933.6344,kpno_solar_atlas,82.52941717784546,"PROFILE-FIT (voigt), model integrated; chi2_red=0.002473; sigma_fit=0.0059 A (init 0.0398, floor 0.0059); ew_err=16.69 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0692",,-4.924352160100714,,False,"FIT-PINNED: fitted sigma 0.0059 A sits on the instrumental floor 0.0059 A. No observed feature can be narrower than the instrument profile, so the optimiser hit a bound rather than a minimum and the integrated EW is not trustworthy."
Fe,I,6936.48,kpno_solar_atlas,9.978106936688032,"PROFILE-FIT (voigt), model integrated; chi2_red=6.622e-05; sigma_fit=0.0059 A (init 0.0398, floor 0.0059); ew_err=7.07 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0692",,-5.842090984390339,,False,"FIT-PINNED: fitted sigma 0.0059 A sits on the instrumental floor 0.0059 A. No observed feature can be narrower than the instrument profile, so the optimiser hit a bound rather than a minimum and the integrated EW is not trustworthy."
Fe,I,6942.8181,kpno_solar_atlas,37.8571834412154,"PROFILE-FIT (voigt), model integrated; chi2_red=0.001295; sigma_fit=0.1820 A (init 0.0398, floor 0.0059); ew_err=64.57 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0692",,-5.263387487504987,,False,"FEATURE-VERIFICATION: GF-GHOST-ABSENT: no absorption at the catalogued position (depth 0.011, predicted 0.064) — the line is absent from the spectrum or misplaced in the list"
Fe,I,6945.2037,kpno_solar_atlas,88.65698687915727,"PROFILE-FIT (voigt), model integrated; chi2_red=2.833e-05; sigma_fit=0.0471 A (init 0.0398, floor 0.0059); ew_err=0.56 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0692",,-4.8939720207790485,,False,REW -4.894 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditioned here. Measured and reported; excluded from the aggregate only.
Fe,I,6947.4876,kpno_solar_atlas,101.37978161127548,"PROFILE-FIT (voigt), model integrated; chi2_red=0.0004075; sigma_fit=0.0059 A (init 0.0398, floor 0.0059); ew_err=3.10 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0692",,-4.835876428966906,,False,"FIT-PINNED: fitted sigma 0.0059 A sits on the instrumental floor 0.0059 A. No observed feature can be narrower than the instrument profile, so the optimiser hit a bound rather than a minimum and the integrated EW is not trustworthy."
Fe,I,6949.3808,kpno_solar_atlas,49.499981478841754,"PROFILE-FIT (voigt), model integrated; chi2_red=0.0008541; sigma_fit=0.0059 A (init 0.0398, floor 0.0059); ew_err=3.19 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0692",,-5.147341073604188,,False,"FIT-PINNED: fitted sigma 0.0059 A sits on the instrumental floor 0.0059 A. No observed feature can be narrower than the instrument profile, so the optimiser hit a bound rather than a minimum and the integrated EW is not trustworthy."
Fe,I,6951.2454,kpno_solar_atlas,67.22685202776077,"PROFILE-FIT (voigt), model integrated; chi2_red=0.002439; sigma_fit=0.0157 A (init 0.0399, floor 0.0059); ew_err=4.17 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0692",,-5.014519845281934,,True,
Fe,I,6951.6162,kpno_solar_atlas,65.84377235758224,"PROFILE-FIT (voigt), model integrated; chi2_red=0.004508; sigma_fit=0.0718 A (init 0.0399, floor 0.0059); ew_err=11.77 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0692",,-5.023571081869741,,False,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.369 A from the catalogued position (depth 0.391 vs 0.050 at the line) — the EW is an upper bound on a blend, not this line"
