element,ion,wavelength_air_A,instrument,ew_mA,ew_method,abundance,rew,treatment,in_aggregate,excluded_reason
Fe,I,3924.4921,kpno_solar_atlas,473.6487987977883,"PROFILE-FIT (voigt), model integrated; chi2_red=0.009983; sigma_fit=0.4000 A (init 0.0225, floor 0.0033); ew_err=213.32 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0392",,-3.9183270189403556,,False,REW -3.918 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditioned here. Measured and reported; excluded from the aggregate only.
Fe,I,3925.5323,kpno_solar_atlas,644.2859422986777,"PROFILE-FIT (voigt), model integrated; chi2_red=0.02574; sigma_fit=0.4000 A (init 0.0225, floor 0.0033); ew_err=157.95 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0392",,-3.7848198996042814,,False,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.417 A from the catalogued position (depth 0.822 vs 0.377 at the line) — the EW is an upper bound on a blend, not this line"
Fe,I,3926.4666,kpno_solar_atlas,619.8208216963561,"PROFILE-FIT (voigt), model integrated; chi2_red=0.02282; sigma_fit=0.4000 A (init 0.0225, floor 0.0033); ew_err=146.62 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0392",,-3.801735746090302,,False,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.517 A from the catalogued position (depth 0.801 vs 0.395 at the line) — the EW is an upper bound on a blend, not this line"
Fe,I,3927.4458,kpno_solar_atlas,721.7906357015506,"PROFILE-FIT (voigt), model integrated; chi2_red=0.0142; sigma_fit=0.4000 A (init 0.0225, floor 0.0033); ew_err=189.52 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0392",,-3.735698956999772,,False,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.484 A from the catalogued position (depth 0.914 vs 0.314 at the line) — the EW is an upper bound on a blend, not this line"
Fe,I,3927.614,kpno_solar_atlas,776.9105414756802,"PROFILE-FIT (voigt), model integrated; chi2_red=0.008507; sigma_fit=0.4000 A (init 0.0225, floor 0.0033); ew_err=160.18 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0392",,-3.703757785210055,,False,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.316 A from the catalogued position (depth 0.913 vs 0.282 at the line) — the EW is an upper bound on a blend, not this line"
Fe,I,3927.7546,kpno_solar_atlas,819.3311721828583,"PROFILE-FIT (voigt), model integrated; chi2_red=0.005037; sigma_fit=0.4000 A (init 0.0225, floor 0.0033); ew_err=138.38 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0392",,-3.6806848676252057,,False,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.175 A from the catalogued position (depth 0.913 vs 0.431 at the line) — the EW is an upper bound on a blend, not this line"
Fe,I,3928.0106,kpno_solar_atlas,856.7483160049738,"PROFILE-FIT (voigt), model integrated; chi2_red=0.00369; sigma_fit=0.4000 A (init 0.0225, floor 0.0033); ew_err=151.77 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0392",,-3.6613193916208293,,False,REW -3.661 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditioned here. Measured and reported; excluded from the aggregate only.
Fe,I,3928.1889,kpno_solar_atlas,865.869309751727,"PROFILE-FIT (voigt), model integrated; chi2_red=0.009069; sigma_fit=0.4000 A (init 0.0225, floor 0.0033); ew_err=139.16 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0392",,-3.656740017514825,,False,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.259 A from the catalogued position (depth 0.907 vs 0.532 at the line) — the EW is an upper bound on a blend, not this line"
Fe,I,3930.0041,kpno_solar_atlas,896.545121999093,"PROFILE-FIT (voigt), model integrated; chi2_red=0.01012; sigma_fit=0.4000 A (init 0.0225, floor 0.0033); ew_err=91.02 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0392",,-3.641820851507458,,False,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.300 A from the catalogued position (depth 0.871 vs 0.286 at the line) — the EW is an upper bound on a blend, not this line"
Fe,I,3931.4548,kpno_solar_atlas,936.384541898166,"PROFILE-FIT (voigt), model integrated; chi2_red=0.01449; sigma_fit=0.4000 A (init 0.0225, floor 0.0033); ew_err=76.24 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0392",,-3.6230990513130665,,False,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.562 A from the catalogued position (depth 0.448 vs 0.143 at the line) — the EW is an upper bound on a blend, not this line"
Fe,I,3932.161,kpno_solar_atlas,977.8202825655637,"PROFILE-FIT (voigt), model integrated; chi2_red=0.01403; sigma_fit=0.4000 A (init 0.0225, floor 0.0033); ew_err=79.71 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0392",,-3.6043722500225814,,False,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.474 A from the catalogued position (depth 0.501 vs 0.239 at the line) — the EW is an upper bound on a blend, not this line"
