band,holding_id,instrument_id,line_set,route,model_id,engine,al_implementation,bibliography_chain,treatment,scale,al_deck_key,model_binding_status,n_pool_lines,n_in_declared_range,n_verified_eligible,status,reason,applicability_evidence
H,elgueta2026_vizier,crires_plus,reference,EW,1,1D-LTE,REGISTRY_ROUTE_REQUIRES_AL_VALIDATION,kurucz2014_atlas;sneden1973;gerber2023,1D-LTE,1D-LTE,,AL_BINDING_REVIEW_REQUIRED,0,0,0,N/A,NO_POOL_LINES_IN_DECLARED_HOLDING_RANGE,current model_registry.csv; gerber_nlte.DECKS; no stale HAVE/DISK_ONLY inference
H,elgueta2026_vizier,crires_plus,reference,synth,1,1D-LTE,REGISTRY_ROUTE_REQUIRES_AL_VALIDATION,kurucz2014_atlas;sneden1973;gerber2023,1D-LTE,1D-LTE,,AL_BINDING_REVIEW_REQUIRED,0,0,0,N/A,NO_POOL_LINES_IN_DECLARED_HOLDING_RANGE,current model_registry.csv; gerber_nlte.DECKS; no stale HAVE/DISK_ONLY inference
H,elgueta2026_vizier,crires_plus,reference,EW,2,1D-LTE Gerber,Gerber Al synthesis,gerber2023;gustafsson2008,synth-1D-LTE-gerber,1D-LTE,Al,REGISTERED_NOT_EXECUTION_VALIDATED,0,0,0,N/A,NO_POOL_LINES_IN_DECLARED_HOLDING_RANGE,current model_registry.csv; gerber_nlte.DECKS; no stale HAVE/DISK_ONLY inference
H,elgueta2026_vizier,crires_plus,reference,synth,2,1D-LTE Gerber,Gerber Al synthesis,gerber2023;gustafsson2008,synth-1D-LTE-gerber,1D-LTE,Al,REGISTERED_NOT_EXECUTION_VALIDATED,0,0,0,N/A,NO_POOL_LINES_IN_DECLARED_HOLDING_RANGE,current model_registry.csv; gerber_nlte.DECKS; no stale HAVE/DISK_ONLY inference
H,elgueta2026_vizier,crires_plus,reference,EW,3,1D-NLTE Bergemann,PySME-derived additive 1D-NLTE corrections,amarsi2020_galah;wehrhahn2023_pysme;nordlander_lind2017,ENGINE-A,1D-NLTE,,AL_BINDING_REVIEW_REQUIRED,0,0,0,N/A,NO_POOL_LINES_IN_DECLARED_HOLDING_RANGE,current model_registry.csv; gerber_nlte.DECKS; no stale HAVE/DISK_ONLY inference
H,elgueta2026_vizier,crires_plus,reference,synth,3,1D-NLTE Bergemann,PySME-derived additive 1D-NLTE corrections,amarsi2020_galah;wehrhahn2023_pysme;nordlander_lind2017,ENGINE-A,1D-NLTE,,AL_BINDING_REVIEW_REQUIRED,0,0,0,N/A,NO_POOL_LINES_IN_DECLARED_HOLDING_RANGE,current model_registry.csv; gerber_nlte.DECKS; no stale HAVE/DISK_ONLY inference
H,elgueta2026_vizier,crires_plus,reference,EW,4,1D-NLTE Gerber,Gerber Al synthesis,gerber2023;gustafsson2008;nordlander_lind2017,ENGINE-B-NLTE,1D-NLTE,Al,REGISTERED_NOT_EXECUTION_VALIDATED,0,0,0,N/A,NO_POOL_LINES_IN_DECLARED_HOLDING_RANGE,current model_registry.csv; gerber_nlte.DECKS; no stale HAVE/DISK_ONLY inference
H,elgueta2026_vizier,crires_plus,reference,synth,4,1D-NLTE Gerber,Gerber Al synthesis,gerber2023;gustafsson2008;nordlander_lind2017,ENGINE-B-NLTE,1D-NLTE,Al,REGISTERED_NOT_EXECUTION_VALIDATED,0,0,0,N/A,NO_POOL_LINES_IN_DECLARED_HOLDING_RANGE,current model_registry.csv; gerber_nlte.DECKS; no stale HAVE/DISK_ONLY inference
H,elgueta2026_vizier,crires_plus,reference,EW,5,mean3D-LTE Gerber stagger,Gerber Al synthesis,gerber2023;magic2013;nordlander_lind2017,synth-mean3D-LTE-gerber-stagger,<3D>-LTE,Al@mean3D,REGISTERED_NOT_EXECUTION_VALIDATED,0,0,0,N/A,NO_POOL_LINES_IN_DECLARED_HOLDING_RANGE,current model_registry.csv; gerber_nlte.DECKS; no stale HAVE/DISK_ONLY inference
H,elgueta2026_vizier,crires_plus,reference,synth,5,mean3D-LTE Gerber stagger,Gerber Al synthesis,gerber2023;magic2013;nordlander_lind2017,synth-mean3D-LTE-gerber-stagger,<3D>-LTE,Al@mean3D,REGISTERED_NOT_EXECUTION_VALIDATED,0,0,0,N/A,NO_POOL_LINES_IN_DECLARED_HOLDING_RANGE,current model_registry.csv; gerber_nlte.DECKS; no stale HAVE/DISK_ONLY inference
