band,treatment,is_nlte_treatment,verdict,reason
near-UV,1D-LTE,False,LIVE,product exists in the feed
near-UV,ENGINE-A,False,LIVE,product exists in the feed
near-UV,ENGINE-A-3DNLTE,True,ABSENT_ENGINE_BOXED,"the Amarsi MLP is the 3D-NLTE route and every product it has ever emitted is VIS; RYA-1106 ran it on AGSS21's optical set. Whether its grid reaches this band is NOT decidable from this checkout — the network's own domain check is on STELLAR parameters, not wavelength (pipeline/amarsi3d.py). Reported as owed-verification, not as reach."
near-UV,ENGINE-B,False,GAP,"near-UV has gradeable Fe lines and this treatment is not NLTE-gated here, so a product is applicable and missing"
near-UV,ENGINE-B-NLTE,True,UNDETERMINED_IN_CHECKOUT,"ispec_nearuv_3000_3780/atomic_lines.tsv is deliberately not committed (regenerable on Sirius, 12 MB). NLTE labelling cannot be read here."
near-UV,synth-1D-LTE-gerber,False,GAP,"near-UV has gradeable Fe lines and this treatment is not NLTE-gated here, so a product is applicable and missing"
near-UV,synth-mean3D-LTE-gerber-stagger,False,GAP,"near-UV has gradeable Fe lines and this treatment is not NLTE-gated here, so a product is applicable and missing"
near-UV,synth-mean3D-NLTE-gerber-stagger,True,UNDETERMINED_IN_CHECKOUT,"ispec_nearuv_3000_3780/atomic_lines.tsv is deliberately not committed (regenerable on Sirius, 12 MB). NLTE labelling cannot be read here."
VIS,1D-LTE,False,LIVE,product exists in the feed
VIS,ENGINE-A,False,LIVE,product exists in the feed
VIS,ENGINE-A-3DNLTE,True,LIVE,product exists in the feed
VIS,ENGINE-B,False,LIVE,product exists in the feed
VIS,ENGINE-B-NLTE,True,LIVE,product exists in the feed
VIS,synth-1D-LTE-gerber,False,LIVE,product exists in the feed
VIS,synth-mean3D-LTE-gerber-stagger,False,LIVE,product exists in the feed
VIS,synth-mean3D-NLTE-gerber-stagger,True,LIVE,product exists in the feed
red-optical,1D-LTE,False,LIVE,product exists in the feed
red-optical,ENGINE-A,False,LIVE,product exists in the feed
red-optical,ENGINE-A-3DNLTE,True,ABSENT_ENGINE_BOXED,"the Amarsi MLP is the 3D-NLTE route and every product it has ever emitted is VIS; RYA-1106 ran it on AGSS21's optical set. Whether its grid reaches this band is NOT decidable from this checkout — the network's own domain check is on STELLAR parameters, not wavelength (pipeline/amarsi3d.py). Reported as owed-verification, not as reach."
red-optical,ENGINE-B,False,GAP,"red-optical has gradeable Fe lines and this treatment is not NLTE-gated here, so a product is applicable and missing"
red-optical,ENGINE-B-NLTE,True,UNDETERMINED_IN_CHECKOUT,"binds `ispec_ges_v6`, an iSpec-bundled list resolved at runtime and not present in the repo. Same list as VIS, where labels ARE present, but the red-optical SLICE cannot be confirmed from this checkout."
red-optical,synth-1D-LTE-gerber,False,GAP,"red-optical has gradeable Fe lines and this treatment is not NLTE-gated here, so a product is applicable and missing"
red-optical,synth-mean3D-LTE-gerber-stagger,False,GAP,"red-optical has gradeable Fe lines and this treatment is not NLTE-gated here, so a product is applicable and missing"
red-optical,synth-mean3D-NLTE-gerber-stagger,True,UNDETERMINED_IN_CHECKOUT,"binds `ispec_ges_v6`, an iSpec-bundled list resolved at runtime and not present in the repo. Same list as VIS, where labels ARE present, but the red-optical SLICE cannot be confirmed from this checkout."
NIR,1D-LTE,False,LIVE,product exists in the feed
NIR,ENGINE-A,False,LIVE,product exists in the feed
NIR,ENGINE-A-3DNLTE,True,ABSENT_ENGINE_BOXED,"the Amarsi MLP is the 3D-NLTE route and every product it has ever emitted is VIS; RYA-1106 ran it on AGSS21's optical set. Whether its grid reaches this band is NOT decidable from this checkout — the network's own domain check is on STELLAR parameters, not wavelength (pipeline/amarsi3d.py). Reported as owed-verification, not as reach."
NIR,ENGINE-B,False,GAP,"NIR has gradeable Fe lines and this treatment is not NLTE-gated here, so a product is applicable and missing"
NIR,ENGINE-B-NLTE,True,ABSENT_NO_NLTE_LABELS_IN_BAND_LINELIST,"data/linelists/ispec_ir_9200_13000/atomic_lines.tsv carries 237 Fe I rows and `nlte` reads 'F' on every one. An NLTE engine here would be silently synthesised in LTE (RYA-764), so the NLTE treatments are NOT applicable."
NIR,synth-1D-LTE-gerber,False,GAP,"NIR has gradeable Fe lines and this treatment is not NLTE-gated here, so a product is applicable and missing"
NIR,synth-mean3D-LTE-gerber-stagger,False,GAP,"NIR has gradeable Fe lines and this treatment is not NLTE-gated here, so a product is applicable and missing"
NIR,synth-mean3D-NLTE-gerber-stagger,True,ABSENT_NO_NLTE_LABELS_IN_BAND_LINELIST,"data/linelists/ispec_ir_9200_13000/atomic_lines.tsv carries 237 Fe I rows and `nlte` reads 'F' on every one. An NLTE engine here would be silently synthesised in LTE (RYA-764), so the NLTE treatments are NOT applicable."
