feed,element,ion,band,instrument,tier,treatment,status,source,copied_to,feed_sha256,actual_sha256,detail
Fe.json,Fe,II,VIS,harps,DEEPGRADED,1D-LTE,RECONCILED,/Users/ryanschmitt/codex/rya1015/data/results/band_products/FeII_4200_6910_harps_solar_harps_molecfit_corrected_SYNTH_DEEPGRADED_products.csv,data/results/band_products/FeII_4200_6910_harps_solar_harps_molecfit_corrected_SYNTH_DEEPGRADED_products.csv,62f67607c84c3029ae3b3b7eb6262025ecbad95353215b20175cea82ff112fde,,
Fe.json,Fe,II,VIS,harps,DEEPGRADED,ENGINE-A,RECONCILED,/Users/ryanschmitt/codex/rya1015/data/results/band_products/FeII_4200_6910_harps_solar_harps_molecfit_corrected_SYNTH_DEEPGRADED_ENGINE-A_products.csv,data/results/band_products/FeII_4200_6910_harps_solar_harps_molecfit_corrected_SYNTH_DEEPGRADED_ENGINE-A_products.csv,c8b8c56308eb3bd24aff0c99c5ee01359d5c9eb867c82b5032e1a9c471be1e84,,
Fe.json,Fe,II,VIS,harps,DEEPGRADED,ENGINE-B,RECONCILED,/Users/ryanschmitt/codex/rya1015/data/results/band_products/FeII_4200_6910_harps_solar_harps_molecfit_corrected_SYNTH_DEEPGRADED_ENGINE-B_products.csv,data/results/band_products/FeII_4200_6910_harps_solar_harps_molecfit_corrected_SYNTH_DEEPGRADED_ENGINE-B_products.csv,fb315be3be34dc02d4c998be15af94ebe5c6123c6b4d55787f171bf75dae07df,,
Fe.json,Fe,II,VIS,kpno_solar_atlas,DEEPGRADED,1D-LTE,RECONCILED,/Users/ryanschmitt/codex/rya1015/data/results/band_products/FeII_4200_6910_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_DEEPGRADED_products.csv,data/results/band_products/FeII_4200_6910_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_DEEPGRADED_products.csv,220cafbad0de9de5304bc4d8417bbbeb8b0a439e8a90ccc6182bf43ee662cf41,,
Fe.json,Fe,II,VIS,kpno_solar_atlas,DEEPGRADED,ENGINE-A,RECONCILED,/Users/ryanschmitt/codex/rya1015/data/results/band_products/FeII_4200_6910_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_DEEPGRADED_ENGINE-A_products.csv,data/results/band_products/FeII_4200_6910_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_DEEPGRADED_ENGINE-A_products.csv,7ae4ee8fdc1d44c36d429affbb256af82f0e0a03965594529c9f73f77acc46fa,,
Fe.json,Fe,II,VIS,kpno_solar_atlas,DEEPGRADED,ENGINE-B,RECONCILED,/Users/ryanschmitt/codex/rya1015/data/results/band_products/FeII_4200_6910_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_DEEPGRADED_ENGINE-B_products.csv,data/results/band_products/FeII_4200_6910_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_DEEPGRADED_ENGINE-B_products.csv,4ccde87e26ed8bafc2e97b4899f66514bdd79325bc12fcbb7d839cb66be3e2d4,,
Fe.json,Fe,II,VIS,kpno_solar_atlas,DEEPGRADED,1D-LTE,RECONCILED,/Users/ryanschmitt/codex/rya1015/data/results/band_products/FeII_4200_6910_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_DEEPGRADED_products.csv,data/results/band_products/FeII_4200_6910_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_DEEPGRADED_products.csv,4a53d492ad4c1a37fca783fb349afccdf183a44afb93aa550b4cdd08eeeb007d,,
Fe.json,Fe,II,VIS,kpno_solar_atlas,DEEPGRADED,ENGINE-A,RECONCILED,/Users/ryanschmitt/codex/rya1015/data/results/band_products/FeII_4200_6910_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_DEEPGRADED_ENGINE-A_products.csv,data/results/band_products/FeII_4200_6910_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_DEEPGRADED_ENGINE-A_products.csv,47674bda658aba038b0eb33b980a66c252c50808dc0c5eb01599712bf4342c20,,
Fe.json,Fe,II,VIS,kpno_solar_atlas,DEEPGRADED,ENGINE-B,RECONCILED,/Users/ryanschmitt/codex/rya1015/data/results/band_products/FeII_4200_6910_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_DEEPGRADED_ENGINE-B_products.csv,data/results/band_products/FeII_4200_6910_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_DEEPGRADED_ENGINE-B_products.csv,5763c667146c96011ddee5cd69002783eb9d97f4a198f4cd78a8a5a8e272319b,,
Fe.json,Fe,II,near-UV,kpno_solar_atlas,DEEPGRADED,1D-LTE,RECONCILED,/Users/ryanschmitt/codex/rya1015/data/results/band_products/FeII_3000_3780_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_DEEPGRADED_products.csv,data/results/band_products/FeII_3000_3780_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_DEEPGRADED_products.csv,6fed66c0f904ce3343e525731600cb32930f701c1f7acda28156a15a8241615b,,
Fe.json,Fe,II,near-UV,kpno_solar_atlas,DEEPGRADED,ENGINE-A,RECONCILED,/Users/ryanschmitt/codex/rya1015/data/results/band_products/FeII_3000_3780_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_DEEPGRADED_ENGINE-A_products.csv,data/results/band_products/FeII_3000_3780_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_DEEPGRADED_ENGINE-A_products.csv,fd293c29a51dcb24ca3cdf0c1586c3c9900dae49816f3a4c2db79073f4ee5b87,,
Fe.json,Fe,II,near-UV,kpno_solar_atlas,DEEPGRADED,ENGINE-B,RECONCILED,/Users/ryanschmitt/codex/rya1015/data/results/band_products/FeII_3000_3780_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_DEEPGRADED_ENGINE-B_products.csv,data/results/band_products/FeII_3000_3780_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_DEEPGRADED_ENGINE-B_products.csv,4faa4c4ad6f9d920f5a95feb5242ddd91d15e96fe0d897df6440dfebc7bb0fdd,,
Fe.json,Fe,II,near-UV,kpno_solar_atlas,DEEPGRADED,1D-LTE,RECONCILED,/Users/ryanschmitt/codex/rya1015/data/results/band_products/FeII_3000_3780_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_DEEPGRADED_products.csv,data/results/band_products/FeII_3000_3780_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_DEEPGRADED_products.csv,192e58ffe091dda861e14b25157f5a33b9f744f69e9551301baa968c4148f03c,,
Fe.json,Fe,II,near-UV,kpno_solar_atlas,DEEPGRADED,ENGINE-A,RECONCILED,/Users/ryanschmitt/codex/rya1015/data/results/band_products/FeII_3000_3780_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_DEEPGRADED_ENGINE-A_products.csv,data/results/band_products/FeII_3000_3780_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_DEEPGRADED_ENGINE-A_products.csv,4af51ecafd1e4df25f19b33a3c70085586c9d2fdd4f705c53360a756059e2a81,,
Fe.json,Fe,II,near-UV,kpno_solar_atlas,DEEPGRADED,ENGINE-B,RECONCILED,/Users/ryanschmitt/codex/rya1015/data/results/band_products/FeII_3000_3780_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_DEEPGRADED_ENGINE-B_products.csv,data/results/band_products/FeII_3000_3780_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_DEEPGRADED_ENGINE-B_products.csv,46494ad7d6894ea3000f538a77f7726bd3c5e094f4a092382d6c37d8562bc2f2,,
Fe.json,Fe,I,NIR,crires_plus,GRADED,1D-LTE,RECONCILED,/Users/ryanschmitt/codex/rya1015/data/results/band_products/FeI_9801_10794_crires_plus_solar_crires_plus_y_wide_rya1054_SYNTH_GRADED_products.csv,data/results/band_products/FeI_9801_10794_crires_plus_solar_crires_plus_y_wide_rya1054_SYNTH_GRADED_products.csv,53d5df07414c9b379f887e978c47c73b96bcef393e71220714baee315cea30d8,,
Fe.json,Fe,I,NIR,crires_plus,GRADED,ENGINE-A,RECONCILED,/Users/ryanschmitt/codex/rya1015/data/results/band_products/FeI_9801_10794_crires_plus_solar_crires_plus_y_wide_rya1054_SYNTH_GRADED_ENGINE-A_products.csv,data/results/band_products/FeI_9801_10794_crires_plus_solar_crires_plus_y_wide_rya1054_SYNTH_GRADED_ENGINE-A_products.csv,47400674ea3da6d68142ca44852c4b7ec5691898f868a6e8f6f68fb316639baf,,
Fe.json,Fe,I,NIR,crires_plus,GRADED,ENGINE-B,RECONCILED,/Users/ryanschmitt/codex/rya1015/data/results/band_products/FeI_9801_10794_crires_plus_solar_crires_plus_y_wide_rya1054_SYNTH_GRADED_ENGINE-B_products.csv,data/results/band_products/FeI_9801_10794_crires_plus_solar_crires_plus_y_wide_rya1054_SYNTH_GRADED_ENGINE-B_products.csv,b2f4b4b095390d248d65c667546e23563123f394cfe95d2aa5dd13b1703c963f,,
Fe.json,Fe,I,NIR,iag_fts_solar_atlas,GRADED,1D-LTE,RECONCILED,/Users/ryanschmitt/codex/rya1015/data/results/band_products/FeI_9199_11083_iag_fts_solar_atlas_solar_iag_SYNTH_GRADED_products.csv,data/results/band_products/FeI_9199_11083_iag_fts_solar_atlas_solar_iag_SYNTH_GRADED_products.csv,e88b1be04d47a9cbb7bdb0ab31d88e8c749d93aa70498fa92529f925ea313ae3,,
Fe.json,Fe,I,NIR,iag_fts_solar_atlas,GRADED,ENGINE-A,RECONCILED,/Users/ryanschmitt/codex/rya1015/data/results/band_products/FeI_9199_11083_iag_fts_solar_atlas_solar_iag_SYNTH_GRADED_ENGINE-A_products.csv,data/results/band_products/FeI_9199_11083_iag_fts_solar_atlas_solar_iag_SYNTH_GRADED_ENGINE-A_products.csv,f52ff2e2596445f6a3a4e28627d16c3d16791b5becf1d8e12f1e8e10e70c0622,,
Fe.json,Fe,I,NIR,iag_fts_solar_atlas,GRADED,ENGINE-B,RECONCILED,/Users/ryanschmitt/codex/rya1015/data/results/band_products/FeI_9199_11083_iag_fts_solar_atlas_solar_iag_SYNTH_GRADED_ENGINE-B_products.csv,data/results/band_products/FeI_9199_11083_iag_fts_solar_atlas_solar_iag_SYNTH_GRADED_ENGINE-B_products.csv,ef366fe0cf922aadbb04246df6cfd98cd49d54915a40bec1ecf4b359799ae28b,,
Fe.json,Fe,I,NIR,kpno_solar_atlas,GRADED,1D-LTE,RECONCILED,/Users/ryanschmitt/codex/rya1015/data/results/band_products/FeI_9199_12976_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_GRADED_products.csv,data/results/band_products/FeI_9199_12976_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_GRADED_products.csv,869d5ac4cc4470d717bc52770f5ae88656bd02165824704a88eed8d617c0ae75,,
Fe.json,Fe,I,NIR,kpno_solar_atlas,GRADED,ENGINE-A,RECONCILED,/Users/ryanschmitt/codex/rya1015/data/results/band_products/FeI_9199_12976_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_GRADED_ENGINE-A_products.csv,data/results/band_products/FeI_9199_12976_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_GRADED_ENGINE-A_products.csv,5108b29704e91cf3cec4b59248fb8cf074cf97f0c11267f1a3f336053c7e8525,,
Fe.json,Fe,I,NIR,kpno_solar_atlas,GRADED,ENGINE-B,RECONCILED,/Users/ryanschmitt/codex/rya1015/data/results/band_products/FeI_9199_12976_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_GRADED_ENGINE-B_products.csv,data/results/band_products/FeI_9199_12976_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_GRADED_ENGINE-B_products.csv,3131581d6e24a1cf6ae4dd0b0dc4d1b7b3a0b6fee197dc26bd26f8c726e0ec67,,
Fe.json,Fe,I,VIS,harps,DEEPGRADED,1D-LTE,RECONCILED,/Users/ryanschmitt/codex/rya1015/data/results/band_products/FeI_4200_6910_harps_solar_harps_molecfit_corrected_SYNTH_DEEPGRADED_LOCALRENORM_products.csv,data/results/band_products/FeI_4200_6910_harps_solar_harps_molecfit_corrected_SYNTH_DEEPGRADED_LOCALRENORM_products.csv,30b35acc0121e3d2382b2ee649a9de47f62035f890614d5aa4b632e47e3d2a68,,
