# ENGINE x WAVELENGTH COVERAGE — **GENERATED by scripts/generate_engine_coverage_rya776.py — do not hand-edit**
# =====================================================================
# RYA-776. The sibling of instrument_coverage: that says which INSTRUMENT sees a
# wavelength, this says which ENGINE/GRID can model it. Read it through
# pipeline.coverage.engine_reach(), never by eye.
#
# state:
#   SERVED                   the per-line extract resolves it. Usable now.
#   REACHABLE-NOT-EXTRACTED  the model atom's levels cover it, no extract does.
#                            A derivation away, NOT a data gap.
#   UNCOVERED                catalogued lines exist here and the model carries
#                            none of them. The only state that means 'we cannot
#                            model this'.
#   REACH-UNKNOWN            reach is not locally decidable — a service-only
#                            supplier (Fe/MPIA) or no catalogued line in band.
#                            NOT a claim of absence.
#
# n_lines_catalogued is the GES in-band denominator; a 0 there is OUR linelist's
# limit, not the grid's (the 9199.9 A wall is GES, atom.fe607a reaches 20000 A).
# bands: pipeline.band_policy · reach reader: scripts/rya763_level_mapping.py
# extracts @ 769b320 · decks on Sirius: amarsi_galah + gerber_ts
element,ion,engine,grid_id,band,band_lo_A,band_hi_A,state,n_lines_served,n_lines_reachable,n_lines_catalogued,level_asset,grid_asset,note
Al,I,A,Al_Amarsi2020_PySME,near-UV,3000.0,3800.0,REACH-UNKNOWN,0,0,0,label_Al.txt,Al_Amarsi2020_PySME.csv,"no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it; registry role=production"
Al,I,A,Al_Amarsi2020_PySME,VIS,3800.0,6910.0,SERVED,2,14,27,label_Al.txt,Al_Amarsi2020_PySME.csv,registry role=production
Al,I,A,Al_Amarsi2020_PySME,red-optical,6910.0,10000.0,SERVED,4,49,57,label_Al.txt,Al_Amarsi2020_PySME.csv,registry role=production
Al,I,A,Al_Amarsi2020_PySME,NIR,10000.0,24000.0,REACH-UNKNOWN,0,0,0,label_Al.txt,Al_Amarsi2020_PySME.csv,"no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it; registry role=production"
Ba,I,B,atom.ba111,near-UV,3000.0,3800.0,REACH-UNKNOWN,0,0,0,atom.ba111,,"no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it"
Ba,I,B,atom.ba111,VIS,3800.0,6910.0,REACHABLE-NOT-EXTRACTED,0,1,57,atom.ba111,,"model atom carries the levels but the departure grid .bin is NOT provisioned — a pull away, not a data gap"
Ba,I,B,atom.ba111,red-optical,6910.0,10000.0,REACHABLE-NOT-EXTRACTED,0,1,22,atom.ba111,,"model atom carries the levels but the departure grid .bin is NOT provisioned — a pull away, not a data gap"
Ba,I,B,atom.ba111,NIR,10000.0,24000.0,REACH-UNKNOWN,0,0,0,atom.ba111,,"no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it"
Ba,II,A,Ba_Korotin2015,near-UV,3000.0,3800.0,REACH-UNKNOWN,0,0,0,label_Ba.txt,Ba_Korotin2015.csv,"no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it; registry role=production"
Ba,II,A,Ba_Korotin2015,VIS,3800.0,6910.0,SERVED,4,45,45,label_Ba.txt,Ba_Korotin2015.csv,registry role=production
Ba,II,A,Ba_Korotin2015,red-optical,6910.0,10000.0,REACHABLE-NOT-EXTRACTED,0,6,6,label_Ba.txt,Ba_Korotin2015.csv,levels present in the model; no per-line extract exposes this band; registry role=production
Ba,II,A,Ba_Korotin2015,NIR,10000.0,24000.0,REACH-UNKNOWN,0,0,0,label_Ba.txt,Ba_Korotin2015.csv,"no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it; registry role=production"
Ba,II,B,atom.ba111,near-UV,3000.0,3800.0,REACH-UNKNOWN,0,0,0,atom.ba111,,"levels rebased to this ion's ground state (-5.212 eV; the atom counts from the NEUTRAL ground state); no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it"
Ba,II,B,atom.ba111,VIS,3800.0,6910.0,REACHABLE-NOT-EXTRACTED,0,33,45,atom.ba111,,"levels rebased to this ion's ground state (-5.212 eV; the atom counts from the NEUTRAL ground state); model atom carries the levels but the departure grid .bin is NOT provisioned — a pull away, not a data gap"
Ba,II,B,atom.ba111,red-optical,6910.0,10000.0,REACH-UNKNOWN,0,0,6,atom.ba111,,"levels rebased to this ion's ground state (-5.212 eV; the atom counts from the NEUTRAL ground state); not one endpoint of 6 catalogued line(s) resolves in atom.ba111 — the (J, energy) key does not address this table (super-levels carry a summed statistical weight, so G is not 2J+1), so absence cannot be asserted from it"
Ba,II,B,atom.ba111,NIR,10000.0,24000.0,REACH-UNKNOWN,0,0,0,atom.ba111,,"levels rebased to this ion's ground state (-5.212 eV; the atom counts from the NEUTRAL ground state); no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it"
Ca,I,A,Ca_Mashonkina2017,near-UV,3000.0,3800.0,REACH-UNKNOWN,0,0,0,label_Ca.txt,Ca_Mashonkina2017.csv,"no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it; registry role=production"
Ca,I,A,Ca_Mashonkina2017,VIS,3800.0,6910.0,SERVED,8,131,3083,label_Ca.txt,Ca_Mashonkina2017.csv,registry role=production
Ca,I,A,Ca_Mashonkina2017,red-optical,6910.0,10000.0,REACHABLE-NOT-EXTRACTED,0,185,4427,label_Ca.txt,Ca_Mashonkina2017.csv,levels present in the model; no per-line extract exposes this band; registry role=production
Ca,I,A,Ca_Mashonkina2017,NIR,10000.0,24000.0,REACH-UNKNOWN,0,0,0,label_Ca.txt,Ca_Mashonkina2017.csv,"no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it; registry role=production"
Ca,I,B,atom.ca105b,near-UV,3000.0,3800.0,REACH-UNKNOWN,0,0,0,atom.ca105b,NLTEgrid4TS_Ca_MARCS_Jun-02-2021.bin,"no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it"
Ca,I,B,atom.ca105b,VIS,3800.0,6910.0,SERVED,55,55,3083,atom.ca105b,NLTEgrid4TS_Ca_MARCS_Jun-02-2021.bin,
Ca,I,B,atom.ca105b,red-optical,6910.0,10000.0,SERVED,11,11,4427,atom.ca105b,NLTEgrid4TS_Ca_MARCS_Jun-02-2021.bin,
