wavelength_air_A,flux_normalized,n_frames,min_mtrans
11159.9497,0.985815,1,0.5579
11159.9877,1.011801,1,0.5264
11160.3673,1.009481,1,0.5486
11160.4053,1.012138,1,0.6188
11160.4433,0.987601,1,0.6647
11160.4812,0.986389,1,0.6926
11160.5192,0.958927,1,0.708
11160.5572,0.980471,1,0.7147
11160.5951,0.947019,1,0.715
11160.6331,0.94289,1,0.7099
11160.6711,0.947212,1,0.6998
11160.709,0.96184,1,0.6846
11160.747,0.984915,1,0.6641
11160.7849,1.001609,1,0.6382
11160.8229,0.988618,1,0.6064
11160.8609,0.986657,1,0.5682
11160.8988,1.01521,1,0.5225
11163.1387,0.977676,1,0.529
11163.1766,0.993636,1,0.5852
11163.2146,1.002077,1,0.6279
11163.2526,0.995227,1,0.6596
11163.2905,0.98949,1,0.6826
11163.3285,1.000215,1,0.6985
11163.3665,0.991736,1,0.7085
11163.4044,0.99218,1,0.7131
11163.4424,0.986286,1,0.7127
11163.4804,0.983378,1,0.7071
11163.5183,0.987114,1,0.696
11163.5563,0.99116,1,0.6783
11163.5942,0.980678,1,0.6522
11163.6322,0.9675,1,0.6148
11163.6702,0.962259,1,0.5635
11164.3535,0.9666,1,0.5017
11164.3915,0.971837,1,0.5069
11165.1508,0.976991,1,0.5343
11165.1887,0.993106,1,0.5948
11165.2267,0.989145,1,0.6447
11165.2646,0.992878,1,0.6857
11165.3026,0.989394,1,0.7194
11165.3406,0.997521,1,0.7473
11165.3785,0.991133,1,0.7705
11165.4165,0.991195,1,0.79
11165.4545,0.993029,1,0.8063
11165.4924,0.992642,1,0.82
11165.5304,0.996317,1,0.8315
11165.5683,0.992919,1,0.8411
11165.6063,0.997941,1,0.849
11165.6443,1.006107,1,0.8554
11165.6822,1.00339,1,0.8602
11165.7202,1.009031,1,0.8633
11165.7582,1.007391,1,0.8646
11165.7961,0.995487,1,0.8635
11165.8341,0.998546,1,0.859
11165.8721,0.997619,1,0.8491
11165.91,1.002992,1,0.83
11165.948,0.998475,1,0.7946
11165.9859,1.009728,1,0.7327
11166.0239,1.01638,1,0.6377
11166.0619,1.017999,1,0.5216
11166.2137,1.044341,1,0.563
11166.2517,1.036656,1,0.6752
11166.2897,1.024282,1,0.7612
11166.3276,1.011026,1,0.8172
11166.3656,1.004713,1,0.8507
11166.4035,1.002381,1,0.869
11166.4415,1.001098,1,0.8767
11166.4795,1.008218,1,0.878
11166.5174,1.010098,1,0.8792
11166.5554,1.002373,1,0.885
11166.5934,0.999403,1,0.8949
11166.6313,1.019833,1,0.9045
11166.6693,1.023153,1,0.9106
11166.7073,1.006515,1,0.9132
11166.7452,0.995175,1,0.9134
11166.7832,0.990506,1,0.9115
11166.8211,0.995448,1,0.9071
11166.8591,1.004159,1,0.8988
11166.8971,0.993688,1,0.8851
11166.935,0.993649,1,0.8656
11166.973,0.987005,1,0.8418
11167.011,0.97961,1,0.8195
11167.0489,0.985818,1,0.8066
11167.0869,0.986793,1,0.8079
11167.1249,0.980945,1,0.8206
11167.1628,0.975027,1,0.8383
11167.2008,0.945244,1,0.8566
11167.2387,0.912113,1,0.8733
11167.2767,0.899981,1,0.8866
11167.3147,0.89107,1,0.8953
11167.3526,0.90643,1,0.8998
11167.3906,0.931383,1,0.9014
11167.4286,0.954548,1,0.9013
11167.4665,0.976167,1,0.9002
11167.5045,0.986892,1,0.8984
11167.5425,0.989595,1,0.8958
11167.5804,0.993393,1,0.8926
11167.6184,1.000298,1,0.8888
11167.6563,1.000927,1,0.8843
11167.6943,1.007618,1,0.8791
11167.7323,1.008485,1,0.8733
11167.7702,1.003502,1,0.8668
11167.8082,1.001502,1,0.8594
11167.8462,0.995462,1,0.8511
11167.8841,0.992867,1,0.8416
11167.9221,0.996068,1,0.8307
11167.9601,1.000044,1,0.8183
11167.998,1.008041,1,0.804
11168.036,1.000703,1,0.7877
11168.0739,0.996764,1,0.7692
11168.1119,0.997397,1,0.7478
11168.1499,0.995357,1,0.723
11168.1878,1.000612,1,0.6939
11168.2258,0.997552,1,0.6598
11168.2638,0.992254,1,0.6197
11168.3017,1.002316,1,0.5726
11168.3397,1.009589,1,0.5174
11169.2508,1.019494,1,0.5181
11169.2888,1.005254,1,0.5731
11169.3267,1.000622,1,0.6169
11169.3647,0.989337,1,0.6504
11169.4027,0.982084,1,0.6747
11169.4406,0.976823,1,0.6927
11169.4786,0.983826,1,0.7091
11169.5166,0.991081,1,0.7277
11169.5545,0.990671,1,0.7487
11169.5925,0.997915,1,0.7697
11169.6304,1.004363,1,0.7879
11169.6684,0.998175,1,0.8022
11169.7064,0.996207,1,0.8128
11169.7443,0.991653,1,0.8205
11169.7823,0.99887,1,0.826
11169.8203,1.006126,1,0.8297
11169.8582,1.006272,1,0.8319
11169.8962,1.005772,1,0.8327
11169.9342,1.005622,1,0.8321
11169.9721,1.003761,1,0.8301
11170.0101,0.995473,1,0.8266
11170.048,0.999663,1,0.8212
11170.086,1.001668,1,0.8137
11170.124,1.000767,1,0.8033
11170.1619,0.996422,1,0.7897
