# solar gold-standard abundance reference — RYA-469 (write-once, immutable)
# version: v3
# frozen_utc: 2026-08-07T22:49:49Z
# source_commit: 2fd4f44f9060
# source_file: data/reference/solar/solar_abundances_corrected_candidate_rya653.csv
# fe_anchor_a_fe1: 7.466
# verdict: PASS=6 NLTE-OWED=? CURATION-OWED=20 DATA-GAP=0
# changelog: gold v3: freeze the RYA-653 corrected candidate -- ports Fe I 7.516 -> 7.466 (RYA-553 1D->3D Magic-2013), Mn I 5.47 -> 5.466 (RYA-546 ab-initio), Co I CURATION-OWED -> PASS 4.965 (RYA-564, HELD at owed), N I NLTE-OWED -> CURATION-OWED 8.188 (RYA-556, HELD at owed), Ba II phantom cleared and 2.410 HELD (RYA-559; deblend RYA-581 owed post-freeze). Post-527 phase 2 will re-run the two-engine floor on current main and produce v4 iff the re-emit surfaces material changes.
# supersedes: v2
# immutable: editing this file trips the RYA-469 immutability guard
element,ion,A_X,A_X_nlte,confidence,verdict,method_scale,asplund2021,n_lines,source,note
Fe,I,7.466,7.466,gold,PASS,3D-NLTE (Fe I),7.46,62,phase_c_verdict (RYA-521),"3D-corrected value: the tabulated Magic-2013 1D→3D solar Fe offset IS APPLIED (RYA-553 ported 7.516 → 7.466), so this number sits on the 3D scale and reads +0.006 against Asplund 3D-true 7.46. The v3 label said 1D-NLTE beside this 3D value, which made phase_c re-arm the correction and double-apply it (RYA-669: A(Fe I) drifted to 7.416 with all nine gates green). RYA-811 fixes the LABEL only — the value is unchanged and was already correct, and RYA-681 had already re-keyed the idempotency guard on the value rather than the label."
C,I,8.491,8.491,gold,PASS,synthesis,8.46,5,phase_c_verdict (RYA-521),CH G-band + C I (RYA-237)
O,I,8.735,8.735,gold,PASS,synthesis,8.69,3,phase_c_verdict (RYA-521),O I 777 + [O I] 6300 (RYA-237)
Mg,I,,,owed,CURATION-OWED,EW 1D-LTE/NLTE,7.55,0,phase_c_verdict (RYA-521),EW present; no independent-gf line survives the graded cull
Si,I,7.888,7.888,gf_floor,CURATION-OWED,EW 1D-LTE/NLTE,7.51,7,phase_c_verdict (RYA-521),characterized gf-scale floor (+0.38); 3D not the lever (RYA-398/399)
Ca,I,,,owed,CURATION-OWED,EW 1D-LTE/NLTE,6.3,2,phase_c_verdict (RYA-521),EW: 2 curated line(s); value HELD at gold tier 'owed' (RYA-522) — not a graded-cull blank
Ti,I,,,owed,CURATION-OWED,EW 1D-LTE/NLTE,4.97,10,phase_c_verdict (RYA-521),EW: 10 curated line(s); value HELD at gold tier 'owed' (RYA-522) — not a graded-cull blank
Ni,I,,,owed,CURATION-OWED,EW 1D-LTE/NLTE,6.2,2,phase_c_verdict (RYA-521),EW: 2 curated line(s); value HELD at gold tier 'owed' (RYA-522) — not a graded-cull blank
Na,I,,,owed,CURATION-OWED,EW 1D-LTE/NLTE,6.24,2,phase_c_verdict (RYA-521),EW: 2 curated line(s); value HELD at gold tier 'owed' (RYA-522) — not a graded-cull blank
P,I,,,owed,CURATION-OWED,atlas 1D,5.41,2,phase_c_verdict (RYA-521),"near-IR multiplet, gf-limited (RYA-460) — A(X) 6.610 HELD at tier 'owed' (RYA-522), not frozen"
