element,ion,A_X,A_X_nlte,confidence,verdict,method_scale,scale_state,asplund2021,n_lines,source,note
Fe,I,7.466,7.466,gold,PASS,"3D-NLTE (Fe I, Magic 2013)",3D-NLTE,7.46,62,phase_c_verdict (RYA-521),"reported anchor on the true 3D scale — the tabulated Magic-2013 1D→3D solar Fe offset is APPLIED (RYA-553); scale carried as DATA in `scale_state`, never inferred from this prose (RYA-681)"
C,I,8.491,8.491,gold,PASS,synthesis,,8.46,5,phase_c_verdict (RYA-521),CH G-band + C I (RYA-237)
O,I,8.735,8.735,gold,PASS,synthesis,,8.69,3,phase_c_verdict (RYA-521),O I 777 + [O I] 6300 (RYA-237)
Mg,I,,,owed,CURATION-OWED,EW 1D-LTE/NLTE,,7.55,0,phase_c_verdict (RYA-521),EW present; no independent-gf line survives the graded cull
Si,I,7.888,7.888,gf_floor,CURATION-OWED,EW 1D-LTE/NLTE,,7.51,7,phase_c_verdict (RYA-521),characterized gf-scale floor (+0.38); 3D not the lever (RYA-398/399)
Ca,I,,,owed,CURATION-OWED,EW 1D-LTE/NLTE,,6.3,2,phase_c_verdict (RYA-521),EW: 2 curated line(s); value HELD at gold tier 'owed' (RYA-522) — not a graded-cull blank
Ti,I,,,owed,CURATION-OWED,EW 1D-LTE/NLTE,,4.97,10,phase_c_verdict (RYA-521),EW: 10 curated line(s); value HELD at gold tier 'owed' (RYA-522) — not a graded-cull blank
Ni,I,,,owed,CURATION-OWED,EW 1D-LTE/NLTE,,6.2,2,phase_c_verdict (RYA-521),EW: 2 curated line(s); value HELD at gold tier 'owed' (RYA-522) — not a graded-cull blank
Na,I,,,owed,CURATION-OWED,EW 1D-LTE/NLTE,,6.24,2,phase_c_verdict (RYA-521),EW: 2 curated line(s); value HELD at gold tier 'owed' (RYA-522) — not a graded-cull blank
P,I,,,owed,CURATION-OWED,atlas 1D,,5.41,2,phase_c_verdict (RYA-521),"near-IR multiplet, gf-limited (RYA-460) — A(X) 6.610 HELD at tier 'owed' (RYA-522), not frozen"
S,I,,,owed,CURATION-OWED,synthesis,,7.12,2,phase_c_verdict (RYA-521),"synthesis: Costa-Silva gf (RYA-492) — A(X) 7.486 HELD at tier 'owed' (RYA-522), not frozen"
N,I,,,owed,CURATION-OWED,atlas 1D,,7.83,3,phase_c_verdict (RYA-521),"N I red multiplets; +0.37 owed NLTE (RYA-369) — A(X) 8.188 HELD at tier 'owed' (RYA-522), not frozen"
Co,I,,,owed,PASS,synthesis,,4.94,5,phase_c_verdict (RYA-521),"synthesis: Co I red HFS (RYA-564) — A(X) 4.965 HELD at tier 'owed' (RYA-522), not frozen"
Cr,I,6.022,6.022,gf_floor,CURATION-OWED,EW 1D-LTE/NLTE,,5.62,7,phase_c_verdict (RYA-521),characterized gf-scale floor (+0.40); 3D not the lever (RYA-398/399)
Al,I,,,owed,CURATION-OWED,EW 1D-LTE/NLTE,,6.43,1,phase_c_verdict (RYA-521),EW: 1 curated line(s); value HELD at gold tier 'owed' (RYA-522) — not a graded-cull blank
K,I,5.099,5.099,gold,PASS,atlas 1D,,5.07,1,phase_c_verdict (RYA-521),K I 7699 + K NLTE grid (RYA-462)
Ba,I,,,owed,CURATION-OWED,synthesis,,2.27,1,phase_c_verdict (RYA-521),"synthesis: Ba II 5853 HFS (RYA-559) — A(X) 2.410 HELD at tier 'owed' (RYA-522), not frozen"
Y,I,,,owed,CURATION-OWED,EW 1D-LTE/NLTE,,2.21,0,phase_c_verdict (RYA-521),EW present; no independent-gf line survives the graded cull
V,I,,,owed,CURATION-OWED,synthesis,,3.9,6,phase_c_verdict (RYA-521),"HFS-resolved synthesis (RYA-411/466/473) — A(X) 3.917 HELD at tier 'owed' (RYA-522), not frozen"
Cu,I,,,owed,CURATION-OWED,synthesis,,4.18,5,phase_c_verdict (RYA-521),"HFS-resolved synthesis (RYA-411/466/473) — A(X) 4.345 HELD at tier 'owed' (RYA-522), not frozen"
Mn,I,5.466,5.466,gold,PASS,synthesis,,5.42,3,phase_c_verdict (RYA-521),HFS-resolved synthesis (RYA-411/466/473)
Sc,II,3.203,3.203,gold,CURATION-OWED,atlas 1D,,3.14,1,phase_c_verdict (RYA-521),blue-edge HFS single line (RYA-460)
Li,I,0.727,0.727,upper_limit,CURATION-OWED,EW (upper limit),,1.05,1,phase_c_verdict (RYA-521),"CN-blended, carried as UPPER LIMIT (RYA-103) — a clean low value is a red flag"
Eu,I,,,owed,CURATION-OWED,EW 1D-LTE/NLTE,,0.52,0,phase_c_verdict (RYA-521),EW present; no independent-gf line survives the graded cull
Zr,I,,,owed,CURATION-OWED,EW 1D-LTE/NLTE,,2.59,0,phase_c_verdict (RYA-521),EW present; no independent-gf line survives the graded cull
Sr,I,,,owed,CURATION-OWED,EW 1D-LTE/NLTE,,2.83,1,phase_c_verdict (RYA-521),EW: 1 curated line(s); value HELD at gold tier 'owed' (RYA-522) — not a graded-cull blank
