2M05484106-0602007 05 48 41.05 -06 02 00.8 2MASS J05484106-0602007
2M05594446-7212111 05 59 44.45 -72 12 11.2 2MASS J05594446-7212111
2M06035110-7456029 06 03 51.11 -74 56 03.0 2MASS J06035110-7456029
2M06035214-7255079 06 03 52.16 -72 55 07.9 2MASS J06035214-7255079
2M06052796-0553384 06 05 27.96 -05 53 38.4 2MASS J06052796-0553384
2M06074096-0530332 06 07 40.96 -05 30 33.2 2MASS J06074096-0530332
2M06124201-0025095 06 12 42.02 +00 25 09.5 2MASS J06124201-0025095
2M06140107-0641072 06 14 01.07 -06 41 07.1 2MASS J06140107-0641072
2M06143705-0551064 06 14 37.05 -05 51 06.3 2MASS J06143705-0551064
2M06171159-7259319 06 17 11.61 -72 59 32.0 2MASS J06171159-7259319
2M06223443-0443153 06 22 34.43 -04 43 15.3 2MASS J06223443-0443153
2M06231693-0530385 06 23 16.93 -05 30 38.4 2MASS J06231693-0530385
2M06520463-0047080 06 52 04.62 +00 47 08.0 2MASS J06520463-0047080
2M06551808-0148080 06 55 18.08 -01 48 08.0 2MASS J06551808-0148080
2M06574070-1231239 06 57 40.69 -12 31 23.8 2MASS J06574070-1231239
2M10430394-4605354 10 43 03.95 -46 05 35.4 2MASS J10430394-4605354
2M11042542-7318068 11 04 25.41 -73 18 06.9 2MASS J11042542-7318068
2M12101600-4936072 12 10 16.00 -49 36 07.2 2MASS J12101600-4936072
2M13403516-5040261 13 40 35.16 -50 40 26.1 2MASS J13403516-5040261
2M14131192-4849280 14 13 11.92 -48 49 28.0 2MASS J14131192-4849280
2M14240039-6252516 14 24 00.39 -62 52 51.6 2MASS J14240039-6252516
2M14241044-6218367 14 24 10.44 -62 18 36.7 2MASS J14241044-6218367
2M14260433-6219024 14 26 04.33 -62 19 02.4 2MASS J14260433-6219024
2M14261117-6240220 14 26 11.17 -62 40 22.0 2MASS J14261117-6240220
2M14275833-6147534 14 27 58.33 -61 47 53.4 2MASS J14275833-6147534
2M14283733-6257279 14 28 37.33 -62 57 27.9 2MASS J14283733-6257279
2M14291063-6317181 14 29 10.63 -63 17 18.1 2MASS J14291063-6317181
2M14311520-6145468 14 31 15.20 -61 45 46.8 2MASS J14311520-6145468
2M14322072-6215506 14 32 20.72 -62 15 50.7 2MASS J14322072-6215506
2M14332169-6302108 14 33 21.69 -63 02 10.8 2MASS J14332169-6302108
2M14332869-6211255 14 33 28.69 -62 11 25.5 2MASS J14332869-6211255
2M14333081-6221450 14 33 30.81 -62 21 45.0 2MASS J14333081-6221450
2M14333688-6232028 14 33 36.88 -62 32 02.8 2MASS J14333688-6232028
2M14345114-6225509 14 34 51.14 -62 25 50.9 2MASS J14345114-6225509
2M14360142-6228561 14 36 01.44 -62 28 56.2 2MASS J14360142-6228561
2M14360935-6309399 14 36 09.35 -63 09 39.9 2MASS J14360935-6309399
2M14371958-6251344 14 37 19.58 -62 51 34.4 2MASS J14371958-6251344
2M14375085-6237526 14 37 50.85 -62 37 52.6 2MASS J14375085-6237526
2M15161949+0244516 15 16 19.49 +02 44 51.6 2MASS J15161949+0244516
2M17584888-2351011 17 58 48.89 -23 51 01.1 2MASS J17584888-2351011
2M18103303-1626220 18 10 33.04 -16 26 21.9 2MASS J18103303-1626220
2M18142346-2136410 18 14 23.46 -21 36 41.0 2MASS J18142346-2136410
2M18191551-1726223 18 19 15.51 -17 26 22.3 2MASS J18191551-1726223
2M18522108-3022143 18 52 21.09 -30 22 14.3 2MASS J18522108-3022143
HD132813           14 57 35.00 +65 55 56.8 HD132813
HD175588           18 54 30.28 +36 53 55.0 HD175588
HD89758            10 22 19.72 +41 29 58.3 HD89758
HD224935           00 01 57.61 -06 00 50.6 HD224935
HD101153           11 38 27.60 +08 08 03.4 HD101153
HIP54396           11 07 52.78 +68 21 58.8 HIP54396
