wavelength_air_A,wavelength_vac_A,residual_flux,irradiance_uW_cm2_nm
8676.00340,8678.38650,0.98513,99.40000
8676.01380,8678.39700,0.98452,99.34000
8676.02480,8678.40800,0.98276,99.16000
8676.03520,8678.41840,0.98219,99.10000
8676.04610,8678.42930,0.98354,99.24000
8676.05710,8678.44030,0.98525,99.41000
8676.06750,8678.45070,0.98631,99.52000
8676.07850,8678.46170,0.98630,99.52000
8676.08890,8678.47210,0.98603,99.49000
8676.09990,8678.48310,0.98648,99.53000
8676.11020,8678.49340,0.98684,99.57000
8676.12120,8678.50440,0.98683,99.57000
8676.13160,8678.51480,0.98707,99.59000
8676.14260,8678.52580,0.98716,99.60000
8676.15300,8678.53620,0.98720,99.61000
8676.16390,8678.54710,0.98758,99.64000
8676.17430,8678.55750,0.98755,99.64000
8676.18530,8678.56850,0.98717,99.60000
8676.19630,8678.57950,0.98732,99.62000
8676.20670,8678.58990,0.98789,99.67000
8676.21770,8678.60090,0.98823,99.71000
8676.22800,8678.61120,0.98768,99.65000
8676.23900,8678.62220,0.98688,99.57000
8676.24940,8678.63260,0.98719,99.60000
8676.26040,8678.64360,0.98779,99.66000
8676.27080,8678.65400,0.98762,99.65000
8676.28170,8678.66490,0.98754,99.64000
8676.29210,8678.67530,0.98751,99.63000
8676.30310,8678.68630,0.98710,99.59000
8676.31350,8678.69670,0.98694,99.58000
8676.32450,8678.70770,0.98686,99.57000
8676.33540,8678.71860,0.98702,99.58000
8676.34580,8678.72900,0.98798,99.68000
8676.35680,8678.74000,0.98808,99.69000
8676.36720,8678.75040,0.98691,99.57000
8676.37820,8678.76140,0.98692,99.57000
8676.38850,8678.77180,0.98813,99.69000
8676.39950,8678.78280,0.98842,99.72000
8676.40990,8678.79320,0.98751,99.63000
8676.42090,8678.80420,0.98648,99.53000
8676.43130,8678.81460,0.98649,99.53000
8676.44230,8678.82560,0.98727,99.61000
8676.45260,8678.83590,0.98737,99.62000
8676.46360,8678.84690,0.98712,99.59000
8676.47460,8678.85790,0.98729,99.61000
8676.48500,8678.86830,0.98710,99.59000
8676.49600,8678.87930,0.98679,99.56000
8676.50630,8678.88960,0.98710,99.59000
8676.51730,8678.90060,0.98735,99.61000
8676.52770,8678.91100,0.98732,99.61000
8676.53870,8678.92200,0.98709,99.59000
8676.54910,8678.93240,0.98690,99.57000
8676.56010,8678.94340,0.98738,99.61000
8676.57040,8678.95370,0.98755,99.63000
8676.58140,8678.96470,0.98700,99.58000
8676.59180,8678.97510,0.98729,99.61000
8676.60280,8678.98610,0.98752,99.63000
8676.61380,8678.99710,0.98670,99.55000
8676.62410,8679.00740,0.98657,99.53000
8676.63510,8679.01840,0.98696,99.57000
8676.64550,8679.02880,0.98688,99.56000
8676.65650,8679.03980,0.98688,99.56000
8676.66690,8679.05020,0.98649,99.52000
8676.67790,8679.06120,0.98631,99.50000
8676.68820,8679.07150,0.98728,99.60000
8676.69920,8679.08250,0.98712,99.59000
8676.70960,8679.09290,0.98589,99.46000
8676.72060,8679.10390,0.98581,99.45000
8676.73100,8679.11430,0.98543,99.41000
8676.74190,8679.12520,0.98454,99.32000
8676.75290,8679.13630,0.98475,99.35000
8676.76330,8679.14670,0.98436,99.31000
8676.77430,8679.15770,0.98325,99.19000
8676.78470,8679.16810,0.98330,99.20000
8676.79570,8679.17910,0.98346,99.21000
8676.80600,8679.18940,0.98335,99.20000
8676.81700,8679.20040,0.98380,99.25000
8676.82740,8679.21080,0.98371,99.24000
8676.83840,8679.22180,0.98363,99.23000
8676.84880,8679.23220,0.98479,99.35000
8676.85970,8679.24310,0.98554,99.42000
8676.87010,8679.25350,0.98530,99.40000
8676.88110,8679.26450,0.98537,99.41000
8676.89210,8679.27550,0.98543,99.41000
8676.90250,8679.28590,0.98506,99.37000
8676.91350,8679.29690,0.98497,99.36000
