wavelength_air_A,wavelength_vac_A,residual_flux,irradiance_uW_cm2_nm
3843.00290,3844.09300,0.16156,33.69000
3843.00720,3844.09730,0.16182,33.75000
3843.01180,3844.10190,0.16289,33.97000
3843.01610,3844.10620,0.16461,34.33000
3843.02060,3844.11070,0.16688,34.80000
3843.02490,3844.11500,0.16963,35.37000
3843.02920,3844.11930,0.17284,36.04000
3843.03380,3844.12390,0.17652,36.81000
3843.03800,3844.12810,0.18072,37.69000
3843.04260,3844.13270,0.18560,38.70000
3843.04690,3844.13700,0.19149,39.93000
3843.05150,3844.14160,0.19892,41.48000
3843.05570,3844.14580,0.20864,43.51000
3843.06000,3844.15010,0.22152,46.20000
3843.06460,3844.15470,0.23848,49.73000
3843.06880,3844.15890,0.26026,54.28000
3843.07340,3844.16350,0.28723,59.90000
3843.07770,3844.16780,0.31929,66.59000
3843.08200,3844.17210,0.35576,74.19000
3843.08650,3844.17660,0.39545,82.47000
3843.09080,3844.18090,0.43681,91.09000
3843.09540,3844.18550,0.47813,99.71000
3843.09970,3844.18980,0.51776,107.98000
3843.10420,3844.19430,0.55434,115.61000
3843.10850,3844.19860,0.58684,122.38000
3843.11280,3844.20290,0.61463,128.18000
3843.11740,3844.20750,0.63744,132.94000
3843.12160,3844.21170,0.65528,136.66000
3843.12620,3844.21630,0.66838,139.39000
3843.13050,3844.22070,0.67719,141.23000
3843.13510,3844.22530,0.68226,142.29000
3843.13930,3844.22950,0.68417,142.68000
3843.14360,3844.23380,0.68349,142.54000
3843.14820,3844.23840,0.68063,141.95000
3843.15250,3844.24270,0.67588,140.96000
3843.15700,3844.24720,0.66936,139.60000
3843.16130,3844.25150,0.66106,137.87000
3843.16590,3844.25610,0.65086,135.74000
3843.17020,3844.26040,0.63855,133.17000
3843.17440,3844.26460,0.62382,130.10000
3843.17900,3844.26920,0.60632,126.45000
3843.18330,3844.27350,0.58572,122.16000
3843.18790,3844.27810,0.56177,117.16000
3843.19210,3844.28230,0.53441,111.45000
3843.19640,3844.28660,0.50374,105.06000
3843.20100,3844.29120,0.47006,98.03000
3843.20530,3844.29550,0.43383,90.48000
3843.20980,3844.30000,0.39563,82.51000
3843.21410,3844.30430,0.35622,74.29000
3843.21870,3844.30890,0.31655,66.02000
3843.22300,3844.31320,0.27775,57.93000
3843.22720,3844.31740,0.24101,50.27000
3843.23180,3844.32200,0.20747,43.27000
3843.23610,3844.32630,0.17806,37.14000
3843.24070,3844.33090,0.15333,31.98000
3843.24490,3844.33510,0.13344,27.83000
3843.24950,3844.33970,0.11825,24.66000
3843.25380,3844.34400,0.10741,22.40000
3843.25810,3844.34830,0.10051,20.96000
3843.26260,3844.35280,0.09726,20.29000
3843.26690,3844.35710,0.09763,20.36000
3843.27150,3844.36170,0.10191,21.25000
3843.27580,3844.36600,0.11074,23.10000
3843.28030,3844.37050,0.12499,26.07000
3843.28460,3844.37480,0.14548,30.34000
3843.28890,3844.37910,0.17263,36.01000
3843.29350,3844.38370,0.20624,43.02000
3843.29770,3844.38790,0.24532,51.17000
3843.30230,3844.39250,0.28823,60.12000
3843.30660,3844.39680,0.33301,69.46000
3843.31120,3844.40140,0.37771,78.78000
3843.31540,3844.40560,0.42073,87.75000
3843.31970,3844.40990,0.46090,96.13000
3843.32430,3844.41450,0.49752,103.77000
3843.32860,3844.41880,0.53019,110.58000
3843.33310,3844.42330,0.55870,116.53000
3843.33740,3844.42760,0.58297,121.59000
3843.34170,3844.43190,0.60309,125.79000
3843.34630,3844.43650,0.61924,129.16000
3843.35050,3844.44070,0.63181,131.78000
3843.35510,3844.44530,0.64124,133.75000
3843.35940,3844.44960,0.64806,135.17000
3843.36400,3844.45420,0.65278,136.15000
3843.36820,3844.45840,0.65584,136.79000
