element,wired,grid_file,on_disk,in_bounds_procyon,grid_box,status
Fe,True,Fe_Bergemann_MPIA.csv,True,True,"teff(5000.0, 6600.0) logg(4.0, 4.6)",NLTE-LIVE (in-bounds at Procyon)
Mg,True,Mg_Amarsi2020_PySME.csv,True,False,"teff(5100.0, 6200.0) logg(4.0, 4.7) feh(-0.3, 0.6)",GRID PRESENT but OUT-OF-BOUNDS at 6554K -> edge-clamp or LTE (finding)
Si,True,Si_Amarsi2020_PySME.csv,True,False,"teff(5100.0, 6200.0) logg(4.0, 4.7) feh(-0.3, 0.6)",GRID PRESENT but OUT-OF-BOUNDS at 6554K -> edge-clamp or LTE (finding)
Ca,True,Ca_Mashonkina2017.csv,True,False,"teff(5000.0, 6500.0) logg(3.5, 4.5) feh(-0.5, 0.3)",GRID PRESENT but OUT-OF-BOUNDS at 6554K -> edge-clamp or LTE (finding)
Ti,True,Ti_Bergemann2011_MPIA.csv,True,False,"teff(5000.0, 6500.0) logg(3.5, 4.5) feh(-0.5, 0.3)",GRID PRESENT but OUT-OF-BOUNDS at 6554K -> edge-clamp or LTE (finding)
Cr,True,Cr_Bergemann2010_MPIA.csv,True,False,"teff(5000.0, 6500.0) logg(3.5, 4.5) feh(-0.5, 0.3)",GRID PRESENT but OUT-OF-BOUNDS at 6554K -> edge-clamp or LTE (finding)
Na,True,Na_Amarsi2020_PySME.csv,True,False,"teff(5100.0, 6200.0) logg(4.0, 4.7) feh(-0.3, 0.6)",GRID PRESENT but OUT-OF-BOUNDS at 6554K -> edge-clamp or LTE (finding)
Al,True,Al_Amarsi2020_PySME.csv,True,False,"teff(5100.0, 6200.0) logg(4.0, 4.7) feh(-0.3, 0.4)",GRID PRESENT but OUT-OF-BOUNDS at 6554K -> edge-clamp or LTE (finding)
Mn,True,Mn_Bergemann_MPIA.csv,True,False,"teff(5000.0, 6500.0) logg(3.5, 4.5) feh(-0.5, 0.3)",GRID PRESENT but OUT-OF-BOUNDS at 6554K -> edge-clamp or LTE (finding)
Co,False,,False,,,NOT-WIRED (run LTE; RYA-242-style grid need)
Cu,False,,False,,,NOT-WIRED (run LTE; RYA-242-style grid need)
Sc,False,,False,,,NOT-WIRED (run LTE; RYA-242-style grid need)
V,False,,False,,,NOT-WIRED (run LTE; RYA-242-style grid need)
Li,False,,False,,,NOT-WIRED (run LTE; RYA-242-style grid need)
Eu,False,,False,,,NOT-WIRED (run LTE; RYA-242-style grid need)
Ba,True,Ba_Korotin2015.csv,True,False,"teff(4000.0, 6500.0) logg(0.0, 5.0) feh(-0.5, 0.5)",GRID PRESENT but OUT-OF-BOUNDS at 6554K -> edge-clamp or LTE (finding)
Y,False,,False,,,NOT-WIRED (run LTE; RYA-242-style grid need)
