key,authors,year,title,venue,doi,url,category,role_in_codex,tickets,local_file,license_note,verified
adibekyan2011,"Adibekyan, V. Zh.; Santos, N. C.; Sousa, S. G.; Israelian, G.",2011,A new alpha-enhanced super-solar metallicity population,"A&A 535, L11",10.1051/0004-6361/201118240,https://doi.org/10.1051/0004-6361/201118240,motivation,The alpha-enhanced super-solar population — the precedent for the Codex's alpha-enhancement framing.,,Reference documents/Sousa et al 2011.pdf,"LOCAL FILE IS MISNAMED: 'Sousa et al 2011.pdf' is Adibekyan et al. 2011 (A&A 535, L11). Identified from PDF metadata.",extracted
adibekyan2012,"Adibekyan, V. Zh.; Sousa, S. G.; Santos, N. C.; Delgado Mena, E.; Gonzalez Hernandez, J. I.; Israelian, G.; Mayor, M.; Khachatryan, G.",2012,Chemical abundances of 1111 FGK stars from the HARPS GTO planet search program. Galactic stellar populations and planets,"A&A 545, A32",10.1051/0004-6361/201219401,https://doi.org/10.1051/0004-6361/201219401,motivation,The 1111-star HARPS abundance baseline — the population the Codex's HARPS solar and host-star work sits inside.,,Reference documents/Sousa et al 2012.pdf,"LOCAL FILE IS MISNAMED: 'Sousa et al 2012.pdf' is Adibekyan et al. 2012 (A&A 545, A32). Identified from PDF metadata.",extracted
adibekyan2021,"Adibekyan, V.; Dorn, C.; Sousa, S. G.; Santos, N. C.; Bitsch, B.; Israelian, G.",2021,A compositional link between rocky exoplanets and their host stars,"Science 374, 330",10.1126/science.abg8794,https://doi.org/10.1126/science.abg8794,motivation,"THE motivating result: host-star composition and rocky-planet iron fraction correlate, but not 1:1.",,Reference documents/science.abg8794.pdf,,extracted
amarsi2016,"Amarsi, A. M.; Asplund, M.; Collet, R.; Leenaarts, J.",2016,Non-LTE oxygen line formation in 3D hydrodynamic model stellar atmospheres,"MNRAS 455, 3735",10.1093/mnras/stv2608,https://doi.org/10.1093/mnras/stv2608,nlte,"3D non-LTE O I grids ([O I] 6300/6363, O I 777) behind the solar oxygen leg.",RYA-447; RYA-485,Reference documents/stv2608.pdf,,extracted
amarsi2019,"Amarsi, A. M.; Nissen, P. E.; Skuladottir, A.",2019,"Carbon, oxygen, and iron abundances in disk and halo stars","A&A 630, A104",10.1051/0004-6361/201936265,https://doi.org/10.1051/0004-6361/201936265,nlte,The C I / O I 3D- and 1D-NLTE correction tables applied in the CNO leg.,RYA-237; RYA-359; RYA-447,,,crossref
amarsi2022,"Amarsi, A. M.; Liljegren, S.; Nissen, P. E.",2022,3D non-LTE iron abundances in FG-type dwarfs,"A&A 668, A68",10.1051/0004-6361/202244542,https://doi.org/10.1051/0004-6361/202244542,nlte,"Engine A 3D non-LTE Fe. The MLP correction surface — in-domain only where the training set reaches, which excludes the IR (RYA-817).",RYA-817; RYA-819; RYA-831,Reference documents/2209.13449v3.pdf,On-disk copy is arXiv v3 (arXiv:2209.13449); the DOI is the published A&A version.,extracted
andrievsky2017,"Andrievsky, S.; Bonifacio, P.; Caffau, E.; Korotin, S.; Spite, M.; Spite, F.; Sbordone, L.; Zhukova, A. V.",2017,Galactic evolution of copper in the light of NLTE computations,"MNRAS 473, 3377",10.1093/mnras/stx2526,https://doi.org/10.1093/mnras/stx2526,nlte,Cu I NLTE model atom; one of the three Cu NLTE treatments compared for A(Cu).,RYA-466; RYA-540,Reference documents/1709.08619v1.pdf,On-disk copy is the arXiv v1 preprint (arXiv:1709.08619).,extracted
asplund2009,"Asplund, M.; Grevesse, N.; Sauval, A. J.; Scott, P.",2009,The Chemical Composition of the Sun,"ARA&A 47, 481",10.1146/annurev.astro.46.060407.145222,https://doi.org/10.1146/annurev.astro.46.060407.145222,solar_reference,The predecessor solar scale; still the comparison point for pre-2021 literature values quoted in the Codex.,,Reference documents/Microturbulence.pdf,"LOCAL FILE IS MISNAMED: 'Microturbulence.pdf' is Asplund+2009, not a microturbulence paper. Identified from the PDF first page.",extracted
asplund2021,"Asplund, M.; Amarsi, A. M.; Grevesse, N.",2021,The chemical make-up of the Sun: A 2020 vision,"A&A 653, A141",10.1051/0004-6361/202140445,https://doi.org/10.1051/0004-6361/202140445,solar_reference,"GOLD reference standard. The 3D non-LTE solar abundance scale every Codex element is compared against, and the per-element physics-regime authority.",RYA-400; RYA-553; RYA-853,Reference documents/Apslund 2021.pdf,Open access (A&A).,extracted
baker2020,"Baker, A. D.; Blake, C. H.; Reiners, A.",2020,The IAG Solar Flux Atlas: Telluric Correction with a Semiempirical Model,"ApJS 247, 24",10.3847/1538-4365/ab6a1c,https://doi.org/10.3847/1538-4365/ab6a1c,solar_reference,Telluric-corrected IAG solar atlas (0.5-1.0 um); the telluric control for the optical/near-IR solar reference.,RYA-459; RYA-805,Reference documents/Baker_2020_ApJS_247_24.pdf,,extracted
