check,title,status,detail
A1,Source coverage / truncation (Vujnovic CDS tables 2-5),PASS,"CDS ReadMe declares {2: 29, 3: 22, 4: 24, 5: 31}; files on disk hold {2: 29, 3: 22, 4: 24, 5: 31}; the normalized ledger holds {2: 29, 3: 22, 4: 24, 5: 31}. Total 106 of the claimed 106. The ReadMe's own record counts are an independent referee - it is not the builder's own arithmetic."
A1-burheim,Burheim Table 3 = 12 derived log gf; Table 2 does not leak in,PASS,"12 rows, every one carrying both `loggf` and `e_loggf_dex`. No branching-fraction-only row is present, so Table 2 did not leak in as gf."
A1-parse,"Fixed-width column extraction, refereed by branching closure",PASS,"For every multiplet with more than one finite Aki, A_i/sum(A) reproduces the SEPARATELY PRINTED branching ratio to 0.0031 (n=7), consistent with the source's 2-3 printed figures. The builder never compares these two columns, so this is an identity it cannot have been tuned to."
A1-flags,CDS limit / note flag columns preserved,FAIL,"14 flag bytes across 5 documented CDS columns are never read by the parser, so the reference README's claim that 'source limits remain limits' is false for two of them. `l_e_Aki` ('>') turns a LOWER LIMIT on the uncertainty into a determinate sigma, and `n_Lambda` ('*') - which the CDS ReadMe documents as 'the value ... was taken over from Tayal & Hibbert (1984)' - is the only thing distinguishing a theoretical Aki from a Vujnovic measurement, and it is dropped."
A2-control,"The identity-comparison test can say yes, and cannot be laundered",PASS,"Positive control: the test returns True for `nearest`, the builder's own EP-aware matcher, whose EP term arrives via `ok &= (frame[epcol] - ep).abs() <= eptol` - so the augmented-assignment branch is exercised. Negative control: a fixture whose wavelength filter is bare but which MENTIONS `lower_level`/`upper_level` elsewhere still returns False, so this test does not inherit RYA-1037's `_enclosing_has_ep()` whole-function blind spot."
A2,"Crossmatch identity (EP-aware, never wavelength alone)",FAIL,"RYA-1132's `ingest_new_lab_sources` joins every Vujnovic row and the Johnson Al II row to the manifest on `abs(wavelength_air - lambda) <= 0.08` and nothing else. 3 candidate-narrowing wavelength comparisons (lines [167, 171, 194]) carry no physical-identity term in the expression that builds the filter - and the level strings the function does touch are only WRITTEN into `upper_lower_level_identity`. So no promotion in this ticket was matched on a physical identity. The builder defines an EP-aware matcher, `nearest(..., epcol=..., eptol=0.02)`, and the census loop calls it; the promotion path does not."
A2-repo-guard,RYA-1037's repo-wide wavelength-only guard catches this join,FAIL,"It does not. `scripts/audit_line_keys_rya1037.py:scan()` reports 54 findings across the repo - so the scanner runs and is not simply empty - and names `build_al_intake_rya1132.py` zero times. Two independent reasons: its `WAVE_ONLY_TOL` rule matches only the BUILTIN `abs(a - b) <op> tol` inside one expression, while RYA-1132 uses the pandas METHOD `(a - b).abs()` assigned to `delta_A` and then filters in a SEPARATE statement; and its `_enclosing_has_ep()` scopes to the whole function, so one unrelated `ep` would silence it anyway. The guard built to make RYA-1034 unrepeatable did not fire on the next occurrence of RYA-1034."
A2-null,Does the missing identity gate actually mis-assign?,FAIL,"Yes - it is not merely unexercised. 1 manifest row(s) are claimed by two physically DIFFERENT transitions. `alphys_II_3587.0720_0333` is claimed by three source rows: 4f ^3^F^o^_3_ - 3d ^3^D_2_ at 3587.068 A (twice, its true identity) and 4f ^3^F^o^_2_ - 3d ^3^D_3_ at 3587.100 A, a different transition 0.028 A away that the 0.08 A window swallows. That row is MATCHED_NOT_PROMOTED, so no gf is corrupted today - but it is the same code path, with the same window, that wrote all seven GF-LAB values."
A2-resolution,Would an EP gate alone have been sufficient?,FLAG,"Not on its own. `lower_EP` is stored at 4 decimal places, and 2 adjacent lower-level pairs in the crossmatch sit closer than 5e-4 eV - the Al II 3d ^3^D_1,2,3_ term spans 0.0003 eV in total, so at the manifest's stored precision EP CANNOT separate the very levels the 3587 collision confuses. The remedy RYA-1034 needs here is the level/J designation plus a uniqueness requirement, not an EP tolerance alone; an EP-only gate would have passed this defect."
A2-6696,6696.015 vs 6696.185 stay distinct; Burheim cannot leak,PASS,"Two separate manifest rows, dEP = 0.8788 eV. Burheim's laboratory gf sits only on 6696.015 and 6696.185 keeps its fallback source. Note this pair is separated by RYA-1001's census, which IS EP-aware - not by the RYA-1132 ingest path, which would not have distinguished them."
