artifact,source_id,doi,claimed_citation,claimed_first_author,claimed_bibcode,registered_title,registered_authors,registered_container,registered_volume,registered_page,registered_year,resolution,verdict,reason,correct_doi,correct_paper
source_bibliography.csv,Burheim2023,10.1051/0004-6361/202245394,"Burheim, Hartman & Nilsson 2023, A&A 672 A197",Burheim,2023A&A...672A.197B,Experimental oscillator strengths of Al I lines for near-infrared astrophysical spectroscopy,Burheim|Hartman|Nilsson,Astronomy & Astrophysics,672,A197,2023,COMMITTED_CACHE,OK,registered author list contains Burheim,,
source_bibliography.csv,Vujnovic2002,10.1051/0004-6361:20020560,"Vujnovic et al. 2002, A&A 388, 704-711",Vujnovic,2002A&A...388..704V,"Absolute transition probabilities of Al I and Al II
spectral lines 
and intensity ratios within multiplets",Vujnovic|Blagoev|Furbock|Neger|Jager,Astronomy & Astrophysics,388,704-711,2002,COMMITTED_CACHE,OK,registered author list contains Vujnovic,,
source_bibliography.csv,Trabert1999,10.1088/0953-4075/32/2/031,"Trabert et al. 1999, J. Phys. B 32, 537-552",Trabert,1999JPhB...32..537T,Measurement of the B+and Al+intercombination and Sc12+forbidden transition rates at a heavy-ion storage ring,Trabert|Wolf|Linkemann|Tordoir,"Journal of Physics B: Atomic, Molecular and Optical Physics",32,537-552,1999,COMMITTED_CACHE,OK,registered author list contains Trabert,,
source_bibliography.csv,Johnson1986,10.1086/164569,"Johnson, Smith & Parkinson 1986, ApJ 308, 1013",Johnson,1986ApJ...308.1013J,Transition probability of the AL II 2669 intersystem line,Johnson|Smith|Parkinson,The Astrophysical Journal,308,1013,1986,COMMITTED_CACHE,OK,registered author list contains Johnson,,
source_bibliography.csv,KelleherPodobedova2008,10.1063/1.2734564,"Kelleher & Podobedova 2008, J. Phys. Chem. Ref. Data 37, 709",Kelleher,2008JPCRD..37..709K,Atomic Transition Probabilities of Aluminum. A Critical Compilation,Kelleher|Podobedova,Journal of Physical and Chemical Reference Data,37,709-911,2008,COMMITTED_CACHE,OK,registered author list contains Kelleher,,
source_bibliography.csv,Papoulia2019,10.1051/0004-6361/201833764,"Papoulia, Ekman & Jonsson 2019, A&A 621, A16",Papoulia,2019A&A...621A..16P,Extended transition rates and lifetimes in Al I and Al II from systematic multiconfiguration calculations,Papoulia|Ekman|Jonsson,Astronomy & Astrophysics,621,A16,2018,COMMITTED_CACHE,OK,registered author list contains Papoulia,,
source_bibliography.csv,GriesmannKling2000,10.1086/312738,"Griesmann & Kling 2000, ApJ 536, L113-L115",Griesmann,2000ApJ...536L.113G,The Mass Assembly and Star Formation Characteristics of Field Galaxies of Known Morphology,Brinchmann|Ellis,The Astrophysical Journal,536,L77-L80,2000,COMMITTED_CACHE,MISQUOTED,"registered authors are Brinchmann, Ellis - Griesmann is not among them",10.1086/312741,"Griesmann & Kling 2000, 'Interferometric Measurement of Resonance Transition Wavelengths in C IV, Si IV, Al III, Al II', ApJ 536, L113-L115"
source_bibliography.csv,RoedererLawler2021,10.3847/1538-4357/abf142,"Roederer & Lawler 2021, ApJ 912, 119",Roederer,2021ApJ...912..119R,Detection of Al ii in the Ultraviolet Spectra of Metal-poor Stars: An Empirical LTE Test of NLTE Aluminum Abundance Calculations*,Roederer|Lawler,The Astrophysical Journal,912,119,2021,COMMITTED_CACHE,OK,registered author list contains Roederer,,
source_bibliography.csv,Lind2022,10.1051/0004-6361/202142195,"Lind et al. 2022, A&A 665, A33",Lind,2022A&A...665A..33L,Non-LTE abundance corrections for late-type stars from 2000 A to 3 μm,Lind|Nordlander|Wehrhahn|Montelius|Osorio|Barklem|Afsar|Sneden|Kobayashi,Astronomy & Astrophysics,665,A33,2022,COMMITTED_CACHE,OK,registered author list contains Lind,,
source_bibliography.csv,JonssonLundberg1983,10.1007/BF01417221,"Jonsson & Lundberg 1983, Z. Phys. A 313, 151-154",Jonsson,,"Natural radiative lifetimes in the2S1/2 and2D5/2,3/2 sequences of aluminum",J�nsson|Lundberg,Zeitschrift for Physik A Atoms and Nuclei,313,151-154,1983,COMMITTED_CACHE,OK,registered author list contains Jonsson,,
source_bibliography.csv,Nandakumar2024,10.3847/1538-4357/ad4451,Nandakumar et al. 2024 IGRINS abundance lines,Nandakumar,2024ApJ...964...96N,Phase-dependent Spectral Shape Changes in the Ultraluminous X-Ray Pulsar NGC 5907 ULX1,Miura|Kobayashi|Yamaguchi,The Astrophysical Journal,968,95,2024,COMMITTED_CACHE,MISQUOTED,"registered authors are Miura, Kobayashi, Yamaguchi - Nandakumar is not among them",10.3847/1538-4357/ad22dc,"Nandakumar et al. 2024, 'Composition of Giants 1 deg North of the Galactic Center: Detailed Abundances', ApJ 964, 96"
