check,severity,subject,finding,evidence
A1,MEDIUM,table2.dat row 5,CDS flag column `l_e_Aki` = '>' is dropped by the parser,3s^2^5s ^2^S_1/2_    4p ^2^P^o^_1/2_ 21093.04
A1,MEDIUM,table2.dat row 6,CDS flag column `l_e_Aki` = '>' is dropped by the parser,3s^2^5s ^2^S_1/2_    4p ^2^P^o^_3/2_ 21163.75
A1,MEDIUM,table2.dat row 10,CDS flag column `n_Aki` = ')' is dropped by the parser,3s^2^3d ^2^D_3/2_    3p ^2^P^o^_3/2_  3092.839
A1,HIGH,table5.dat row 1,CDS flag column `n_Lambda` = '*' is dropped by the parser,3p^2^ ^1^D_2_ 3p ^1^P^o^_1_ 3900.675* 0.79  13
A1,MEDIUM,table5.dat row 10,CDS flag column `l_e_Aki` = '>' is dropped by the parser,4f ^3^F^o_2_  3d ^3^D_1_    3587.450  0.98   3
A1,MEDIUM,table5.dat row 13,CDS flag column `l_e_Aki` = '>' is dropped by the parser,4f ^3^F^o_3_  3d ^3^D_2_    3587.068  0.96   5
A2,CRITICAL,scripts/build_al_intake_rya1132.py:ingest_new_lab_sources,"Promotion join is wavelength-only, forbidden by RYA-1034","`near = candidates[candidates.delta_A <= .08]` (line 167); the Al II 2669 block repeats the pattern. `nearest(..., epcol=...)` exists and is not called here."
A2,CRITICAL,scripts/audit_line_keys_rya1037.py,The repo-wide wavelength-only guard does not detect the RYA-1132 join,"54 findings reported elsewhere, zero for build_al_intake_rya1132.py; `WAVE_ONLY_TOL` requires builtin abs() within a single expression, and `_enclosing_has_ep()` is function-scoped."
A2,CRITICAL,alphys_II_3587.0720_0333,One manifest line claimed by two different physical transitions,"source rows vuj2002_t4_011,vuj2002_t5_012,vuj2002_t5_013 at lambda 3587.068,3587.100,3587.068 A; transitions 4f^3^F^o^_3_ | 3d^3^D_2_ // 4f^3^F^o_2_ | 3d^3^D_3_ // 4f^3^F^o_3_ | 3d^3^D_2_"
A3,CRITICAL,data/audit/rya1132_al_intake/al_line_manifest.csv:HFS_status,"'COMPONENT_SUM_VERIFIED' is asserted from a count, never from a sum","build_al_intake_rya1132.py: ""COMPONENT_SUM_VERIFIED"" if int(r.hfs_n_components) > 1 else ..."
