element,ion,A_X_bank,A_X_repro,dA_LTE,A_X_nlte_bank,A_X_nlte_repro,dA_NLTE,n_lines_bank,n_lines_repro
Al,I,7.406,7.406,0.0,7.406,7.406,0.0,1,1
C,I,10.26,10.26,0.0,10.26,10.26,0.0,1,1
Ca,I,6.308,6.308,0.0,6.324,6.324,0.0,2,2
Cr,I,5.95,5.95,0.0,6.022,6.022,0.0,7,7
Fe,I,7.51,7.51,0.0,7.516,7.516,0.0,62,62
Fe,II,7.657,7.657,0.0,7.657,7.657,0.0,3,3
Li,I,0.727,0.727,0.0,0.727,0.727,0.0,1,1
Na,I,6.37,6.37,0.0,6.264,6.264,0.0,2,2
Ni,I,6.946,6.946,0.0,6.946,6.946,0.0,2,2
S,I,7.753,7.753,0.0,7.753,7.753,0.0,2,2
Si,I,7.892,7.892,0.0,7.888,7.888,0.0,7,7
Sr,I,4.961,4.961,0.0,4.961,4.961,0.0,1,1
Ti,I,5.364,5.364,0.0,5.471,5.471,0.0,10,10
