element,grd,label_staged,ges_lines,ges_hi_A,ges_reaches_ir,extract_hi_A,extract_already_ir,ir_verdict,blocker,extracts
Al,nlte_Al_scatt_pysme.grd,False,109,9172.1,True,6698.673,False,IR-CAPABLE-BLOCKED-ON-LABEL,"nlte_Al_scatt_pysme.grd is staged but label_Al.txt is NOT -- level index cannot be resolved, so no line can be located in the grid. This is an extraction from the source tarball, NOT a re-download.",Al_Amarsi2020_PySME.csv:6696-6699(22)
Ba,nlte_Ba_scatt_pysme.grd,False,130,8915.0,True,6496.897,False,IR-CAPABLE-BLOCKED-ON-LABEL,"nlte_Ba_scatt_pysme.grd is staged but label_Ba.txt is NOT -- level index cannot be resolved, so no line can be located in the grid. This is an extraction from the source tarball, NOT a re-download.",Ba_Korotin2015.csv:4554-6497(1428)
C,nlte_C_scatt_pysme.grd,False,941,9183.3,True,,False,IR-CAPABLE-BLOCKED-ON-LABEL,"nlte_C_scatt_pysme.grd is staged but label_C.txt is NOT -- level index cannot be resolved, so no line can be located in the grid. This is an extraction from the source tarball, NOT a re-download.",
Ca,nlte_Ca_scatt_pysme.grd,False,486,9187.5,True,6745.23,False,IR-CAPABLE-BLOCKED-ON-LABEL,"nlte_Ca_scatt_pysme.grd is staged but label_Ca.txt is NOT -- level index cannot be resolved, so no line can be located in the grid. This is an extraction from the source tarball, NOT a re-download.",Ca_Mashonkina2017.csv:4579-6745(576)
Co,,False,4855,9199.5,True,,False,NO-ENGINE-A,no departure-coefficient .grd staged on Sirius,
Cr,,False,11384,9199.6,True,6882.48,False,PER-LINE-TABLE-ONLY,"Engine A EXISTS as a per-line table [Cr_Bergemann2010_MPIA.csv (3744 lines, 4042-6882 A)] but no level .grd is staged. This family serves corrections per line from upstream, so reaching a new wavelength is an UPSTREAM QUERY, not local compute. Not 'no Engine A' and not level-extensible either.",Cr_Bergemann2010_MPIA.csv:4042-6882(3744)
Cu,nlte_Cu_caliskan_Oct2024_pysme.grd,False,483,9157.9,True,5782.13,False,IR-CAPABLE-BLOCKED-ON-LABEL,"nlte_Cu_caliskan_Oct2024_pysme.grd is staged but label_Cu.txt is NOT -- level index cannot be resolved, so no line can be located in the grid. This is an extraction from the source tarball, NOT a re-download.",Cu_Caliskan2024_PySME.csv:5782-5782(11)
Eu,,False,211,9018.0,True,,False,NO-ENGINE-A,no departure-coefficient .grd staged on Sirius,
Fe,,False,29731,9199.9,True,6843.67,False,PER-LINE-TABLE-ONLY,"Engine A EXISTS as a per-line table [Fe_Bergemann_MPIA.csv (26560 lines, 3792-6844 A)] but no level .grd is staged. This family serves corrections per line from upstream, so reaching a new wavelength is an UPSTREAM QUERY, not local compute. Not 'no Engine A' and not level-extensible either.",Fe_Bergemann_MPIA.csv:3792-6844(26560)
H,nlte_H_scatt_pysme.grd,False,0,,False,,False,IR-CAPABLE-BLOCKED-ON-LABEL,"nlte_H_scatt_pysme.grd is staged but label_H.txt is NOT -- level index cannot be resolved, so no line can be located in the grid. This is an extraction from the source tarball, NOT a re-download.",
K,nlte_K_scatt_pysme.grd,False,136,8925.4,True,7698.964,True,IR-CAPABLE-BLOCKED-ON-LABEL,"nlte_K_scatt_pysme.grd is staged but label_K.txt is NOT -- level index cannot be resolved, so no line can be located in the grid. This is an extraction from the source tarball, NOT a re-download.",K_Amarsi2020_PySME.csv:7665-7699(18)
Li,nlte_Li_scatt_pysme.grd,False,32,9009.7,True,,False,IR-CAPABLE-BLOCKED-ON-LABEL,"nlte_Li_scatt_pysme.grd is staged but label_Li.txt is NOT -- level index cannot be resolved, so no line can be located in the grid. This is an extraction from the source tarball, NOT a re-download.",
Mg,nlte_Mg_scatt_pysme.grd,False,346,9157.6,True,6319.493,False,IR-CAPABLE-BLOCKED-ON-LABEL,"nlte_Mg_scatt_pysme.grd is staged but label_Mg.txt is NOT -- level index cannot be resolved, so no line can be located in the grid. This is an extraction from the source tarball, NOT a re-download.",Mg_Amarsi2020_PySME.csv:4730-5711(22); Mg_Bergemann_MPIA.csv:5711-6319(216)
Mn,nlte_Mn_scatt_pysme.grd,False,5284,9200.0,True,6867.11,False,IR-CAPABLE-BLOCKED-ON-LABEL,"nlte_Mn_scatt_pysme.grd is staged but label_Mn.txt is NOT -- level index cannot be resolved, so no line can be located in the grid. This is an extraction from the source tarball, NOT a re-download.",Mn_Bergemann_MPIA.csv:4998-6867(288)
