source_species,species,element,ion_or_molecule,atomic_or_molecular,wavelength_air_A,wavelength_system,excitation_potential_eV,loggf_used,band,crires_setup,stated_gf_source,traced_primary_source,gf_grade,gf_sigma,hfs_isotope_flag,diagnostic_role,source_ref,canonical_match_status,canonical_line_id,canonical_loggf,canonical_gf_tier,canonical_gf_source,delta_loggf,promotion_allowed,action,transferability,route_to
C I,C I,C,I,atomic,17274.939,air,9.695,0.442,H,H1582,VALD3,UNTRACED_BEYOND_VALD3,VALD3_FALLBACK,,,atomic abundance line,10.3847/1538-4357/ae7de8,PHYSICAL_KEY_UNIQUE,gf_174859,0.44199999999999995,VALD3,VALD3,0.0,False,TRACE_PRIMARY_GF_BEFORE_PROMOTION,REQUIRES_FGK_SYNTHESIS_TEST,RYA-719;RYA-720;RYA-721
C I,C I,C,I,atomic,17768.91,air,9.707,0.42,H,H1582,VALD3,UNTRACED_BEYOND_VALD3,VALD3_FALLBACK,,,atomic abundance line,10.3847/1538-4357/ae7de8,PHYSICAL_KEY_UNIQUE,gf_175307,0.42,VALD3,VALD3,0.0,False,TRACE_PRIMARY_GF_BEFORE_PROMOTION,REQUIRES_FGK_SYNTHESIS_TEST,RYA-719;RYA-720;RYA-721
C I,C I,C,I,atomic,17793.301,air,9.709,-0.045,H,H1582,VALD3,UNTRACED_BEYOND_VALD3,VALD3_FALLBACK,,,atomic abundance line,10.3847/1538-4357/ae7de8,PHYSICAL_KEY_UNIQUE,gf_175325,-0.04500000000000001,VALD3,VALD3,0.0,False,TRACE_PRIMARY_GF_BEFORE_PROMOTION,REQUIRES_FGK_SYNTHESIS_TEST,RYA-719;RYA-720;RYA-721
C12O,C12O,CNO,molecule,molecular,15667.552,air,0.862,-7.128,H,H1582,Plez online compilation,UNTRACED_MOLECULAR_TRANSITION,MOLECULAR_SOURCE_UNTRACED,,isotope-sensitive,C abundance; 12C/13C,10.3847/1538-4357/ae7de8,MOLECULAR_SCHEMA_SEPARATE,,,,,,False,TRACE_MOLECULAR_LINE_LIST,GIANT_SPECIFIC_USABILITY_ONLY_PENDING_FGK_TEST,RYA-719;RYA-720;RYA-721
C12O,C12O,CNO,molecule,molecular,15779.968,air,0.457,-7.009,H,H1582,Plez online compilation,UNTRACED_MOLECULAR_TRANSITION,MOLECULAR_SOURCE_UNTRACED,,isotope-sensitive,C abundance; 12C/13C,10.3847/1538-4357/ae7de8,MOLECULAR_SCHEMA_SEPARATE,,,,,,False,TRACE_MOLECULAR_LINE_LIST,GIANT_SPECIFIC_USABILITY_ONLY_PENDING_FGK_TEST,RYA-719;RYA-720;RYA-721
C12O,C12O,CNO,molecule,molecular,15781.725,air,0.444,-7.03,H,H1582,Plez online compilation,UNTRACED_MOLECULAR_TRANSITION,MOLECULAR_SOURCE_UNTRACED,,isotope-sensitive,C abundance; 12C/13C,10.3847/1538-4357/ae7de8,MOLECULAR_SCHEMA_SEPARATE,,,,,,False,TRACE_MOLECULAR_LINE_LIST,GIANT_SPECIFIC_USABILITY_ONLY_PENDING_FGK_TEST,RYA-719;RYA-720;RYA-721
C12O,C12O,CNO,molecule,molecular,15794.593,air,0.385,-7.143,H,H1582,Plez online compilation,UNTRACED_MOLECULAR_TRANSITION,MOLECULAR_SOURCE_UNTRACED,,isotope-sensitive,C abundance; 12C/13C,10.3847/1538-4357/ae7de8,MOLECULAR_SCHEMA_SEPARATE,,,,,,False,TRACE_MOLECULAR_LINE_LIST,GIANT_SPECIFIC_USABILITY_ONLY_PENDING_FGK_TEST,RYA-719;RYA-720;RYA-721
C12O,C12O,CNO,molecule,molecular,15795.246,air,0.773,-6.696,H,H1582,Plez online compilation,UNTRACED_MOLECULAR_TRANSITION,MOLECULAR_SOURCE_UNTRACED,,isotope-sensitive,C abundance; 12C/13C,10.3847/1538-4357/ae7de8,MOLECULAR_SCHEMA_SEPARATE,,,,,,False,TRACE_MOLECULAR_LINE_LIST,GIANT_SPECIFIC_USABILITY_ONLY_PENDING_FGK_TEST,RYA-719;RYA-720;RYA-721
C12O,C12O,CNO,molecule,molecular,15802.494,air,0.817,-6.666,H,H1582,Plez online compilation,UNTRACED_MOLECULAR_TRANSITION,MOLECULAR_SOURCE_UNTRACED,,isotope-sensitive,C abundance; 12C/13C,10.3847/1538-4357/ae7de8,MOLECULAR_SCHEMA_SEPARATE,,,,,,False,TRACE_MOLECULAR_LINE_LIST,GIANT_SPECIFIC_USABILITY_ONLY_PENDING_FGK_TEST,RYA-719;RYA-720;RYA-721
C12O,C12O,CNO,molecule,molecular,15824.025,air,0.322,-7.339,H,H1582,Plez online compilation,UNTRACED_MOLECULAR_TRANSITION,MOLECULAR_SOURCE_UNTRACED,,isotope-sensitive,C abundance; 12C/13C,10.3847/1538-4357/ae7de8,MOLECULAR_SCHEMA_SEPARATE,,,,,,False,TRACE_MOLECULAR_LINE_LIST,GIANT_SPECIFIC_USABILITY_ONLY_PENDING_FGK_TEST,RYA-719;RYA-720;RYA-721
