Table 1 
Coordinates, K-band Magnitude, Atmospheric Parameters, and Radial Velocity of the Observed Stars in Liller 1


ID	R.A.	Decl.	K	T_eff	log(g)	RV	
	(deg)	(deg)	(mag)	(K)	(dex)	(km s^-1)	
100157	263.3536852	-33.3958297	10.01	3550	0.50	71.5	
100437	263.3524868	-33.3922546	11.64	4150	1.50	73.0	
100571	263.3546688	-33.4007517	11.75	4000	1.25	68.4	
100658	263.3607202	-33.3951039	12.07	4100	1.25	57.8	
100689	263.3553501	-33.3959916	12.13	4100	1.50	72.7	
100756	263.3523060	-33.3934947	12.39	4150	1.50	72.0	
100760	263.3501594	-33.3993386	12.49	4200	1.25	68.6	
100901	263.3499944	-33.3899851	12.59	4200	1.75	57.7	
100987	263.3550231	-33.3947850	12.43	4150	1.50	61.8	
200119	263.3439575	-33.3915306	10.38	3700	0.75	68.2	
200179	263.3490171	-33.3911168	10.01	3550	0.75	69.5	
300094	263.3408120	-33.3894537	9.36	3400	0.25	60.7	
300097	263.3490175	-33.3856006	10.13	3600	0.50	69.8	
300162	263.3476816	-33.3867406	10.49	3700	0.75	57.3	
300315	263.3463589	-33.3867729	9.22	3350	0.25	70.6	
300553	263.3497432	-33.3890865	11.77	4050	1.25	68.4	
300614	263.3457652	-33.3873565	12.45	4150	1.75	74.7	
300682	263.3497083	-33.3888985	12.46	4150	1.50	73.6	
300701	263.3469751	-33.3868982	12.32	4150	1.50	57.7	
300727	263.3449122	-33.3858666	12.50	4200	1.75	71.6	
387099	263.3446613	-33.3890830	8.92	3400	0.50	71.3	
400065	263.3579614	-33.3844441	9.26	3400	0.50	85.8	
400087	263.3561627	-33.3858685	9.28	3400	0.50	86.2	
400476	263.3516267	-33.3820491	11.77	4000	1.25	51.8	
400519	263.3577128	-33.3852708	11.67	4000	1.25	65.3	
400733	263.3560726	-33.3894022	12.31	4150	1.50	64.6	
400778	263.3544150	-33.3881915	12.86	4300	1.75	71.6	
400829	263.3516455	-33.3882126	12.80	4250	1.75	64.2	
400860	263.3570144	-33.3893289	12.10	4100	1.25	83.5	
400887	263.3538377	-33.3873272	12.93	4300	2.00	71.3	
