element,species,line_label,wavelength_air_A,reported_join_status,reported_EP_eV,reported_published_loggf,canonical_line_id,qa_finding
C,C I,505.2nm,5052.160,AMBIGUOUS,7.6847660,-1.303,,EP-aware
C,C I,658.8nm,6587.610,ABSENT,8.5370970,-1.003,,honestly ABSENT
C,C I,872.7nm,8727.120,ABSENT,1.2637250,-8.165,,honestly ABSENT
O,O I,615.6nm,6155.960,ABSENT,10.7402250,-1.363,,honestly ABSENT
O,O I,615.6nm,6155.970,ABSENT,10.7402250,-1.011,,honestly ABSENT
O,O I,615.6nm,6155.990,ABSENT,10.7402250,-1.120,,honestly ABSENT
O,O I,615.7nm,6156.730,ABSENT,10.7404755,-1.487,,honestly ABSENT
O,O I,615.7nm,6156.750,ABSENT,10.7404755,-0.898,,honestly ABSENT
O,O I,615.7nm,6156.770,ABSENT,10.7404755,-0.694,,honestly ABSENT
O,O I,615.8nm,6158.150,ABSENT,10.7409313,-1.841,,honestly ABSENT
O,O I,615.8nm,6158.170,ABSENT,10.7409313,-0.995,,honestly ABSENT
O,O I,630.0nm,6300.300,ABSENT,0.0000000,-9.776,,honestly ABSENT
O,O I,926.1nm,9260.800,ABSENT,10.7402250,-0.241,,honestly ABSENT
O,O I,926.1nm,9260.840,ABSENT,10.7402250,0.110,,honestly ABSENT
O,O I,926.1nm,9260.930,ABSENT,10.7402250,0.002,,honestly ABSENT
O,O I,926.3nm,9262.580,ABSENT,10.7404755,-0.368,,honestly ABSENT
O,O I,926.3nm,9262.660,ABSENT,10.7404755,0.224,,honestly ABSENT
O,O I,926.3nm,9262.770,ABSENT,10.7404755,0.427,,honestly ABSENT
O,O I,926.6nm,9265.820,ABSENT,10.7409313,-0.718,,honestly ABSENT
O,O I,926.6nm,9265.930,ABSENT,10.7409313,0.125,,honestly ABSENT
O,O I,926.6nm,9266.000,ABSENT,10.7409313,0.712,,honestly ABSENT
N,N I,7442.29A,7442.290,PHYSICAL_TUPLE_MATCH,10.33,-0.401,gf_096732,"WAVELENGTH-ONLY ADMISSION labelled PHYSICAL_TUPLE_MATCH; EP and loggf are READ OUT of our canonical row, never compared to a published N I value"
N,N I,8216.33A,8216.330,PHYSICAL_TUPLE_MATCH,10.336,0.138,gf_096754,"WAVELENGTH-ONLY ADMISSION labelled PHYSICAL_TUPLE_MATCH; EP and loggf are READ OUT of our canonical row, never compared to a published N I value"
N,N I,8629.23A,8629.230,PHYSICAL_TUPLE_MATCH,10.69,0.077,gf_096759,"WAVELENGTH-ONLY ADMISSION labelled PHYSICAL_TUPLE_MATCH; EP and loggf are READ OUT of our canonical row, never compared to a published N I value"
N,N I,8683.40A,8683.400,PHYSICAL_TUPLE_MATCH,10.33,0.105,gf_096766,"WAVELENGTH-ONLY ADMISSION labelled PHYSICAL_TUPLE_MATCH; EP and loggf are READ OUT of our canonical row, never compared to a published N I value"
N,N I,10108.90A,10108.900,ABSENT,,,,honestly ABSENT
