# NIST cross-validation for RYA-64 Tier 1 + Tier 2 lines
# NIST grades: A+ (<0.3%), A (<1%), B (<3%), C (<10%), D (<25%)
# Sources: NIST ASD v5.11, Blackwell+1995, Meléndez+Barbuy 2009, Bensby+2014
# O I 6300.304: forbidden line — log gf from Storey & Zeippen 2000
# Li I 6707.76: NLTE corrections typically −0.1 to −0.3 dex
element,ion,wavelength_air_A,excitation_potential_eV,log_gf,nist_grade,tier,notes
Fe,I,5576.090,3.430,-1.000,B,1,Primary Fe abundance anchor
Fe,I,6065.490,2.608,-1.530,B,1,Primary Fe abundance anchor
Fe,I,6136.620,2.453,-1.400,B,1,Primary Fe abundance anchor
Fe,II,6149.250,3.889,-2.724,,1,"RYA-853: grade REMOVED — ASD gives -2.854 acc E, not the B stored here; log_gf is VALD3-scale and HELD (docs/science/rya853_fe2_provenance.md)"
Fe,II,6247.560,3.892,-2.329,,1,"RYA-853: grade REMOVED — ASD gives -2.444 acc D, not the B stored here; log_gf is VALD3-scale and HELD (docs/science/rya853_fe2_provenance.md)"
O,I,6300.304,0.000,-9.717,A+,1,Forbidden line; Ni I blend at 6300.336 — MUST subtract
C,I,5380.337,7.685,-1.615,B,1,High excitation 7.685 eV — sensitive to Teff errors
Li,I,6707.760,0.000,-0.002,A,1,"Resonance line — strong NLTE effects, use LTE as lower bound"
P,I,6034.040,1.873,-0.380,C,1,"Weak line, borderline detectable; needs S/N > 300"
P,I,6043.120,1.873,-0.520,C,1,"Weak line, borderline detectable; needs S/N > 300"
Na,I,5682.630,2.102,-0.700,A,2,Volatile; planet composition tracer
Na,I,5688.210,2.104,-0.450,A,2,Volatile
Mg,I,5711.090,4.346,-1.729,A,2,Refractory anchor
Si,I,5793.070,4.930,-1.963,B,2,Refractory; C/O ratio context
S,I,6052.670,7.870,-0.550,C,2,Volatile sulfur; poorly constrained in 55 Cnc
Ca,I,6122.220,1.886,-0.316,A,2,Ionization check
Ti,I,5866.460,1.067,-0.840,B,2,Iron-peak element
Ni,I,6300.336,4.266,-2.310,B,2,CRITICAL — O I 6300.304 blend partner; must model jointly
Ba,II,5853.670,0.604,-1.010,A,2,s-process tracer; 55 Cnc is enriched
Eu,II,6645.130,1.380,0.120,B,2,r-process tracer
