physical_id,line_id,species,wavelength_air_A,excitation_potential_eV,n_components,n_isotopes,isotopes,published_log_gf,correction_term,corrected_log_gf,sibling_gf_linelist_vald,sibling_residual,naive_total,per_isotope_total,per_isotope_spread,loggf_reference,gf_tier,prior_adjudication_status,correction_note,source
pk_04b0a8b35de1,gf_098701,Nd II,4902.0294,0.064,17,7,142;143;144;145;146;148;150,-0.4949,-0.845098,-1.34,-1.34,-2.1e-05,-0.494923,-1.340021,0.000112,HLSC,OTHER,,"RYA-1075: de-inflated by log10(n_isotopes). The GES v6 source is RYA-684 form (A) (isotope-coded, fraction-free), so each isotope's component set already sums to the full transition gf; the isotope-blind cluster sum that built this row counted it n_isotopes times. Found by RYA-1070's linemake cross-reference.",/Users/ryanschmitt/codex/ispec/input/linelists/transitions/GESv6_atom_hfs_iso.420_920nm/atomic_lines.tsv
pk_d90869b8d9f1,gf_098716,Nd II,4959.1119,0.064,17,7,142;143;144;145;146;148;150,0.0451,-0.845098,-0.8,-0.8,-2.1e-05,0.045077,-0.800021,0.000112,HLSC,OTHER,,"RYA-1075: de-inflated by log10(n_isotopes). The GES v6 source is RYA-684 form (A) (isotope-coded, fraction-free), so each isotope's component set already sums to the full transition gf; the isotope-blind cluster sum that built this row counted it n_isotopes times. Found by RYA-1070's linemake cross-reference.",/Users/ryanschmitt/codex/ispec/input/linelists/transitions/GESv6_atom_hfs_iso.420_920nm/atomic_lines.tsv
pk_051eaefc09e2,gf_099143,Nd II,8530.5373,0.064,21,7,142;143;144;145;146;148;150,-2.7649,-0.845098,-3.61,,,-2.764932,-3.61003,0.000106,MC,OTHER,,"RYA-1075: de-inflated by log10(n_isotopes). The GES v6 source is RYA-684 form (A) (isotope-coded, fraction-free), so each isotope's component set already sums to the full transition gf; the isotope-blind cluster sum that built this row counted it n_isotopes times. Found by RYA-1070's linemake cross-reference.",/Users/ryanschmitt/codex/ispec/input/linelists/transitions/GESv6_atom_hfs_iso.420_920nm/atomic_lines.tsv
pk_c1596741d67f,gf_098752,Nd II,5143.3336,0.182,18,7,142;143;144;145;146;148;150,-0.7249,-0.845098,-1.57,-1.57,-7e-06,-0.724909,-1.570007,6.1e-05,HLSC,OTHER,,"RYA-1075: de-inflated by log10(n_isotopes). The GES v6 source is RYA-684 form (A) (isotope-coded, fraction-free), so each isotope's component set already sums to the full transition gf; the isotope-blind cluster sum that built this row counted it n_isotopes times. Found by RYA-1070's linemake cross-reference.",/Users/ryanschmitt/codex/ispec/input/linelists/transitions/GESv6_atom_hfs_iso.420_920nm/atomic_lines.tsv
pk_ea1c34749f5d,gf_098711,Nd II,4943.8997,0.205,9,7,142;143;144;145;146;148;150,-0.7949,-0.845098,-1.64,-1.64,-4.8e-05,-0.79495,-1.640048,0.000274,MC,OTHER,,"RYA-1075: de-inflated by log10(n_isotopes). The GES v6 source is RYA-684 form (A) (isotope-coded, fraction-free), so each isotope's component set already sums to the full transition gf; the isotope-blind cluster sum that built this row counted it n_isotopes times. Found by RYA-1070's linemake cross-reference.",/Users/ryanschmitt/codex/ispec/input/linelists/transitions/GESv6_atom_hfs_iso.420_920nm/atomic_lines.tsv
pk_6adc3da1e746,gf_098739,Nd II,5089.8314,0.205,9,7,142;143;144;145;146;148;150,-0.3149,-0.845098,-1.16,-1.16,-4.8e-05,-0.31495,-1.160048,0.000274,MC,OTHER,,"RYA-1075: de-inflated by log10(n_isotopes). The GES v6 source is RYA-684 form (A) (isotope-coded, fraction-free), so each isotope's component set already sums to the full transition gf; the isotope-blind cluster sum that built this row counted it n_isotopes times. Found by RYA-1070's linemake cross-reference.",/Users/ryanschmitt/codex/ispec/input/linelists/transitions/GESv6_atom_hfs_iso.420_920nm/atomic_lines.tsv
pk_8ab9692e6947,gf_098767,Nd II,5212.3586,0.205,9,7,142;143;144;145;146;148;150,-0.1149,-0.845098,-0.96,-0.96,-4.8e-05,-0.11495,-0.960048,0.000274,HLSC,OTHER,,"RYA-1075: de-inflated by log10(n_isotopes). The GES v6 source is RYA-684 form (A) (isotope-coded, fraction-free), so each isotope's component set already sums to the full transition gf; the isotope-blind cluster sum that built this row counted it n_isotopes times. Found by RYA-1070's linemake cross-reference.",/Users/ryanschmitt/codex/ispec/input/linelists/transitions/GESv6_atom_hfs_iso.420_920nm/atomic_lines.tsv
pk_1d1e331397b1,gf_098777,Nd II,5255.4992,0.205,9,7,142;143;144;145;146;148;150,0.1751,-0.845098,-0.67,-0.67,-4.8e-05,0.17505,-0.670048,0.000274,HLSC,OTHER,,"RYA-1075: de-inflated by log10(n_isotopes). The GES v6 source is RYA-684 form (A) (isotope-coded, fraction-free), so each isotope's component set already sums to the full transition gf; the isotope-blind cluster sum that built this row counted it n_isotopes times. Found by RYA-1070's linemake cross-reference.",/Users/ryanschmitt/codex/ispec/input/linelists/transitions/GESv6_atom_hfs_iso.420_920nm/atomic_lines.tsv
pk_88a8f2250777,gf_098693,Nd II,4859.027,0.321,13,7,142;143;144;145;146;148;150,0.4051,-0.845098,-0.44,-0.44,-4e-05,0.405058,-0.44004,0.000165,HLSC,OTHER,,"RYA-1075: de-inflated by log10(n_isotopes). The GES v6 source is RYA-684 form (A) (isotope-coded, fraction-free), so each isotope's component set already sums to the full transition gf; the isotope-blind cluster sum that built this row counted it n_isotopes times. Found by RYA-1070's linemake cross-reference.",/Users/ryanschmitt/codex/ispec/input/linelists/transitions/GESv6_atom_hfs_iso.420_920nm/atomic_lines.tsv
pk_72aa095268ae,gf_098720,Nd II,4970.9085,0.321,14,7,142;143;144;145;146;148;150,-0.5449,-0.845098,-1.39,-1.39,-2.3e-05,-0.544925,-1.390023,0.000177,HLSC,OTHER,,"RYA-1075: de-inflated by log10(n_isotopes). The GES v6 source is RYA-684 form (A) (isotope-coded, fraction-free), so each isotope's component set already sums to the full transition gf; the isotope-blind cluster sum that built this row counted it n_isotopes times. Found by RYA-1070's linemake cross-reference.",/Users/ryanschmitt/codex/ispec/input/linelists/transitions/GESv6_atom_hfs_iso.420_920nm/atomic_lines.tsv
