filepath,filename,is_science_product,instrume,opt_elem,cenwave,object,date_obs,exptime,proposid,pr_inv_l,detector,wl_min_A,wl_max_A,target_confirmed,is_science_grating,flags
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Procyon/Procyon HST/MAST_2026-06-11T0446/HST/hst_hasp_12278_stis_hd61421_obkk/hst_12278_stis_hd61421_e140h-e230h_obkk14_cspec.fits,hst_12278_stis_hd61421_e140h-e230h_obkk14_cspec.fits,False,STIS,UNKNOWN,MULTI,HD61421,UNKNOWN,0.0,12278,UNKNOWN,MULTI,1163.1588134765625,2403.557861328125,True,False,['ZERO_EXPTIME']
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Procyon/Procyon HST/MAST_2026-06-11T0446/HST/hst_hasp_12278_stis_hd61421_obkk/hst_12278_stis_hd61421_e140h_obkk11_cspec.fits,hst_12278_stis_hd61421_e140h_obkk11_cspec.fits,False,STIS,UNKNOWN,1271,HD61421,UNKNOWN,0.0,12278,UNKNOWN,FUV-MAMA,1163.1405029296875,1356.7203369140625,True,False,['ZERO_EXPTIME']
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Procyon/Procyon HST/MAST_2026-06-11T0446/HST/hst_hasp_12278_stis_hd61421_obkk/hst_12278_stis_hd61421_e140h_obkk13_cspec.fits,hst_12278_stis_hd61421_e140h_obkk13_cspec.fits,False,STIS,UNKNOWN,1271,HD61421,UNKNOWN,0.0,12278,UNKNOWN,FUV-MAMA,1163.1405029296875,1356.722412109375,True,False,['ZERO_EXPTIME']
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Procyon/Procyon HST/MAST_2026-06-11T0446/HST/hst_hasp_12278_stis_hd61421_obkk/hst_12278_stis_hd61421_e140h_obkk14_cspec.fits,hst_12278_stis_hd61421_e140h_obkk14_cspec.fits,False,STIS,UNKNOWN,1271,HD61421,UNKNOWN,0.0,12278,UNKNOWN,FUV-MAMA,1163.1527099609375,1356.747802734375,True,False,['ZERO_EXPTIME']
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Procyon/Procyon HST/MAST_2026-06-11T0446/HST/hst_hasp_12278_stis_hd61421_obkk/hst_12278_stis_hd61421_e140h_obkk16_cspec.fits,hst_12278_stis_hd61421_e140h_obkk16_cspec.fits,False,STIS,UNKNOWN,1271,HD61421,UNKNOWN,0.0,12278,UNKNOWN,FUV-MAMA,1163.1588134765625,1356.7479248046875,True,False,['ZERO_EXPTIME']
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Procyon/Procyon HST/MAST_2026-06-11T0446/HST/hst_hasp_12278_stis_hd61421_obkk/hst_12278_stis_hd61421_e140h_obkk_cspec.fits,hst_12278_stis_hd61421_e140h_obkk_cspec.fits,False,STIS,UNKNOWN,1271,HD61421,UNKNOWN,0.0,12278,UNKNOWN,FUV-MAMA,1163.1405029296875,1356.7479248046875,True,False,['ZERO_EXPTIME']
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Procyon/Procyon HST/MAST_2026-06-11T0446/HST/hst_hasp_12278_stis_hd61421_obkk/hst_12278_stis_hd61421_e140m-e230h_obkk11_cspec.fits,hst_12278_stis_hd61421_e140m-e230h_obkk11_cspec.fits,False,STIS,UNKNOWN,MULTI,HD61421,UNKNOWN,0.0,12278,UNKNOWN,MULTI,1142.78271484375,3155.985595703125,True,False,['ZERO_EXPTIME']
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Procyon/Procyon HST/MAST_2026-06-11T0446/HST/hst_hasp_12278_stis_hd61421_obkk/hst_12278_stis_hd61421_e140m-e230h_obkk13_cspec.fits,hst_12278_stis_hd61421_e140m-e230h_obkk13_cspec.fits,False,STIS,UNKNOWN,MULTI,HD61421,UNKNOWN,0.0,12278,UNKNOWN,MULTI,1142.782958984375,2155.7998046875,True,False,['ZERO_EXPTIME']
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Procyon/Procyon HST/MAST_2026-06-11T0446/HST/hst_hasp_12278_stis_hd61421_obkk/hst_12278_stis_hd61421_e140m-e230h_obkk16_cspec.fits,hst_12278_stis_hd61421_e140m-e230h_obkk16_cspec.fits,False,STIS,UNKNOWN,MULTI,HD61421,UNKNOWN,0.0,12278,UNKNOWN,MULTI,1142.8138427734375,2887.752197265625,True,False,['ZERO_EXPTIME']
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Procyon/Procyon HST/MAST_2026-06-11T0446/HST/hst_hasp_12278_stis_hd61421_obkk/hst_12278_stis_hd61421_e140m-e230h_obkk17_cspec.fits,hst_12278_stis_hd61421_e140m-e230h_obkk17_cspec.fits,False,STIS,UNKNOWN,MULTI,HD61421,UNKNOWN,0.0,12278,UNKNOWN,MULTI,1143.0194091796875,2156.2021484375,True,False,['ZERO_EXPTIME']
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Procyon/Procyon HST/MAST_2026-06-11T0446/HST/hst_hasp_12278_stis_hd61421_obkk/hst_12278_stis_hd61421_e140m-e230h_obkk_cspec.fits,hst_12278_stis_hd61421_e140m-e230h_obkk_cspec.fits,False,STIS,UNKNOWN,MULTI,HD61421,UNKNOWN,0.0,12278,UNKNOWN,MULTI,1143.0194091796875,3155.983642578125,True,False,['ZERO_EXPTIME']
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Procyon/Procyon HST/MAST_2026-06-11T0446/HST/hst_hasp_12278_stis_hd61421_obkk/hst_12278_stis_hd61421_e140m_obkk11_cspec.fits,hst_12278_stis_hd61421_e140m_obkk11_cspec.fits,False,STIS,UNKNOWN,1425,HD61421,UNKNOWN,0.0,12278,UNKNOWN,FUV-MAMA,1142.76416015625,1709.48828125,True,False,['ZERO_EXPTIME']
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Procyon/Procyon HST/MAST_2026-06-11T0446/HST/hst_hasp_12278_stis_hd61421_obkk/hst_12278_stis_hd61421_e140m_obkk13_cspec.fits,hst_12278_stis_hd61421_e140m_obkk13_cspec.fits,False,STIS,UNKNOWN,1425,HD61421,UNKNOWN,0.0,12278,UNKNOWN,FUV-MAMA,1142.7642822265625,1709.444580078125,True,False,['ZERO_EXPTIME']
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Procyon/Procyon HST/MAST_2026-06-11T0446/HST/hst_hasp_12278_stis_hd61421_obkk/hst_12278_stis_hd61421_e140m_obkk16_cspec.fits,hst_12278_stis_hd61421_e140m_obkk16_cspec.fits,False,STIS,UNKNOWN,1425,HD61421,UNKNOWN,0.0,12278,UNKNOWN,FUV-MAMA,1142.795166015625,1709.51513671875,True,False,['ZERO_EXPTIME']
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Procyon/Procyon HST/MAST_2026-06-11T0446/HST/hst_hasp_12278_stis_hd61421_obkk/hst_12278_stis_hd61421_e140m_obkk17_cspec.fits,hst_12278_stis_hd61421_e140m_obkk17_cspec.fits,False,STIS,UNKNOWN,1425,HD61421,UNKNOWN,0.0,12278,UNKNOWN,FUV-MAMA,1143.0008544921875,1709.7410888671875,True,False,['ZERO_EXPTIME']
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Procyon/Procyon HST/MAST_2026-06-11T0446/HST/hst_hasp_12278_stis_hd61421_obkk/hst_12278_stis_hd61421_e140m_obkk_cspec.fits,hst_12278_stis_hd61421_e140m_obkk_cspec.fits,False,STIS,UNKNOWN,1425,HD61421,UNKNOWN,0.0,12278,UNKNOWN,FUV-MAMA,1143.0008544921875,1709.7410888671875,True,False,['ZERO_EXPTIME']
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Procyon/Procyon HST/MAST_2026-06-11T0446/HST/hst_hasp_12278_stis_hd61421_obkk/hst_12278_stis_hd61421_e230h_obkk11_cspec.fits,hst_12278_stis_hd61421_e230h_obkk11_cspec.fits,False,STIS,UNKNOWN,MULTI,HD61421,UNKNOWN,0.0,12278,UNKNOWN,NUV-MAMA,2620.964599609375,3158.566650390625,True,False,['ZERO_EXPTIME']
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Procyon/Procyon HST/MAST_2026-06-11T0446/HST/hst_hasp_12278_stis_hd61421_obkk/hst_12278_stis_hd61421_e230h_obkk12_cspec.fits,hst_12278_stis_hd61421_e230h_obkk12_cspec.fits,False,STIS,UNKNOWN,2513,HD61421,UNKNOWN,0.0,12278,UNKNOWN,NUV-MAMA,2378.565185546875,2650.538818359375,True,False,['ZERO_EXPTIME']
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Procyon/Procyon HST/MAST_2026-06-11T0446/HST/hst_hasp_12278_stis_hd61421_obkk/hst_12278_stis_hd61421_e230h_obkk13_cspec.fits,hst_12278_stis_hd61421_e230h_obkk13_cspec.fits,False,STIS,UNKNOWN,2013,HD61421,UNKNOWN,0.0,12278,UNKNOWN,NUV-MAMA,1879.6495361328125,2155.818359375,True,False,['ZERO_EXPTIME']
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Procyon/Procyon HST/MAST_2026-06-11T0446/HST/hst_hasp_12278_stis_hd61421_obkk/hst_12278_stis_hd61421_e230h_obkk14_cspec.fits,hst_12278_stis_hd61421_e230h_obkk14_cspec.fits,False,STIS,UNKNOWN,MULTI,HD61421,UNKNOWN,0.0,12278,UNKNOWN,NUV-MAMA,1879.6937255859375,2403.578369140625,True,False,['ZERO_EXPTIME']
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Procyon/Procyon HST/MAST_2026-06-11T0446/HST/hst_hasp_12278_stis_hd61421_obkk/hst_12278_stis_hd61421_e230h_obkk15_cspec.fits,hst_12278_stis_hd61421_e230h_obkk15_cspec.fits,False,STIS,UNKNOWN,MULTI,HD61421,UNKNOWN,0.0,12278,UNKNOWN,NUV-MAMA,1626.0379638671875,2155.8525390625,True,False,['ZERO_EXPTIME']
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Procyon/Procyon HST/MAST_2026-06-11T0446/HST/hst_hasp_12278_stis_hd61421_obkk/hst_12278_stis_hd61421_e230h_obkk16_cspec.fits,hst_12278_stis_hd61421_e230h_obkk16_cspec.fits,False,STIS,UNKNOWN,2762,HD61421,UNKNOWN,0.0,12278,UNKNOWN,NUV-MAMA,2621.00634765625,2887.777099609375,True,False,['ZERO_EXPTIME']
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Procyon/Procyon HST/MAST_2026-06-11T0446/HST/hst_hasp_12278_stis_hd61421_obkk/hst_12278_stis_hd61421_e230h_obkk17_cspec.fits,hst_12278_stis_hd61421_e230h_obkk17_cspec.fits,False,STIS,UNKNOWN,MULTI,HD61421,UNKNOWN,0.0,12278,UNKNOWN,NUV-MAMA,1626.2606201171875,2156.220703125,True,False,['ZERO_EXPTIME']
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Procyon/Procyon HST/MAST_2026-06-11T0446/HST/hst_hasp_12278_stis_hd61421_obkk/hst_12278_stis_hd61421_e230h_obkk_cspec.fits,hst_12278_stis_hd61421_e230h_obkk_cspec.fits,False,STIS,UNKNOWN,MULTI,HD61421,UNKNOWN,0.0,12278,UNKNOWN,NUV-MAMA,1626.263427734375,3158.564697265625,True,False,['ZERO_EXPTIME']
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Procyon/Procyon HST/MAST_2026-06-11T0446/HST/hst_hasp_14094_cos-stis_-rho-cnc_lctx/hst_14094_cos-stis_-rho-cnc_g130m-e230m_lctx_cspec.fits,hst_14094_cos-stis_-rho-cnc_g130m-e230m_lctx_cspec.fits,False,COS-STIS,UNKNOWN,MULTI,-RHO-CNC,UNKNOWN,0.0,14094,UNKNOWN,MULTI,1130.8675537109375,3118.700439453125,False,False,"['TARGET_MISMATCH: -RHO-CNC', 'ZERO_EXPTIME', 'NON_SPECTROSCOPIC: COS-STIS']"
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Procyon/Procyon HST/MAST_2026-06-11T0446/HST/hst_hasp_14094_cos_-rho-cnc_lctx/hst_14094_cos_-rho-cnc_g130m_lctx02_cspec.fits,hst_14094_cos_-rho-cnc_g130m_lctx02_cspec.fits,False,COS,UNKNOWN,1291,-RHO-CNC,UNKNOWN,0.0,14094,UNKNOWN,FUV,1130.8575439453125,1434.513671875,False,False,"['TARGET_MISMATCH: -RHO-CNC', 'ZERO_EXPTIME']"
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Procyon/Procyon HST/MAST_2026-06-11T0446/HST/hst_hasp_14094_cos_-rho-cnc_lctx/hst_14094_cos_-rho-cnc_g130m_lctx_cspec.fits,hst_14094_cos_-rho-cnc_g130m_lctx_cspec.fits,False,COS,UNKNOWN,1291,-RHO-CNC,UNKNOWN,0.0,14094,UNKNOWN,FUV,1130.8575439453125,1434.513671875,False,False,"['TARGET_MISMATCH: -RHO-CNC', 'ZERO_EXPTIME']"
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Procyon/Procyon HST/MAST_2026-06-11T0446/HST/hst_hasp_14350_stis_hd61421_od06/hst_14350_stis_hd61421_e140h-e230h_od0610_cspec.fits,hst_14350_stis_hd61421_e140h-e230h_od0610_cspec.fits,False,STIS,UNKNOWN,MULTI,HD61421,UNKNOWN,0.0,14350,UNKNOWN,MULTI,1199.7218017578125,2887.714599609375,True,False,['ZERO_EXPTIME']
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Procyon/Procyon HST/MAST_2026-06-11T0446/HST/hst_hasp_14350_stis_hd61421_od06/hst_14350_stis_hd61421_e140h-e230h_od0611_cspec.fits,hst_14350_stis_hd61421_e140h-e230h_od0611_cspec.fits,False,STIS,UNKNOWN,MULTI,HD61421,UNKNOWN,0.0,14350,UNKNOWN,MULTI,1199.95263671875,2888.26953125,True,False,['ZERO_EXPTIME']
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Procyon/Procyon HST/MAST_2026-06-11T0446/HST/hst_hasp_14350_stis_hd61421_od06/hst_14350_stis_hd61421_e140h-e230h_od06_cspec.fits,hst_14350_stis_hd61421_e140h-e230h_od06_cspec.fits,False,STIS,UNKNOWN,MULTI,HD61421,UNKNOWN,0.0,14350,UNKNOWN,MULTI,1199.723876953125,2887.714599609375,True,False,['ZERO_EXPTIME']
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Procyon/Procyon HST/MAST_2026-06-11T0446/HST/hst_hasp_14350_stis_hd61421_od06/hst_14350_stis_hd61421_e140h_od0610_cspec.fits,hst_14350_stis_hd61421_e140h_od0610_cspec.fits,False,STIS,UNKNOWN,MULTI,HD61421,UNKNOWN,0.0,14350,UNKNOWN,FUV-MAMA,1199.714599609375,1586.2423095703125,True,False,['ZERO_EXPTIME']
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Procyon/Procyon HST/MAST_2026-06-11T0446/HST/hst_hasp_14350_stis_hd61421_od06/hst_14350_stis_hd61421_e140h_od0611_cspec.fits,hst_14350_stis_hd61421_e140h_od0611_cspec.fits,False,STIS,UNKNOWN,MULTI,HD61421,UNKNOWN,0.0,14350,UNKNOWN,FUV-MAMA,1199.9454345703125,1586.548583984375,True,False,['ZERO_EXPTIME']
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Procyon/Procyon HST/MAST_2026-06-11T0446/HST/hst_hasp_14350_stis_hd61421_od06/hst_14350_stis_hd61421_e140h_od06_cspec.fits,hst_14350_stis_hd61421_e140h_od06_cspec.fits,False,STIS,UNKNOWN,MULTI,HD61421,UNKNOWN,0.0,14350,UNKNOWN,FUV-MAMA,1199.7166748046875,1586.548583984375,True,False,['ZERO_EXPTIME']
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Procyon/Procyon HST/MAST_2026-06-11T0446/HST/hst_hasp_14350_stis_hd61421_od06/hst_14350_stis_hd61421_e230h_od0610_cspec.fits,hst_14350_stis_hd61421_e230h_od0610_cspec.fits,False,STIS,UNKNOWN,2762,HD61421,UNKNOWN,0.0,14350,UNKNOWN,NUV-MAMA,2620.89453125,2887.739501953125,True,False,['ZERO_EXPTIME']
