filename,sha256,bytes,bibliography_key,review_scope,inspection,duplicate_of,canonical_state
0004190v1.pdf,cee3ea26e43cdf8544772e617cc5ad5f0a8935860b0b702242662f9b8b5c67a9,95955,griesmann_kling2000,AL_SOURCE_OR_REPLICATION,PDF_TITLE_ABSTRACT_FIRST_TWO_PAGES,,RESOLVED
0901.4451v2.pdf,2b6eef11ef23cbc6159d69aee05f8424c2c36eda17058036e7316775b3812911,245887,melendez2009,OTHER_SCOPE_NOT_USED_RYA1134,PDF_TITLE_ABSTRACT_FIRST_TWO_PAGES,,RESOLVED
1002.4268v1.pdf,80c43103c58f7425e9516f038693b751890f7ec415efc1c46ac31253569cff74,1409565,,OTHER_SCOPE_NOT_USED_RYA1134,PDF_TITLE_ABSTRACT_FIRST_TWO_PAGES,,NOT_ADOPTED
1309.1099v2.pdf,7558ee31ee6c804c921d7cc691656ae8077b1d237bbfbd871462198b6d383d7b,2091894,jofre2014,OTHER_SCOPE_NOT_USED_RYA1134,PDF_TITLE_ABSTRACT_FIRST_TWO_PAGES,,RESOLVED
1405.0279v2.pdf,db8bb59eddd79e3d327381b41c5e443f098624024e6340b8911da946250e97ef,608815,scott2015_light,AL_SOURCE_OR_REPLICATION,PDF_TITLE_ABSTRACT_FIRST_TWO_PAGES,,RESOLVED
1506.06095v2.pdf,21539fb6082e7d3063464e6dd8525b3cee78f898eb036670705a16f53cb610be,1101944,heiter2015,OTHER_SCOPE_NOT_USED_RYA1134,PDF_TITLE_ABSTRACT_FIRST_TWO_PAGES,,RESOLVED
1603.05890v3.pdf,e5a61091367020ef26fa629f47664f8c4caf0f5cecb838333780f322ae416c83,952450,tennyson2016,OTHER_SCOPE_NOT_USED_RYA1134,PDF_TITLE_ABSTRACT_FIRST_TWO_PAGES,,RESOLVED
1609.07283v1 (1).pdf,fb29da26b2f4d83be086ef0f78dbfdff692e9f49c434d3362564d3a3a58141a6,4423415,,OTHER_SCOPE_NOT_USED_RYA1134,PDF_TITLE_ABSTRACT_FIRST_TWO_PAGES,,NOT_ADOPTED
1609.07283v1.pdf,fb29da26b2f4d83be086ef0f78dbfdff692e9f49c434d3362564d3a3a58141a6,4423415,,OTHER_SCOPE_NOT_USED_RYA1134,PDF_TITLE_ABSTRACT_FIRST_TWO_PAGES,1609.07283v1 (1).pdf,NOT_ADOPTED
1708.01949v1.pdf,98eabebccbd740aa02b148f25e18b9395771cb2a564ccb255cbbb2557b7d58fd,1107673,nordlander_lind2017,AL_SOURCE_OR_REPLICATION,PDF_TITLE_ABSTRACT_FIRST_TWO_PAGES,,RESOLVED
1709.08619v1.pdf,aada7980ea4b582c14e2a2e6a8de5ada6185993ab7c4e551a64ba6c5a6e1d047,783433,andrievsky2017,OTHER_SCOPE_NOT_USED_RYA1134,PDF_TITLE_ABSTRACT_FIRST_TWO_PAGES,,RESOLVED
1806.02225v2.pdf,ced77022762c4207e73377a2320aeea7a4e9baabad724fb296ffe2a8ac226982,275874,shi2018,OTHER_SCOPE_NOT_USED_RYA1134,PDF_TITLE_ABSTRACT_FIRST_TWO_PAGES,,RESOLVED
1808.09478v1 (1).pdf,a9f293cd6da156b796861dfbf189fb3e08a7d78ac5a8b1cd88d5cddd87014e6f,326159,papoulia2019,AL_SOURCE_OR_REPLICATION,PDF_TITLE_ABSTRACT_FIRST_TWO_PAGES,,RESOLVED
1808.09478v1.pdf,a9f293cd6da156b796861dfbf189fb3e08a7d78ac5a8b1cd88d5cddd87014e6f,326159,papoulia2019,AL_SOURCE_OR_REPLICATION,PDF_TITLE_ABSTRACT_FIRST_TWO_PAGES,1808.09478v1 (1).pdf,RESOLVED
1973A&A....26..471G,92cff99174e4ec224378281df9caca99b7ecabef55d2329e9d46e7151868a1e8,109648,,OTHER_SCOPE_NOT_USED_RYA1134,PDF_TITLE_ABSTRACT_FIRST_TWO_PAGES,,NOT_ADOPTED
1986ApJ...308.1013J,8ac85c59ee76e21765459e5211847de5149afe12f49606eed393969f8681b927,553165,johnson_smith_parkinson1986,AL_SOURCE_OR_REPLICATION,PDF_TITLE_ABSTRACT_FIRST_TWO_PAGES,,RESOLVED
20060052476.pdf,ccb7cca0b2d4b8cca2e0185d20c023f7f1a293b21c6b3fe74caa134f5e72cca2,94953,wiese_fuhr2006,OTHER_SCOPE_NOT_USED_RYA1134,PDF_TITLE_ABSTRACT_FIRST_TWO_PAGES,,RESOLVED
2009IAUS..254..153B,9a0b69f1b85a2bf55e1df52cec87e89d28cd24f8116cc3505fc843da25544ccb,201668,barbuy2009_iaus,OTHER_SCOPE_NOT_USED_RYA1134,PDF_TITLE_ABSTRACT_FIRST_TWO_PAGES,,RESOLVED
2101.09114v1.pdf,286d178151dfcd7fd2bf514092fa258bed46157e5850fb6c68b71c15bf763ce3,1353915,,OTHER_SCOPE_NOT_USED_RYA1134,PDF_TITLE_ABSTRACT_FIRST_TWO_PAGES,,NOT_ADOPTED
2103.12764v1.pdf,b99e0b23d2305e11d91110d7cde8010109434c708c2d781ce03b18b50411adc7,980577,roederer_lawler2021,AL_SOURCE_OR_REPLICATION,PDF_TITLE_ABSTRACT_FIRST_TWO_PAGES,,RESOLVED
2208.11812v1.pdf,8c5e8121370576e9dd223fea0178645ec45b9e7c5585666f4a10d574214d331f,591882,xu2022,OTHER_SCOPE_NOT_USED_RYA1134,PDF_TITLE_ABSTRACT_FIRST_TWO_PAGES,,RESOLVED
2209.13449v3.pdf,884d798bb0c80908953573547931824a517bdced00e751706342506872a746a6,2403287,amarsi2022,OTHER_SCOPE_NOT_USED_RYA1134,PDF_TITLE_ABSTRACT_FIRST_TWO_PAGES,,RESOLVED
2301.11391v1 (1).pdf,9634663d1e23a8607378d78c796af56491f32170bbb6616d1cd2ee61e28c132b,464998,,OTHER_SCOPE_NOT_USED_RYA1134,PDF_TITLE_ABSTRACT_FIRST_TWO_PAGES,,NOT_ADOPTED
2301.11391v1 (2).pdf,9634663d1e23a8607378d78c796af56491f32170bbb6616d1cd2ee61e28c132b,464998,,OTHER_SCOPE_NOT_USED_RYA1134,PDF_TITLE_ABSTRACT_FIRST_TWO_PAGES,2301.11391v1 (1).pdf,NOT_ADOPTED
2301.11391v1.pdf,9634663d1e23a8607378d78c796af56491f32170bbb6616d1cd2ee61e28c132b,464998,denhartog2023,OTHER_SCOPE_NOT_USED_RYA1134,PDF_TITLE_ABSTRACT_FIRST_TWO_PAGES,2301.11391v1 (1).pdf,RESOLVED
2505.13607v1.pdf,fa6276789ac37529313d56da918f6e01620989a59fcd3a36cf58aeb1736d26ed,11246519,koutsouridou2025,AL_RELATED_CONTEXT_NOT_ADOPTED,PDF_TITLE_ABSTRACT_FIRST_TWO_PAGES,,RESOLVED
2511.04254v2.pdf,2a1491f2af9bf45d8eb149241c98411bdf0c755529a67c4816e541bb1f219cf0,16300252,,AL_RELATED_CONTEXT_NOT_ADOPTED,PDF_TITLE_ABSTRACT_FIRST_TWO_PAGES,,NOT_ADOPTED
