bibliography_key,title,doi,url,canonical_record,metadata_basis,local_document_state,local_files,n_copies,adoption_hold,evidence
amarsi2020_galah,The GALAH Survey: non-LTE departure coefficients for large spectroscopic surveys,10.1051/0004-6361/202038650,https://www.aanda.org/articles/aa/abs/2020/10/aa38650-20/aa38650-20.html,RESOLVED,publisher,NO_REFERENCE_FOLDER_COPY,,0,,"Publisher title, authors, journal and DOI verified 2026-09-13. No local Reference Documents PDF; retained as a valid canonical model citation."
asplund2021,The chemical make-up of the Sun: A 2020 vision,10.1051/0004-6361/202140445,https://doi.org/10.1051/0004-6361/202140445,RESOLVED,extracted,PRESENT,Apslund 2021.pdf;aa40445-21.pdf,2,,Open access (A&A).
baker2020,The IAG Solar Flux Atlas: Telluric Correction with a Semiempirical Model,10.3847/1538-4365/ab6a1c,https://doi.org/10.3847/1538-4365/ab6a1c,RESOLVED,extracted,PRESENT,Baker_2020_ApJS_247_24.pdf,1,,
burheim2023,Experimental oscillator strengths of Al I lines for near-infrared astrophysical spectroscopy,10.1051/0004-6361/202245394,https://doi.org/10.1051/0004-6361/202245394,RESOLVED,extracted,PRESENT,aa45394-22 (1).pdf;aa45394-22.pdf,2,,"Wavelengths in Tables 1-3 are VACUUM and sit beside a cm^-1 wavenumber column of similar magnitude; RYA-835's line list conflated the two columns. Table 2 gives branching fractions with NO log gf -- it does not grade a line. Metadata read from the held published PDF; this corrected the prior first initial J to M. Seven pages, 640346 bytes, sha256 8ac1ab522a916b4091db3c8ee012866684b24030c40ca1fadd129094c4d26955."
buurman1986_al,Oscillator strengths of transitions between low-lying levels in the aluminum spectrum,,https://articles.adsabs.harvard.edu/pdf/1986A%26A...164..224B,RESOLVED,extracted,PRESENT,Buurman1986_Al.pdf,1,,"Title, authors, journal, pages and bibcode 1986A&A...164..224B visually verified from the ADS scan; DOI not established, left blank."
buurman_donszelmann1990_al,"New determination of the radiative properties of the 4p 2P1/2,3/2 levels in aluminum and the 5p 2P1/2,3/2 levels in gallium",,https://articles.adsabs.harvard.edu/pdf/1990A%26A...227..289B,RESOLVED,extracted,PRESENT,Buurman1990_Al.pdf,1,,"Both pages visually read from ADS scan; title/authors/journal/pages/bibcode 1990A&A...227..289B verified. DOI not established, left blank."
elgueta2026,Gaia FGK benchmark stars: Selecting infrared lines for abundance determination,10.1051/0004-6361/202659148,https://doi.org/10.1051/0004-6361/202659148,RESOLVED,extracted,PRESENT,2602.14294v1 (1).pdf;2602.14294v1.pdf;aa59148-26 (1).pdf;aa59148-26.pdf,4,,"THIS ROW ACCOUNTS FOR THREE FILES in the reference library, checked by content rather than by name: 'aa59148-26 (1).pdf' is a BYTE-IDENTICAL duplicate of aa59148-26.pdf (md5 match), while '2602.14294v1.pdf' is a genuinely DIFFERENT file (4,385,306 vs 4,848,632 bytes) — the arXiv preprint arXiv:2602.14294 of this same paper. One row, cited to the published A&A version."
gerber2023,Non-LTE radiative transfer with Turbospectrum,10.1051/0004-6361/202243673,https://doi.org/10.1051/0004-6361/202243673,RESOLVED,extracted,PRESENT,TurboSpectrum.pdf,1,,
griesmann_kling2000,"Interferometric measurement of resonance transition wavelengths in C IV, Si IV, Al III, Al II, and Si II",10.1086/312738,https://doi.org/10.1086/312738,RESOLVED,extracted,PRESENT,0004190v1.pdf,1,,"Local arXiv v1 PDF inspected: title/authors match; six pages, 95955 bytes, sha256 cee3ea26e43cdf8544772e617cc5ad5f0a8935860b0b702242662f9b8b5c67a9."
gustafsson2008,A grid of MARCS model atmospheres for late-type stars. I. Methods and general properties,10.1051/0004-6361:200809724,https://doi.org/10.1051/0004-6361:200809724,RESOLVED,extracted,PRESENT,MARCS Stellar Model.pdf,1,,
